 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.139588 pm 0.0278751 | 0.00476138 pm 0.00111733 | 0.00295314 pm 0.00239709 | 0.00472617 pm 0.00303554 | 1.34813 pm 0.268707 | 1.33484 pm 0.266233 | 1.84777 pm 0.370471 | 1.82926 pm 0.365316 | 13.2996 pm 2.87153 | 3.92499 pm 0.788222 | 13.566 pm 2.69724 | 2.22398 pm 0.443314 | 8.48624 pm 1.68681 | 
 | ttt | 0.0369022 pm 0.0111376 | 0.00140509 pm 0.000427359 | 0.00210618 pm 0.000739841 | 0.00680196 pm 0.00205477 | 0.386203 pm 0.116416 | 0.333941 pm 0.100699 | 0.30298 pm 0.0913537 | 0.276254 pm 0.0832867 | 0.658154 pm 0.224068 | 0.247536 pm 0.0750119 | 1.23402 pm 0.372121 | 0.185848 pm 0.0560711 | 0.989834 pm 0.298186 | 
 | ttWW | 0.336051 pm 0.174139 | 0.0101771 pm 0.00529145 | 0.0224636 pm 0.0151085 | 0.18977 pm 0.105602 | 2.43978 pm 1.26387 | 2.30418 pm 1.19364 | 5.74799 pm 2.97771 | 5.89795 pm 3.05378 | 0.286955 pm 0.151833 | 0.217665 pm 0.115031 | 1.82692 pm 0.946411 | 1.54172 pm 0.798463 | 8.19388 pm 4.24301 | 
 | rarettVV | 0.138522 pm 0.0726742 | 0.00752493 pm 0.00395795 | 0.0130953 pm 0.00687759 | 0.0292281 pm 0.0155106 | 1.19019 pm 0.624106 | 0.739369 pm 0.387739 | 1.51115 pm 0.792427 | 0.97333 pm 0.510406 | 0.565677 pm 0.316348 | 0.126049 pm 0.0680298 | 0.972724 pm 0.52611 | 0.326256 pm 0.171127 | 2.12901 pm 1.11621 | 
 | ttll_MG_high_mll | 5.06605 pm 1.75921 | 0.220975 pm 0.196398 | 2.20815 pm 0.458285 | 4.72351 pm 1.48283 | 37.989 pm 10.4908 | 36.6899 pm 9.10577 | 35.316 pm 10.4946 | 34.3313 pm 9.5935 | 1.82054 pm 0.288214 | 2.65467 pm 0.363053 | 9.83653 pm 1.18904 | 12.5904 pm 2.54477 | 38.9675 pm 8.51639 | 
 | ttll_MG_low_mll | 0.344863 pm 0.119755 | 0.0187812 pm 0.0166924 | 0.275074 pm 0.108274 | 0.225529 pm 0.0776614 | 2.50689 pm 0.694292 | 2.36661 pm 0.586104 | 1.75043 pm 0.529777 | 1.8442 pm 0.522998 | 0.0783224 pm 0.0254593 | 0.077519 pm 0.0819206 | 0.422222 pm 0.0550925 | 0.0394545 pm 0.016438 | 2.4537 pm 0.538462 | 
 | ttH | 3.35631 pm 0.334587 | 0.231953 pm 0.0702457 | 1.72955 pm 0.176648 | 3.5156 pm 0.0841167 | 39.4632 pm 3.87946 | 39.4409 pm 3.87803 | 34.3306 pm 3.3797 | 33.6147 pm 0.453743 | 2.23161 pm 0.316658 | 2.06536 pm 0.25731 | 12.7926 pm 1.27165 | 9.66194 pm 0.960463 | 54.8866 pm 5.37718 | 
 | QmisID | 113.686 pm 2.33146 | 1.57813 pm 0.0676281 | 2.00245e-06 pm 7.94015e-08 | 1.99056e-06 pm 5.60685e-08 | 18.455 pm 0.22078 | 17.5002 pm 0.269209 | 34.0132 pm 0.369646 | 36.7125 pm 0.470263 | 1.32633 pm 0.0389557 | 2.00059e-06 pm 6.58751e-08 | 6.97709 pm 0.125946 | 0.00306349 pm 8.04809e-05 | 32.0339 pm 0.284971 | 
 | CO | 69.5599 pm 19.1571 | 3.51828 pm 1.01093 | 2.29884 pm 0.769624 | 1.03523 pm 0.408846 | 2.78897 pm 0.853495 | 2.2655 pm 0.697527 | 11.3504 pm 3.40176 | 8.36 pm 2.52122 | 0.391717 pm 0.111935 | 0.782346 pm 0.683938 | 4.20336 pm 1.19771 | 1.12878 pm 0.36954 | 19.4976 pm 5.54649 | 
 | gstr | 19.3538 pm 3.92432 | 45.5536 pm 8.70661 | 4.28397 pm 0.874244 | 1.37608 pm 0.306584 | 5.94638 pm 1.23318 | 5.80605 pm 1.20457 | 12.1628 pm 2.44927 | 9.62247 pm 1.93929 | 0.975259 pm 0.253803 | 0.250837 pm 0.0996111 | 3.78269 pm 0.859568 | 1.49698 pm 0.381862 | 18.4766 pm 3.71697 | 
