 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | HFe | 10.9979 pm 3.04982 | 4.19583 pm 1.17617 | 38.5055 pm 10.395 | 12.8581 pm 3.60243 | 17.6265 pm 4.87674 | 18.3169 pm 5.07183 | 51.1094 pm 14.1016 | 51.6702 pm 14.25 | 20.313 pm 10.4561 | 0.346985 pm 0.112838 | 3.37181 pm 0.934136 | 0.520123 pm 0.183417 | 11.5172 pm 3.18537 | 
 | HFm | 13.0913 pm 2.03337 | 1.73894 pm 0.277862 | 23.7537 pm 3.7875 | 99.9467 pm 14.8884 | 56.7903 pm 8.76977 | 62.4467 pm 9.6517 | 83.7832 pm 12.9242 | 86.1236 pm 13.2946 | 0.497842 pm 0.246033 | 0.447427 pm 0.0890166 | 5.60356 pm 0.873493 | 0.511108 pm 0.106365 | 22.8321 pm 4.12722 | 
 | light | 3.12877 pm 0.392565 | 1.48727 pm 0.105519 | 0.225515 pm 0.207773 | 0.990855 pm 0.725379 | 2.06707 pm 0.308202 | 1.03075 pm 0.15725 | 15.1059 pm 0.164501 | 9.53923 pm 0.119273 | 0.320144 pm 0.0182631 | 0.0295663 pm 0.00127013 | 1.96663 pm 0.0382516 | 0.796875 pm 0.0156052 | 10.3699 pm 0.0938682 | 
 | otherfake | 37.1735 pm 0.762353 | 10.367 pm 0.444263 | 4.37466 pm 0.783585 | 6.86413 pm 1.42434 | 27.2716 pm 0.31245 | 24.0445 pm 0.340023 | 14.1951 pm 0.166565 | 12.0463 pm 0.148121 | 1.18442 pm 0.334144 | 0.411496 pm 0.0163069 | 2.61049 pm 0.442525 | 1.61768 pm 0.498078 | 19.9017 pm 0.206699 | 
 | singleTop | 3.95853 pm 1.23421 | 0.110879 pm 0.0348198 | 4.76383 pm 1.49107 | 9.30279 pm 2.89946 | 18.8255 pm 5.86065 | 11.989 pm 3.73399 | 18.338 pm 5.70625 | 13.1784 pm 4.10197 | 0.478192 pm 0.18279 | 0.271663 pm 0.102439 | 1.82414 pm 0.580445 | 1.47963 pm 0.460953 | 8.62026 pm 2.68228 | 
 | Diboson | 9.25081 pm 1.20887 | 0.169243 pm 0.0328593 | 11.3053 pm 0.803805 | 18.4179 pm 0.815897 | 11.4956 pm 1.60543 | 8.73309 pm 1.19151 | 85.7298 pm 8.95969 | 58.8665 pm 6.17261 | 0.150764 pm 0.0289996 | 0.1206 pm 0.02038 | 0.902745 pm 0.135601 | 1.2094 pm 0.177191 | 7.13089 pm 0.810324 | 
 | triboson | 0.069397 pm 0.00142319 | 0.00323603 pm 0.000594694 | 0.312662 pm 0.0115841 | 0.481324 pm 0.0123197 | 0.0881262 pm 0.000978057 | 0.0857387 pm 0.00420968 | 1.36166 pm 0.0148496 | 1.02239 pm 0.0126024 | 0.000729611 pm 0.000129883 | 0.00598012 pm 0.00256869 | 0.00696611 pm 0.00127168 | 0.0440446 pm 0.000834595 | 0.0800688 pm 0.000685406 | 
 | vh | 9.48437e-07 pm 4.97588e-07 | 9.48992e-07 pm 4.9915e-07 | 0.304912 pm 0.175704 | 0.779858 pm 1.22859 | 2.83829e-06 pm 1.4885e-06 | 8.71542e-06 pm 9.09152e-05 | 0.370896 pm 0.276796 | 0.000268214 pm 0.00249452 | 1.89671e-06 pm 9.95128e-07 | 1.89709e-06 pm 9.9627e-07 | 3.78967e-06 pm 1.98724e-06 | 2.84254e-06 pm 1.49099e-06 | 3.79622e-06 pm 1.99028e-06 | 
 | t#bar{t}W^{+} | 12.1823 pm 1.56544 | 0.229455 pm 0.030628 | 5.08396 pm 0.715042 | 10.4814 pm 1.44629 | 204.978 pm 25.6365 |  0 pm 0 | 136.913 pm 17.2817 |  0 pm 0 | 2.92389 pm 0.767526 | 1.07007 pm 0.191418 | 17.2344 pm 3.13706 | 5.04116 pm 0.864395 | 81.2946 pm 13.6702 | 
 | t#bar{t}W^{-} | 6.70652 pm 1.47339 | 0.147919 pm 0.0343146 | 2.92222 pm 0.645394 | 5.29027 pm 1.17875 |  0 pm 0 | 103.694 pm 22.3895 |  0 pm 0 | 69.1958 pm 14.8069 | 1.11225 pm 0.35075 | 0.387656 pm 0.113463 | 9.25615 pm 2.26761 | 2.67629 pm 0.634529 | 45.0856 pm 10.454 | 
 | ttZp2000 | 0.00447494 pm nan | 0.000166886 pm nan | 0 pm 0 | 2.35511e-05 pm nan | 0.0249089 pm nan | 0.0258721 pm nan | 0.0644517 pm nan | 0.0664185 pm nan | 0.666214 pm nan | 0.181079 pm nan | 0.5968 pm nan | 0.0971667 pm nan | 0.342278 pm nan | 
 | Total | 308.581 pm 17.3776 | 69.5956 pm 8.29736 | 102.388 pm 8.61168 | 176.52 pm 12.4026 | 451.681 pm 18.844 | 339.148 pm 16.4727 | 545.305 pm 15.5824 | 435.171 pm 13.5165 | 49.2816 pm 8.35152 | 13.6195 pm 1.76919 | 98.9878 pm 5.68473 | 43.1919 pm 2.42011 | 393.289 pm 15.5591 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
