 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.142308 pm 0.0286114 | 0.00484007 pm 0.00115331 | 0.00249735 pm 0.00199484 | 0.00616714 pm 0.00360157 | 1.37845 pm 0.276725 | 1.36302 pm 0.273883 | 1.87935 pm 0.379988 | 1.88016 pm 0.37837 | 13.5838 pm 2.98175 | 4.00127 pm 0.811545 | 13.8479 pm 2.77954 | 2.26994 pm 0.455949 | 8.64256 pm 1.73019 | 
 | ttt | 0.0370609 pm 0.0111443 | 0.00141031 pm 0.000427398 | 0.00259953 pm 0.000888641 | 0.00684428 pm 0.00206018 | 0.388681 pm 0.116739 | 0.335761 pm 0.100886 | 0.30362 pm 0.0912233 | 0.278698 pm 0.0837242 | 0.660834 pm 0.223829 | 0.248611 pm 0.0750859 | 1.24023 pm 0.372734 | 0.186819 pm 0.0561613 | 0.992996 pm 0.29804 | 
 | ttWW | 0.354284 pm 0.177291 | 0.0107202 pm 0.00538367 | 0.0685003 pm 0.0456806 | 0.130507 pm 0.0715404 | 2.57564 pm 1.28824 | 2.4302 pm 1.21558 | 6.05183 pm 3.02728 | 6.24155 pm 3.12217 | 0.302569 pm 0.154857 | 0.239775 pm 0.121849 | 1.92707 pm 0.964116 | 1.6275 pm 0.814308 | 8.63232 pm 4.3168 | 
 | rarettVV | 0.146053 pm 0.0730881 | 0.00792939 pm 0.00397926 | 0.0137902 pm 0.00691078 | 0.0330757 pm 0.0167619 | 1.25646 pm 0.62842 | 0.780139 pm 0.390241 | 1.59147 pm 0.796017 | 1.02948 pm 0.514937 | 0.595889 pm 0.318666 | 0.133028 pm 0.0688588 | 1.02684 pm 0.532914 | 0.344314 pm 0.172283 | 2.24246 pm 1.12142 | 
 | ttll_MG_high_mll | 6.60292 pm 1.58574 | 0.429959 pm 0.176053 | 2.54786 pm 0.442296 | 6.00039 pm 1.35162 | 46.7711 pm 9.67428 | 44.0639 pm 8.51296 | 44.234 pm 9.61038 | 42.4327 pm 8.84073 | 1.8368 pm 0.290316 | 2.67877 pm 0.369488 | 9.92075 pm 1.20856 | 14.5282 pm 2.47836 | 45.5548 pm 8.11517 | 
 | ttll_MG_low_mll | 0.449483 pm 0.107946 | 0.0365432 pm 0.0149632 | 0.119721 pm 0.0530761 | 0.25895 pm 0.068242 | 3.08834 pm 0.640002 | 2.84004 pm 0.547918 | 2.20395 pm 0.484206 | 2.28848 pm 0.481278 | 0.110429 pm 0.0347882 | 0.0234872 pm 0.0272624 | 0.426297 pm 0.0559402 | 0.0670957 pm 0.0191631 | 2.87049 pm 0.512681 | 
 | ttH | 3.33248 pm 0.340206 | 0.236089 pm 0.0634946 | 1.71497 pm 0.179993 | 3.51739 pm 0.0847659 | 39.2441 pm 3.95615 | 39.1838 pm 3.96194 | 34.0264 pm 3.43606 | 33.7262 pm 0.473861 | 2.21535 pm 0.316579 | 2.05029 pm 0.259075 | 12.6979 pm 1.29579 | 9.59909 pm 0.979947 | 54.4362 pm 5.47201 | 
 | QmisID | 113.665 pm 2.33495 | 1.57692 pm 0.0676486 | 2e-06 pm 8.20104e-08 | 2e-06 pm 5.75129e-08 | 18.4535 pm 0.221907 | 17.4684 pm 0.271036 | 34.0088 pm 0.37734 | 36.7599 pm 0.480415 | 1.32667 pm 0.0391329 | 2e-06 pm 6.62991e-08 | 6.97753 pm 0.127978 | 0.00306865 pm 8.09505e-05 | 31.9981 pm 0.287517 | 
 | CO | 70.4896 pm 4.06381 | 3.56322 pm 0.245372 | 3.29041 pm 0.443222 | 1.66166 pm 0.395857 | 2.83894 pm 0.252657 | 2.30817 pm 0.21763 | 11.5526 pm 0.806169 | 8.5365 pm 0.649844 | 0.397884 pm 0.0111126 | 0.441553 pm 0.364301 | 4.2683 pm 0.0779942 | 1.31145 pm 0.17641 | 19.7766 pm 0.197753 | 
 | gstr | 19.9962 pm 0.41077 | 47.0383 pm 2.01791 | 4.41992 pm 0.139347 | 1.52651 pm 0.0874676 | 6.15638 pm 0.323861 | 6.00143 pm 0.317711 | 12.5869 pm 0.138214 | 9.9881 pm 0.141231 | 0.832051 pm 0.143359 | 0.403058 pm 0.137513 | 4.30247 pm 0.281432 | 1.52911 pm 0.300509 | 19.0697 pm 0.191258 | 
 | HFe | 15.2903 pm 0.3141 | 5.83001 pm 0.250103 | 53.4525 pm 1.74082 | 17.841 pm 0.457537 | 24.5277 pm 0.283038 | 25.4639 pm 0.376471 | 71.1433 pm 0.788126 | 72.0073 pm 0.891706 | 0.128058 pm 0.28888 | 0.564631 pm 0.0582204 | 4.68507 pm 0.104138 | 0.620585 pm 0.112094 | 15.9913 pm 0.175942 | 
 | HFm | 14.5506 pm 0.298904 | 1.93166 pm 0.0828667 | 26.3628 pm 0.840491 | 110.932 pm 2.77436 | 63.1919 pm 0.738409 | 69.4019 pm 1.00407 | 93.102 pm 1.03006 | 95.9389 pm 1.19444 | 0.358485 pm 0.149292 | 0.497644 pm 0.0629224 | 6.21859 pm 0.156247 | 0.559298 pm 0.126286 | 23.6985 pm 1.96006 | 
 | light | 3.50756 pm 0.265464 | 1.48524 pm 0.104938 | 0.989332 pm 0.745529 | 0.404496 pm 0.310278 | 2.72136 pm 0.304011 | 0.947577 pm 0.167097 | 15.1276 pm 0.170345 | 9.55671 pm 0.122038 | 0.31874 pm 0.0223143 | 0.0295356 pm 0.00127425 | 1.96573 pm 0.0389361 | 0.797274 pm 0.015712 | 10.3614 pm 0.0948603 | 
