NUISANCE_PARAMETERS
NF_ttW_4j_minus  1.11598 +0.257275 -0.25264
-7.34795e-09   7.96761e-09   -1.61381e-09   1.49398e-11   -1.4873e-11   3.97798e-11   1.0222e-11   -2.50447e-11   -1.99683e-11   6.52389e-11   2.13427e-10   6.73744e-09   -1.54806e-10   6.64384e-09   -1.35518e-10   -5.02396e-11   9.00992e-11   1.85824e-10   -2.00239e-10   4.45741e-10   1.06385e-11   9.05425e-10   -1.08271e-10   -9.20116e-11   6.19719e-10   2.75186e-10   -2.49188e-09   -6.93202e-10   -2.1133e-10   -1.2472e-11   6.75637e-11   1.13904e-10   1.14093e-10   -1.06891e-09   -1.68662e-10   -2.0157e-11   2.1582e-11   -9.33473e-11   -5.13109e-11   1.38159e-10   -2.53814e-10   -7.30169e-10   5.00613e-11   3.57844e-10   2.56209e-11   -5.45752e-11   1.83224e-09   -7.0155e-11   5.86716e-12   3.41424e-11   7.2414e-12   3.33111e-11   -1.63511e-12   -1.37127e-09   -3.01514e-12   -1.36955e-09   -1.37362e-09   3.06632e-12   -1.60735e-10   3.89274e-10   -5.96025e-09   3.45618e-11   -1.36773e-09   -2.36979e-12   7.21125e-09   4.48812e-12   1.41425e-09   -2.21972e-10   6.92136e-10   -1.58359e-09   5.28389e-11   8.1893e-10   1.04365e-10   -1.41003e-09   2.83401e-10   1.34616e-11   1.31774e-11   4.51818e-11   2.34629e-13   8.2471e-13   2.26018e-14   -3.52948e-11   -1.37815e-09   -2.58242e-11   -5.08943e-12   5.63665e-12   -1.39135e-09   1.36982e-09   1.37578e-09   -4.89212e-12   1.37105e-09   -3.77883e-12   -1.38407e-11   1.11959e-11   -1.37214e-09   2.93728e-11   -1.36567e-09   3.47677e-11   -1.38426e-10   -6.84682e-09   1.36269e-09   5.34395e-11   1.19112e-10   -1.69042e-10   9.40479e-12   3.49711e-12   -8.40078e-12   -7.971e-11   -1.01033e-11   3.84197e-12   3.61205e-11   -5.25443e-11   -8.40787e-12   2.87441e-11   -3.16875e-11   1.63632e-09   -1.42838e-09   2.42489e-11   -4.85463e-11   -1.3784e-09   1.37574e-12   -5.45924e-12   3.74363e-13   1.37063e-09   3.74363e-13   -3.74207e-13   1.36629e-09   3.74363e-13   -3.74207e-13   3.74363e-13   6.06677e-13   1.07323e-10   1   1.37143e-09   -4.75964e-12   -7.11885e-13   7.22861e-13   1.44176e-12   -3.00755e-12   -1.33152e-09   -1.68709e-12   -2.70682e-12   7.47353e-11   1.93193e-12   1.09895e-09   -2.37727e-09   -1.84609e-09   6.89889e-10   2.18891e-09   -2.03098e-09   -1.74671e-09   -2.14728e-09   -3.92677e-09   
-0.00541475   0.00865125   -0.000863689   2.48685e-06   3.45734e-05   -0.000131895   0.00028196   -3.99789e-05   -1.02599e-05   0.000155154   0.000541133   8.96236e-05   0.000132925   0.000111338   -3.65168e-05   0.000330596   0.000725197   0.00142077   0.0011624   -0.000935665   -0.00412517   -0.000777812   0.000173002   -0.00298738   -0.00122467   -0.000139268   -0.00353042   -0.00120157   -0.000269201   6.39361e-05   0.000146343   0.000278732   0.000380799   -0.000935862   6.5833e-05   0.000242896   0.000319621   0.000654805   0.000717369   0.000829038   -0.000798753   0.0010484   0.000350251   -0.000882114   3.92982e-05   -0.000171213   0.000853831   -0.000230446   1.0408e-05   8.49861e-05   2.0934e-05   8.99337e-05   -1.64906e-05   -1.96856e-05   -3.89421e-07   -3.67316e-06   2.46085e-05   2.62212e-05   -0.000364977   0.000318789   0.000538336   3.51278e-05   -3.1219e-05   1.55162e-05   0.00121535   2.05181e-05   8.12068e-05   -0.000440141   -0.00136846   -0.000464369   9.07224e-05   0.000575593   9.84368e-05   0.000135707   0.00170367   -5.81903e-06   1.54247e-05   0.000102669   1.41203e-07   -1.48181e-06   4.19452e-08   0.000310064   1.25553e-05   8.94722e-05   1.14602e-05   1.51107e-05   0.000410511   5.04893e-05   -6.04366e-05   -2.58628e-05   -5.27579e-05   3.69448e-05   -3.38629e-05   8.80339e-06   8.64646e-05   -4.21544e-05   -3.7954e-05   -4.38695e-05   -1.42333e-05   -8.73172e-05   3.63093e-05   -8.4432e-05   4.65487e-05   -7.16773e-07   -3.51639e-05   -6.04201e-05   1.28701e-05   -1.29241e-05   5.0372e-05   6.1371e-05   -9.18299e-05   3.61817e-05   -4.68703e-05   1.80197e-05   1.23388e-05   -6.62975e-05   0.00036334   -0.000119168   0.00041985   1.166e-05   0.000257207   4.89131e-05   -3.23764e-07   3.51066e-07   -3.23764e-07   3.37956e-07   5.36984e-05   -3.23764e-07   3.37956e-07   -3.23764e-07   -6.28943e-07   1   1.07323e-10   -1.70013e-06   1.43533e-05   -3.0448e-06   1.76058e-06   -1.14217e-06   -5.90142e-07   -4.51851e-05   1.37868e-06   2.18176e-06   -0.000117125   -0.000231695   0.00835026   0.00747595   0.000949939   -0.00442519   -0.0107484   0.00694142   0.00495289   -0.0138625   -0.0167199   
-1.47848e-05   2.08426e-05   4.50122e-06   -1.71245e-07   3.77398e-08   3.37707e-08   -7.53229e-08   -7.66812e-08   6.87209e-08   8.74472e-07   -8.94215e-07   6.45596e-07   8.09834e-07   1.131e-06   8.26014e-07   1.885e-06   2.74174e-06   1.79701e-06   -2.91726e-07   -1.51418e-06   -6.85224e-06   -7.18014e-07   -6.00577e-07   -9.49736e-06   -7.42882e-09   9.40683e-07   -6.05227e-06   -1.64951e-06   -3.61563e-06   -4.63016e-06   -1.16407e-06   2.35868e-06   -2.05457e-06   -8.34933e-07   -3.12224e-06   -4.19834e-06   -2.12058e-06   -3.69588e-06   3.4957e-07   -8.70598e-07   6.76111e-06   5.0166e-06   -2.9251e-07   4.92405e-06   1.3579e-07   -4.39311e-07   1.02468e-07   -1.44826e-06   -1.01206e-07   -4.09003e-08   -1.54011e-07   -2.30109e-08   -4.79174e-08   -1.76708e-08   1.52188e-10   -1.59165e-08   -3.16019e-09   6.08172e-08   4.04571e-07   -1.54761e-06   7.67211e-06   -5.15837e-07   -3.02922e-07   -4.81175e-09   3.70395e-08   -1.22971e-07   -1.07807e-07   5.22405e-07   -1.97777e-06   -2.62646e-06   5.10832e-07   4.81835e-06   6.26096e-08   -6.669e-07   -3.3975e-07   3.23464e-08   -2.02098e-07   -1.36929e-08   4.21906e-11   3.55623e-10   1.28903e-10   -3.67466e-08   5.89536e-08   2.25734e-06   -1.55292e-08   2.00997e-08   2.2484e-06   2.40151e-06   -1.50767e-08   9.0619e-08   -1.95646e-07   9.44233e-08   6.85273e-08   -5.77365e-09   -2.66408e-06   9.35529e-08   -2.8266e-06   -7.30905e-08   -2.40978e-06   -5.89207e-07   -2.00877e-06   -7.98515e-08   2.96708e-06   5.03722e-07   3.15345e-06   -3.57197e-08   2.85918e-08   -2.51006e-06   -4.77507e-08   -1.14435e-07   -5.91245e-08   1.20321e-07   6.75589e-08   6.97644e-08   1.6833e-07   -2.2086e-07   3.10125e-07   -3.85086e-06   3.10509e-06   -1.26111e-09   2.99443e-06   -1.16299e-07   8.46372e-11   -6.93607e-09   8.46372e-11   -8.4002e-11   2.49614e-06   8.46372e-11   -8.4002e-11   8.46372e-11   1   -6.28943e-07   6.06677e-13   -5.06351e-08   1.11318e-08   1.19283e-08   -8.96617e-09   -7.25292e-09   2.20405e-08   -2.25252e-07   8.47416e-09   1.36022e-08   8.84778e-07   -1.81458e-07   -3.22856e-05   -1.91495e-05   3.70113e-07   5.47315e-06   0.000231099   -8.24626e-05   5.4437e-06   -3.72193e-05   -6.18295e-05   
-2.87785e-05   4.28431e-05   -0.000178449   6.05462e-06   3.46594e-06   -2.92193e-05   -3.85756e-05   5.28436e-06   4.09789e-06   3.76868e-06   3.69336e-06   1.90037e-06   8.06917e-07   9.51379e-07   -3.69067e-07   -1.31756e-06   -1.3056e-06   -5.85193e-07   2.02966e-06   1.50125e-06   -2.31731e-07   2.75861e-06   -1.31041e-06   3.76097e-07   1.93622e-06   -8.74411e-07   -2.20682e-05   -7.59041e-06   -2.92947e-06   -7.2586e-07   5.25268e-07   1.29572e-06   7.80242e-08   -1.03674e-05   -2.22401e-06   -7.62554e-07   4.44884e-08   4.31815e-07   6.61651e-07   -6.22298e-08   -5.91318e-07   -2.38792e-07   3.33101e-07   2.39092e-06   2.52803e-07   -8.4037e-07   -3.15256e-05   6.9414e-05   4.80107e-06   -3.85397e-06   8.00355e-06   -4.20514e-05   -1.10953e-07   -1.76744e-07   -4.04672e-09   -7.19091e-09   5.44773e-07   2.50253e-07   1.5387e-06   -3.07082e-05   -1.73997e-05   2.21896e-05   -1.11651e-05   8.23141e-07   -7.42663e-06   6.90699e-06   -3.45584e-05   2.40958e-06   -1.68355e-05   -2.94334e-06   5.37816e-07   -1.1885e-06   -3.03156e-07   -2.82822e-06   1.75273e-06   -7.80388e-06   8.85663e-06   -7.22772e-06   -2.85265e-09   -7.29463e-07   1.43247e-10   -1.23989e-05   -9.84868e-07   9.68374e-07   4.49526e-07   -4.25851e-07   1.5138e-06   1.10708e-07   1.04161e-05   -9.87533e-07   1.02858e-05   1.85149e-06   1.11779e-05   -5.71674e-07   -1.17498e-05   1.11271e-06   9.76008e-06   8.06409e-07   -3.63792e-06   -1.33325e-05   -3.48607e-06   -2.32564e-06   3.8083e-06   1.3488e-05   4.14488e-06   9.73833e-06   6.01802e-07   1.12446e-05   -6.39344e-07   -3.30484e-06   8.29762e-07   1.16385e-06   9.5617e-08   -3.79312e-06   -6.22608e-06   -8.0926e-06   -1.13064e-05   -2.86156e-08   -1.45373e-05   -5.89219e-07   2.7929e-07   9.13803e-08   -5.99302e-07   5.79754e-07   -5.99302e-07   5.99293e-07   1.4383e-07   -5.99302e-07   5.99293e-07   1   8.46372e-11   -3.23764e-07   3.74363e-13   1.05522e-06   2.29181e-06   -1.03905e-06   6.56015e-07   -7.12282e-09   -8.54901e-07   7.1825e-06   8.31554e-09   1.33494e-08   4.99206e-07   2.84817e-09   3.44611e-06   -3.14129e-06   -1.70028e-06   -5.01253e-06   1.58838e-06   -8.03177e-06   -2.85715e-06   6.27463e-06   5.79187e-06   
2.86936e-05   -4.27728e-05   0.000178481   -6.0559e-06   -3.46658e-06   2.92182e-05   3.85061e-05   -5.28579e-06   -4.09863e-06   -3.76835e-06   -3.6915e-06   -1.90135e-06   -8.07651e-07   -9.52422e-07   3.68677e-07   1.31908e-06   1.30938e-06   5.90916e-07   -2.03597e-06   -1.50263e-06   2.36625e-07   -2.7486e-06   1.30193e-06   -3.74421e-07   -1.93165e-06   8.69428e-07   2.20563e-05   7.65635e-06   2.93031e-06   7.27166e-07   -5.24408e-07   -1.29783e-06   -7.85e-08   1.03748e-05   2.22336e-06   7.62646e-07   -4.46488e-08   -4.32944e-07   -6.64762e-07   6.32233e-08   5.90454e-07   2.37699e-07   -3.33839e-07   -2.38975e-06   -2.3889e-07   8.40139e-07   3.15411e-05   -6.94304e-05   -4.80206e-06   3.8394e-06   -8.00519e-06   4.20782e-05   1.38322e-07   1.90411e-07   1.77345e-08   7.20936e-09   -5.31088e-07   -2.22754e-07   -1.5408e-06   3.07118e-05   1.73811e-05   -2.21942e-05   1.11881e-05   -8.23074e-07   7.50135e-06   -6.9084e-06   3.45705e-05   -2.39844e-06   1.68618e-05   2.94246e-06   -5.23647e-07   1.20163e-06   3.05097e-07   2.84024e-06   -1.75857e-06   7.78945e-06   -8.85847e-06   7.21278e-06   2.85356e-09   7.29441e-07   -1.43262e-10   1.24116e-05   9.9854e-07   -9.68743e-07   -4.36079e-07   4.5348e-07   -1.51471e-06   -1.11013e-07   -1.0416e-05   9.87282e-07   -1.02577e-05   -1.85178e-06   -1.11778e-05   5.8537e-07   1.17496e-05   -1.09862e-06   -9.76e-06   -7.92636e-07   3.64118e-06   1.34694e-05   3.49977e-06   2.33941e-06   -3.78359e-06   -1.34704e-05   -4.1449e-06   -9.73823e-06   -6.01811e-07   -1.1231e-05   6.53257e-07   3.30503e-06   -8.2997e-07   -1.16411e-06   -8.20919e-08   3.77956e-06   6.22707e-06   8.10351e-06   1.13048e-05   9.74857e-08   1.45365e-05   6.16603e-07   -2.65908e-07   -6.39632e-08   5.99293e-07   -5.79744e-07   5.99293e-07   -5.99283e-07   -1.30421e-07   5.99293e-07   1   5.99293e-07   -8.4002e-11   3.37956e-07   -3.74207e-13   -1.04142e-06   -2.29155e-06   1.05271e-06   -6.55981e-07   7.12941e-09   8.41138e-07   -7.18225e-06   5.38684e-09   3.4835e-10   -4.8533e-07   -2.53983e-09   -3.40366e-06   3.12041e-06   1.70257e-06   5.03107e-06   -1.58876e-06   8.02325e-06   2.85796e-06   -6.25192e-06   -5.78465e-06   
-2.87785e-05   4.28431e-05   -0.000178449   6.05462e-06   3.46594e-06   -2.92193e-05   -3.85756e-05   5.28436e-06   4.09789e-06   3.76868e-06   3.69336e-06   1.90037e-06   8.06917e-07   9.51379e-07   -3.69067e-07   -1.31756e-06   -1.3056e-06   -5.85193e-07   2.02966e-06   1.50125e-06   -2.31731e-07   2.75861e-06   -1.31041e-06   3.76097e-07   1.93622e-06   -8.74411e-07   -2.20682e-05   -7.59041e-06   -2.92947e-06   -7.2586e-07   5.25268e-07   1.29572e-06   7.80242e-08   -1.03674e-05   -2.22401e-06   -7.62554e-07   4.44884e-08   4.31815e-07   6.61651e-07   -6.22298e-08   -5.91318e-07   -2.38792e-07   3.33101e-07   2.39092e-06   2.52803e-07   -8.4037e-07   -3.15256e-05   6.9414e-05   4.80107e-06   -3.85397e-06   8.00355e-06   -4.20514e-05   -1.10953e-07   -1.76744e-07   -4.04672e-09   -7.19091e-09   5.44773e-07   2.50253e-07   1.5387e-06   -3.07082e-05   -1.73997e-05   2.21896e-05   -1.11651e-05   8.23141e-07   -7.42663e-06   6.90699e-06   -3.45584e-05   2.40958e-06   -1.68355e-05   -2.94334e-06   5.37816e-07   -1.1885e-06   -3.03156e-07   -2.82822e-06   1.75273e-06   -7.80388e-06   8.85663e-06   -7.22772e-06   -2.85265e-09   -7.29463e-07   1.43247e-10   -1.23989e-05   -9.84868e-07   9.68374e-07   4.49526e-07   -4.25851e-07   1.5138e-06   1.10708e-07   1.04161e-05   -9.87533e-07   1.02858e-05   1.85149e-06   1.11779e-05   -5.71674e-07   -1.17498e-05   1.11271e-06   9.76008e-06   8.06409e-07   -3.63792e-06   -1.33325e-05   -3.48607e-06   -2.32564e-06   3.8083e-06   1.3488e-05   4.14488e-06   9.73833e-06   6.01802e-07   1.12446e-05   -6.39344e-07   -3.30484e-06   8.29762e-07   1.16385e-06   9.5617e-08   -3.79312e-06   -6.22608e-06   -8.0926e-06   -1.13064e-05   -2.86156e-08   -1.45373e-05   -5.89219e-07   2.7929e-07   9.13803e-08   -5.99302e-07   5.79754e-07   -5.99302e-07   5.99293e-07   1.4383e-07   1   5.99293e-07   -5.99302e-07   8.46372e-11   -3.23764e-07   3.74363e-13   1.05522e-06   2.29181e-06   -1.03905e-06   6.56015e-07   -7.12282e-09   -8.54901e-07   7.1825e-06   8.31554e-09   1.33494e-08   4.99206e-07   2.84817e-09   3.44611e-06   -3.14129e-06   -1.70028e-06   -5.01253e-06   1.58838e-06   -8.03177e-06   -2.85715e-06   6.27463e-06   5.79187e-06   
2.65929e-05   0.000404415   -0.00457601   -1.79181e-05   -0.000445119   5.48281e-05   -3.13199e-05   0.000145051   0.000101424   5.29883e-05   9.56482e-06   -7.35939e-06   -0.000113943   -2.24627e-06   -2.47547e-05   -7.68672e-05   -0.000114693   -0.000119635   3.42185e-05   5.83598e-05   0.000727835   -5.62906e-05   -2.74053e-05   5.44511e-05   2.65715e-05   4.08824e-05   -0.000473734   -0.000204155   -8.93367e-05   -3.16091e-05   -2.06364e-05   4.39167e-06   -1.53067e-05   -0.00020722   -3.72229e-05   -1.27675e-05   7.08728e-07   3.47964e-05   3.01299e-05   1.11908e-05   0.000312249   -0.000175174   3.99732e-05   -2.41012e-05   5.93293e-06   -3.5718e-06   -0.00107623   -0.00118357   -0.000125045   -7.46649e-05   -0.000255338   2.50639e-05   2.03613e-06   3.00732e-06   1.54468e-07   1.03651e-06   2.80041e-06   -3.77886e-06   5.75289e-05   -0.000183336   8.14956e-05   -0.000425424   -1.97727e-05   -3.31269e-06   -0.000147636   -0.000252081   -0.000150117   8.79252e-05   -0.000141112   -6.87228e-05   1.19637e-05   1.02751e-05   -0.000174469   -4.88376e-05   8.53593e-07   2.84541e-06   -0.000182141   2.82022e-05   -3.72301e-07   9.53094e-07   1.19106e-08   -4.83563e-05   8.25954e-05   -0.000306073   -1.02559e-05   -1.78206e-05   -0.000482449   -0.000283114   -8.75108e-05   8.83282e-05   -0.000151003   6.36436e-05   0.000116366   -9.14285e-05   0.000166322   -8.80259e-05   -8.59681e-05   9.21703e-05   0.000189242   -5.07555e-05   0.000160312   -2.17084e-05   1.83096e-05   -0.000150101   -0.000164242   -0.000104644   9.1644e-05   1.8245e-05   9.59409e-05   -0.00012771   9.26169e-05   2.86379e-05   8.76796e-05   -5.34588e-05   -2.18699e-05   0.000156868   -9.30159e-05   0.000301786   -0.000358842   7.31016e-05   -0.000312002   -1.37882e-06   1.4383e-07   -1.15838e-07   1.4383e-07   -1.30421e-07   1   1.4383e-07   -1.30421e-07   1.4383e-07   2.49614e-06   5.36984e-05   1.36629e-09   -2.49593e-07   3.78343e-06   5.82998e-07   -1.61223e-07   9.65665e-07   -1.1086e-06   -2.81863e-05   -1.09566e-06   -1.76179e-06   1.15427e-06   3.61904e-05   -0.000375818   6.07744e-06   -6.26662e-05   -0.000233313   -0.00217095   0.00161408   -0.000217074   0.000510951   0.000378306   
2.86936e-05   -4.27728e-05   0.000178481   -6.0559e-06   -3.46658e-06   2.92182e-05   3.85061e-05   -5.28579e-06   -4.09863e-06   -3.76835e-06   -3.6915e-06   -1.90135e-06   -8.07651e-07   -9.52422e-07   3.68677e-07   1.31908e-06   1.30938e-06   5.90916e-07   -2.03597e-06   -1.50263e-06   2.36625e-07   -2.7486e-06   1.30193e-06   -3.74421e-07   -1.93165e-06   8.69428e-07   2.20563e-05   7.65635e-06   2.93031e-06   7.27166e-07   -5.24408e-07   -1.29783e-06   -7.85e-08   1.03748e-05   2.22336e-06   7.62646e-07   -4.46488e-08   -4.32944e-07   -6.64762e-07   6.32233e-08   5.90454e-07   2.37699e-07   -3.33839e-07   -2.38975e-06   -2.3889e-07   8.40139e-07   3.15411e-05   -6.94304e-05   -4.80206e-06   3.8394e-06   -8.00519e-06   4.20782e-05   1.38322e-07   1.90411e-07   1.77345e-08   7.20936e-09   -5.31088e-07   -2.22754e-07   -1.5408e-06   3.07118e-05   1.73811e-05   -2.21942e-05   1.11881e-05   -8.23074e-07   7.50135e-06   -6.9084e-06   3.45705e-05   -2.39844e-06   1.68618e-05   2.94246e-06   -5.23647e-07   1.20163e-06   3.05097e-07   2.84024e-06   -1.75857e-06   7.78945e-06   -8.85847e-06   7.21278e-06   2.85356e-09   7.29441e-07   -1.43262e-10   1.24116e-05   9.9854e-07   -9.68743e-07   -4.36079e-07   4.5348e-07   -1.51471e-06   -1.11013e-07   -1.0416e-05   9.87282e-07   -1.02577e-05   -1.85178e-06   -1.11778e-05   5.8537e-07   1.17496e-05   -1.09862e-06   -9.76e-06   -7.92636e-07   3.64118e-06   1.34694e-05   3.49977e-06   2.33941e-06   -3.78359e-06   -1.34704e-05   -4.1449e-06   -9.73823e-06   -6.01811e-07   -1.1231e-05   6.53257e-07   3.30503e-06   -8.2997e-07   -1.16411e-06   -8.20919e-08   3.77956e-06   6.22707e-06   8.10351e-06   1.13048e-05   9.74857e-08   1.45365e-05   6.16603e-07   -2.65908e-07   -6.39632e-08   5.99293e-07   -5.79744e-07   5.99293e-07   1   -1.30421e-07   5.99293e-07   -5.99283e-07   5.99293e-07   -8.4002e-11   3.37956e-07   -3.74207e-13   -1.04142e-06   -2.29155e-06   1.05271e-06   -6.55981e-07   7.12941e-09   8.41138e-07   -7.18225e-06   5.38684e-09   3.4835e-10   -4.8533e-07   -2.53983e-09   -3.40366e-06   3.12041e-06   1.70257e-06   5.03107e-06   -1.58876e-06   8.02325e-06   2.85796e-06   -6.25192e-06   -5.78465e-06   
-2.87785e-05   4.28431e-05   -0.000178449   6.05462e-06   3.46594e-06   -2.92193e-05   -3.85756e-05   5.28436e-06   4.09789e-06   3.76868e-06   3.69336e-06   1.90037e-06   8.06917e-07   9.51379e-07   -3.69067e-07   -1.31756e-06   -1.3056e-06   -5.85193e-07   2.02966e-06   1.50125e-06   -2.31731e-07   2.75861e-06   -1.31041e-06   3.76097e-07   1.93622e-06   -8.74411e-07   -2.20682e-05   -7.59041e-06   -2.92947e-06   -7.2586e-07   5.25268e-07   1.29572e-06   7.80242e-08   -1.03674e-05   -2.22401e-06   -7.62554e-07   4.44884e-08   4.31815e-07   6.61651e-07   -6.22298e-08   -5.91318e-07   -2.38792e-07   3.33101e-07   2.39092e-06   2.52803e-07   -8.4037e-07   -3.15256e-05   6.9414e-05   4.80107e-06   -3.85397e-06   8.00355e-06   -4.20514e-05   -1.10953e-07   -1.76744e-07   -4.04672e-09   -7.19091e-09   5.44773e-07   2.50253e-07   1.5387e-06   -3.07082e-05   -1.73997e-05   2.21896e-05   -1.11651e-05   8.23141e-07   -7.42663e-06   6.90699e-06   -3.45584e-05   2.40958e-06   -1.68355e-05   -2.94334e-06   5.37816e-07   -1.1885e-06   -3.03156e-07   -2.82822e-06   1.75273e-06   -7.80388e-06   8.85663e-06   -7.22772e-06   -2.85265e-09   -7.29463e-07   1.43247e-10   -1.23989e-05   -9.84868e-07   9.68374e-07   4.49526e-07   -4.25851e-07   1.5138e-06   1.10708e-07   1.04161e-05   -9.87533e-07   1.02858e-05   1.85149e-06   1.11779e-05   -5.71674e-07   -1.17498e-05   1.11271e-06   9.76008e-06   8.06409e-07   -3.63792e-06   -1.33325e-05   -3.48607e-06   -2.32564e-06   3.8083e-06   1.3488e-05   4.14488e-06   9.73833e-06   6.01802e-07   1.12446e-05   -6.39344e-07   -3.30484e-06   8.29762e-07   1.16385e-06   9.5617e-08   -3.79312e-06   -6.22608e-06   -8.0926e-06   -1.13064e-05   -2.86156e-08   -1.45373e-05   -5.89219e-07   2.7929e-07   9.13803e-08   -5.99302e-07   5.79754e-07   1   5.99293e-07   1.4383e-07   -5.99302e-07   5.99293e-07   -5.99302e-07   8.46372e-11   -3.23764e-07   3.74363e-13   1.05522e-06   2.29181e-06   -1.03905e-06   6.56015e-07   -7.12282e-09   -8.54901e-07   7.1825e-06   8.31554e-09   1.33494e-08   4.99206e-07   2.84817e-09   3.44611e-06   -3.14129e-06   -1.70028e-06   -5.01253e-06   1.58838e-06   -8.03177e-06   -2.85715e-06   6.27463e-06   5.79187e-06   
2.82407e-05   -4.20792e-05   0.000175335   -5.98356e-06   -3.44051e-06   2.87229e-05   3.7864e-05   -5.15785e-06   -4.06051e-06   -3.66866e-06   -3.59454e-06   -1.83392e-06   -7.58556e-07   -9.01042e-07   3.97714e-07   1.30408e-06   1.29402e-06   5.87779e-07   -2.00449e-06   -1.46785e-06   2.39299e-07   -2.69786e-06   1.29065e-06   -3.60398e-07   -1.8927e-06   8.64156e-07   2.16971e-05   7.63093e-06   2.88767e-06   7.48326e-07   -5.09037e-07   -1.26903e-06   -6.81074e-08   1.02235e-05   2.19321e-06   7.56292e-07   -3.73735e-08   -4.18375e-07   -6.45823e-07   9.80674e-08   6.15314e-07   2.3995e-07   -3.61804e-07   -2.31559e-06   -2.13844e-07   8.31994e-07   3.10133e-05   -6.82146e-05   -4.7107e-06   3.76736e-06   -7.85747e-06   4.13477e-05   1.44791e-07   1.97067e-07   3.82133e-08   3.73937e-10   -5.05886e-07   -2.15934e-07   -1.51917e-06   3.01706e-05   1.71231e-05   -2.17966e-05   1.10043e-05   -8.05413e-07   7.4195e-06   -6.82129e-06   3.39617e-05   -2.3471e-06   1.65709e-05   2.8822e-06   -4.93527e-07   1.18996e-06   2.90549e-07   2.80553e-06   -1.73675e-06   7.65579e-06   -8.70944e-06   7.11244e-06   -4.05144e-09   7.10983e-07   6.7146e-09   1.22106e-05   9.93524e-07   -9.44785e-07   -4.09749e-07   4.50284e-07   -1.50233e-06   -9.67904e-08   -1.02419e-05   9.81872e-07   -1.00672e-05   -1.8239e-06   -1.09789e-05   5.66305e-07   1.15519e-05   -1.09071e-06   -9.58513e-06   -7.69524e-07   3.5737e-06   1.32536e-05   3.44611e-06   2.30289e-06   -3.71209e-06   -1.3237e-05   -4.08604e-06   -9.56363e-06   -5.9617e-07   -1.10237e-05   6.4771e-07   3.24716e-06   -8.07431e-07   -1.1371e-06   -6.22244e-08   3.71706e-06   6.13363e-06   7.94561e-06   1.11086e-05   4.32123e-08   1.42779e-05   6.10592e-07   -2.48584e-07   -5.01408e-08   5.79754e-07   1   5.79754e-07   -5.79744e-07   -1.15838e-07   5.79754e-07   -5.79744e-07   5.79754e-07   -6.93607e-09   3.51066e-07   1.37063e-09   -1.008e-06   -2.25364e-06   1.04927e-06   -6.23906e-07   1.38577e-08   8.37325e-07   -7.06019e-06   1.23898e-08   7.44092e-09   -4.69932e-07   1.7947e-08   -3.34879e-06   3.07374e-06   1.69231e-06   4.93754e-06   -1.55801e-06   7.88761e-06   2.81237e-06   -6.15001e-06   -5.68442e-06   
