 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.191512 / -0.176737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.476634 / -0.484629 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.52721 / -0.46701 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -0.0478959 / 0.0478827 | -0.0222075 / 0.0222008 | 0 / 0 | -0.0317453 / 0.0317359 | 0 / 0 | -0.0268825 / 0.0268744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0733036 / 0.0732863 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0313056 / 0.0312963 | -0.148007 / 0.148 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0322129 / -0.0322026 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0355627 / -0.0355413 | 0 / 0 | -0.0229818 / 0.0229676 | -0.0279043 / 0.027887 | 0 / 0 | -0.0421866 / 0.0421603 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.113779 / -0.113711 | -0.0307338 / 0.0307148 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0462201 / 0.0461912 | 0.0651254 / -0.0650865 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.10809 / 0.108019 | -0.62907 / 0.628153 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.113155 / -0.113059 | -0.0347532 / 0.0347767 | -0.049782 / 0.0498306 | -0.0376416 / 0.0376691 | -0.0220681 / 0.0220777 | -0.0555022 / 0.0555633 | -0.0214083 / 0.0214175 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.112803 / -0.112706 | -0.0704377 / 0.0705391 | 0 / 0 | 0 / 0 | 0.020812 / -0.0208076 | 0.0252481 / -0.0252413 | 0 / 0 | 0 / 0 | -0.076638 / 0.0767596 | 0.144764 / -0.144643 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.107385 / 0.107642 | -0.636925 / 0.66189 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.222558 / 0.223999 |
 | JET_EtaIntercalibration_TotalStat | 0.0321901 / -0.0321877 | 0 / 0 | 0 / 0 | -0.0226632 / 0.0226616 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0498512 / 0.0498489 | 0 / 0 | 0 / 0 | 0.113733 / -0.113732 | -0.0324626 / 0.0324605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0648062 / -0.0648023 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.164098 / 0.164122 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | -0.0613617 / 0.0613574 | 0 / 0 | 0 / 0 | 0.0216847 / -0.0216859 | 0 / 0 | 0.0275804 / -0.0275811 | 0 / 0 | 0 / 0 | 0 / 0 | 0.049207 / -0.0492027 | 0 / 0 | 0 / 0 | -0.111757 / 0.111697 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0480762 / -0.0480723 | -0.208283 / 0.207809 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0995097 / -0.0994543 | 1.29979 / -0.626691 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.220787 / -0.220152 |
 | JET_InSitu_NonClosure_PreRec | -0.0688029 / 0.0691999 | -0.0682021 / 0.0685894 | -0.0695574 / 0.0699668 | -0.0753846 / 0.0758958 | -0.0386563 / 0.0387085 | -0.0365908 / 0.0366296 | -0.0461847 / 0.0462966 | 0 / 0 | 0.0982642 / -0.0968439 | 0 / 0 | 0 / 0 | 0 / 0 | 0.100126 / -0.098662 | -0.0895935 / 0.0904019 | 0 / 0 | 0 / 0 | 0.0335775 / -0.033314 | 0.0520689 / -0.0515538 | 0 / 0 | -0.0205991 / 0.0205757 | -0.188669 / 0.193752 | 0.0619408 / -0.0612636 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0220843 / 0.0220636 | -0.118633 / 0.120277 | -0.630398 / 0.7414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.469217 / 0.5182 |
 | JET_JERUnc_Noise_PreRec | -0.110806 / 0.11107 | 0.0278908 / -0.0279568 | -0.0954335 / 0.0956654 | 0 / 0 | 0 / 0 | -0.0665773 / 0.0667421 | 0 / 0 | 0 / 0 | 0.0676121 / -0.0677608 | 0 / 0 | 0.0249927 / -0.0250522 | 0 / 0 | 0.114496 / -0.114715 | -0.0732892 / 0.0734701 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.905604 / 0.884463 | 0 / 0 | -0.0970851 / 0.0973205 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0636368 / -0.0637779 | -0.163118 / 0.163472 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.222191 / -0.222383 |
