 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JERUnc_Noise_PreRec | 0.0499305 / -0.0499305 | -0.0329721 / 0.0329721 | 0.0415355 / -0.0415355 | -0.021801 / 0.021801 | 0 / 0 | -0.0336738 / 0.0336738 | 0 / 0 | 0 / 0 | -0.0441375 / 0.0441375 | 0 / 0 | -0.0260107 / 0.0260108 | 0 / 0 | -0.16314 / 0.16314 | 0.0941803 / -0.0941803 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.410468 / -0.410468 | 0 / 0 | 0.10639 / -0.10639 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0771277 / -0.0771276 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.194885 / 0.194885 |
 | JET_JER_EffectiveNP_1 | -0.0508724 / 0.0508724 | 0 / 0 | 0.057596 / -0.057596 | -0.041761 / 0.0417611 | 0 / 0 | 0.028829 / -0.028829 | 0 / 0 | 0 / 0 | -0.0682114 / 0.0682114 | -0.0488543 / 0.0488543 | 0 / 0 | 0 / 0 | 0.115284 / -0.115284 | 0.054154 / -0.054154 | 0 / 0 | 0 / 0 | -0.0220536 / 0.0220535 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0751534 / -0.0751534 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.0617747 / 0.0617746 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0.11133 / -0.11133 | 0.0210778 / -0.0210778 | -0.028466 / 0.028466 | 0 / 0 | 0 / 0 | 0.0573325 / -0.0573325 | 0 / 0 | 0 / 0 | -0.0443451 / 0.0443452 | 0 / 0 | 0 / 0 | 0 / 0 | -0.115284 / 0.115284 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 | 0.028326 / -0.028326 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_2 | -0.136673 / 0.136673 | -0.0267691 / 0.0267691 | 0.0959305 / -0.0959304 | -0.0508113 / 0.0508113 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0508878 / 0.0508878 | 0 / 0 | -0.0207444 / 0.0207445 | 0 / 0 | -0.114426 / 0.114426 | 0.0574144 / -0.0574143 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.910468 / -0.910468 | 0 / 0 | 0.0924551 / -0.0924551 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.0489476 / 0.0489476 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0.0583263 / -0.0583262 | 0.0278618 / -0.0278618 | -0.0308095 / 0.0308095 | 0 / 0 | 0 / 0 | 0.0662776 / -0.0662776 | 0 / 0 | 0 / 0 | 0.0894337 / -0.0894337 | 0 / 0 | 0.032689 / -0.0326891 | 0 / 0 | 0.11233 / -0.11233 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.910464 / 0.910464 | 0 / 0 | -0.02921 / 0.02921 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_JER_EffectiveNP_3 | 0.0464205 / -0.0464205 | 0 / 0 | -0.0602947 / 0.0602947 | 0.042276 / -0.042276 | 0 / 0 | -0.0288015 / 0.0288016 | 0 / 0 | 0 / 0 | 0.0820643 / -0.0820643 | 0 / 0 | 0 / 0 | 0 / 0 | -0.113807 / 0.113807 | -0.0317729 / 0.0317728 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0931973 / 0.0931973 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.064163 / -0.064163 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | -0.110912 / 0.110912 | 0 / 0 | 0.0594327 / -0.0594327 | 0 / 0 | 0 / 0 | -0.0618096 / 0.0618096 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0307122 / 0.0307122 | 0 / 0 | 0.115284 / -0.115284 | -0.0229703 / 0.0229703 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0288774 / -0.0288774 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.0418893 / 0.0418894 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.221521 / 0.221521 |
 | JET_JER_EffectiveNP_4 | 0.0404941 / -0.0404941 | 0 / 0 | -0.06179 / 0.0617899 | 0.025046 / -0.025046 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0807646 / -0.0807646 | 0 / 0 | 0 / 0 | 0 / 0 | -0.113188 / 0.113188 | -0.0416734 / 0.0416734 | 0 / 0 | 0 / 0 | 0.0204151 / -0.0204152 | 0 / 0 | -0.910468 / 0.910468 | 0 / 0 | -0.0796805 / 0.0796804 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0459845 / -0.0459845 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | -0.098308 / 0.098308 | 0 / 0 | 0.0314594 / -0.0314594 | 0 / 0 | 0 / 0 | -0.058432 / 0.058432 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0423758 / 0.0423757 | -0.0235197 / 0.0235197 | 0 / 0 | 0.115284 / -0.115284 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.910464 / -0.910464 | 0 / 0 | 0.0459329 / -0.0459329 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.221521 / 0.221521 |
 | JET_JER_EffectiveNP_5 | -0.0588912 / 0.0588912 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0340541 / 0.0340541 | 0 / 0 | 0 / 0 | 0 / 0 | 0.11233 / -0.11233 | 0.0324048 / -0.0324048 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200871 / -0.020087 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0582261 / -0.058226 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
