 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | JET_JESUnc_VertexingAlg_PreRec | -2.73148e-05 / 2.74563e-05 | 0 / 0 | 0 / 0 | -3.95611e-05 / 4.06512e-05 | 0.025395 / -0.0255007 | 0.0280719 / -0.0281964 | 0.0241457 / -0.0242432 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0464713 / -0.0467653 | 0.0491374 / -0.0494615 | 0.0320245 / -0.0321793 | 0 / 0 | 0.027387 / -0.0275066 | 0.0244797 / -0.0245794 | 0.0276658 / -0.0277874 | 0.0186999 / -0.0187653 | 0 / 0 | 0.0211307 / -0.0212097 | 0.0220762 / -0.0221608 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_NNJvtEfficiency | -3.50903e-06 / 3.53449e-06 | 5.87694e-06 / -5.91023e-06 | 1.3323e-05 / -1.33613e-05 | 6.38394e-05 / -6.43571e-05 | 4.72358e-05 / -4.77727e-05 | -6.48162e-05 / 6.48719e-05 | 7.73504e-05 / -7.81525e-05 | 0 / 0 | 6.51341e-05 / -6.57869e-05 | 0 / 0 | 8.27976e-05 / -8.38185e-05 | 7.33858e-05 / -7.44852e-05 | -2.21392e-05 / 2.23825e-05 | 6.91856e-05 / -7.10311e-05 | 1.49632e-05 / -1.51098e-05 | 4.95025e-06 / -4.96774e-06 | 1.47796e-05 / -1.51441e-05 | 1.15618e-05 / -1.18237e-05 | 0.0262646 / -0.0262993 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.023139 / -0.0231699 | 0.0288812 / -0.0289188 | 0.0329958 / -0.0330382 | -0.000244973 / 0.000244402 |
 | JET_Pileup_RhoTopology | 5.55815e-05 / -5.37366e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0245707 / -0.0243779 | 0.0251475 / -0.0249484 | 0.0329676 / -0.0326755 | -0.0199047 / 0.0198639 | 0 / 0 | 0 / 0 | 0.0294832 / -0.0292344 | 0.0206402 / -0.0204882 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.299153 / -0.299454 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 1.41339e-05 / -1.41817e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0215248 / 0.0213957 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0252579 / -0.0250821 | 0 / 0 | 0 / 0 | 0.0305175 / -0.0303013 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.385975 / -0.376757 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0222862 / -0.0221327 | -4.24743e-05 / 4.32776e-05 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.528174 / -0.501423 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0 / 0 | 0 / 0 | 0.0196861 / -0.0196362 | 0 / 0 | 0.0200051 / -0.0199539 | 0.0198461 / -0.0197955 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0312281 / -0.0311167 | 0 / 0 | 0.0202349 / -0.0201826 | 1.00268e-05 / -1.03466e-05 | 0 / 0 | 0.0200296 / -0.0199782 | 0.0234923 / -0.0234249 | 0.0289008 / -0.0288038 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.01991 / -0.0198592 |
 | others Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0.494606 / -0.497347 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.494606 / -0.497347 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttZ Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.119074 / -0.118823 | 0.119074 / -0.118823 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z generator choice | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.315097 / 0.391297 | -0.321135 / 0.399808 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
