 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.191512 / -0.176737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0202956 / -0.0202742 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0600642 / 0.0574591 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0__1 | 0.0315314 / -0.0315116 | 0.0243032 / -0.0242892 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0618177 / -0.0617632 |
 | FT_EFF_Eigen_B_2__1 | -0.0655725 / 0.0655467 | -0.0541569 / 0.0541413 | -0.0358396 / 0.0358362 | -0.0318619 / 0.0318603 | -0.0311799 / 0.0311785 | -0.033397 / 0.0333947 | -0.0300526 / 0.0300517 | 0 / 0 | -0.0355707 / 0.0355674 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0479947 / 0.0479839 | -0.0220272 / 0.0220287 | -0.0294306 / 0.0294298 | -0.0220084 / 0.0220098 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0265249 / 0.0265252 | -0.0312487 / 0.0312473 | -0.0351013 / 0.0350982 | -0.0441573 / 0.0441492 | -0.0494914 / 0.0494795 | -0.0261927 / 0.0261931 | -0.0243931 / 0.024394 | -0.058059 / 0.0580404 |
 | FT_EFF_Eigen_B_3__1 | 0.0370612 / -0.0370325 | 0.0284915 / -0.0284721 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0203354 / -0.0203235 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0230228 / -0.0230084 | 0.0285627 / -0.0285432 | 0 / 0 | 0 / 0 | 0.0367784 / -0.03675 |
 | FT_EFF_Eigen_B_8__1 | 0.0355796 / -0.0355808 | 0.0293944 / -0.0293957 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0362422 / -0.0362434 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.0011829 / -0.00118287 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 6.41527e-05 / -6.365e-05 | 0.000117555 / -0.00011687 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.75222e-05 / -4.74384e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.505555 / -0.503142 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0272436 / 0.0273112 | 0 / 0 | 0.000216371 / -0.000213917 |
 | JET_NNJvtEfficiency | -0.000152642 / 0.00015268 | -7.28355e-05 / 7.31925e-05 | -5.42658e-05 / 5.49316e-05 | -4.37854e-05 / 4.41829e-05 | -2.78223e-05 / 2.81524e-05 | -2.5204e-05 / 2.54674e-05 | -5.83169e-05 / 5.89901e-05 | 0 / 0 | -8.03877e-06 / 8.25067e-06 | -4.67999e-05 / 4.78162e-05 | -2.09998e-05 / 2.14034e-05 | -2.85927e-05 / 2.91359e-05 | -2.54814e-05 / 2.60736e-05 | 0 / 0 | 1.83336e-05 / -1.85484e-05 | -2.4361e-05 / 2.46686e-05 | -3.26904e-06 / 3.351e-06 | -9.92459e-06 / 1.01508e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.02329 / -0.0233211 | 0.0281745 / -0.0282114 | 0.0395746 / -0.0396244 | 0 / 0 |
