 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.191512 / -0.176737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0440652 / -0.0440282 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0776115 / 0.0745736 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0206336 / 0.020628 | 1.5662e-05 / -1.53117e-05 | 0 / 0 | 1.11211e-05 / -1.10283e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.021371 / 0.0213654 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0296947 / 0.0296896 | -0.0669237 / 0.0669446 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0424426 / 0.0425227 | -0.02125 / 0.0212279 | 0 / 0 | 3.27591e-05 / -3.19961e-05 | 2.50045e-05 / -2.51725e-05 | 0 / 0 | 2.6142e-05 / -2.59827e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0241313 / 0.0241155 | 0 / 0 | 0 / 0 | 0.0398511 / -0.0395102 | 0.0696171 / -0.0688014 | -0.0204651 / 0.0204416 | 0 / 0 | 0 / 0 | -0.0374103 / 0.0374542 | -0.0652107 / 0.0655515 | -0.125329 / 0.127211 | -0.336242 / 0.357082 | 0 / 0 | -0.0438243 / 0.0439156 |
 | JET_JESUnc_Noise_PreRec | -0.0207975 / 0.0207947 | 1.81226e-05 / -1.7677e-05 | 0 / 0 | 1.17357e-05 / -1.1613e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0213574 / 0.0213547 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0277521 / 0.0277503 | -0.0416142 / 0.0416178 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0531816 / 0.0530116 | -0.032149 / 0.0321065 | 0 / 0 | 3.30235e-05 / -3.19259e-05 | 2.52244e-05 / -2.51978e-05 | 0 / 0 | 2.96193e-05 / -2.90765e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0210944 / 0.0210878 | 0 / 0 | 0 / 0 | 0 / 0 | 0.027126 / -0.0272438 | -0.0191006 / 0.0190982 | 0 / 0 | 0 / 0 | -0.0525424 / 0.0523775 | -0.0480569 / 0.047925 | -0.186307 / 0.183788 | -0.284586 / 0.279013 | 0 / 0 | -0.0431773 / 0.0430775 |
 | JET_Pileup_RhoTopology | -0.035974 / 0.0359816 | 3.45738e-05 / -3.33192e-05 | 0 / 0 | 2.68596e-05 / -2.63299e-05 | 2.22278e-05 / -2.23618e-05 | 0 / 0 | 2.11659e-05 / -2.10451e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.022063 / 0.0220243 | 0 / 0 | 0 / 0 | 0.0381312 / -0.03777 | 0.0692045 / -0.0683075 | -0.0208872 / 0.0208471 | 0 / 0 | 0 / 0 | -0.026727 / 0.0266975 | -0.0597569 / 0.0599803 | -0.0976027 / 0.0985572 | -0.351704 / 0.374943 | 0 / 0 | -0.0393036 / 0.0393309 |
 | MUON_EFF_ISO_SYS | 0.0226667 / -0.0226033 | 0.0223164 / -0.0222546 | 0.0241299 / -0.0240592 | 0.0226848 / -0.0226213 | 0.0219904 / -0.0219302 | 0.0262184 / -0.0261368 | 0.0228931 / -0.0228286 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0257638 / -0.0256846 | 0.0337417 / -0.0336136 | 0 / 0 | 0.030183 / -0.0300782 | 0.0215889 / -0.0215306 | 0.0205606 / -0.0205069 | 0.0237762 / -0.0237073 | 0.0238233 / -0.0237542 | 0.0362061 / -0.0360604 | 0.0220536 / -0.0219931 | 0.0224523 / -0.02239 | 0.0206957 / -0.0206414 | 0.0234922 / -0.0234247 | 0.0235958 / -0.0235279 | 0.0263389 / -0.0262566 | 0 / 0 | 0.0244979 / -0.0244254 |
 | FT_EFF_Eigen_B_2__1 | -0.039957 / 0.0399514 | -0.029184 / 0.0291834 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0319014 / 0.0318998 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.025631 / 0.0256316 | 0 / 0 | 0 / 0 | -0.0246447 / 0.0246455 |
