 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0451935 / -0.0451935 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0757698 / 0.0757698 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0206777 / 0.0206777 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0213927 / 0.0213927 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0443237 / 0.0443238 | -0.0222512 / 0.0222512 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252159 / 0.0252159 | 0 / 0 | 0 / 0 | 0.0419131 / -0.0419132 | 0.0734484 / -0.0734484 | -0.0213927 / 0.0213927 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0457054 / 0.0457055 |
 | JET_JESUnc_Noise_PreRec | -0.0208543 / 0.0208543 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0213927 / 0.0213927 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0594095 / 0.0594095 | -0.0360101 / 0.0360102 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0236207 / 0.0236206 | 0 / 0 | 0 / 0 | 0 / 0 | 0.030532 / -0.030532 | -0.0213927 / 0.0213927 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0482352 / 0.0482352 |
 | JET_Pileup_RhoTopology | -0.0368414 / 0.0368413 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0225947 / 0.0225947 | 0 / 0 | 0 / 0 | 0.0392559 / -0.039256 | 0.0714472 / -0.0714473 | -0.0213927 / 0.0213927 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0401922 / 0.0401923 |
 | MUON_EFF_ISO_SYS | 0.0231433 / -0.0231433 | 0.022787 / -0.022787 | 0.0246311 / -0.0246311 | 0.0231617 / -0.0231617 | 0.0224554 / -0.0224554 | 0.0267536 / -0.0267536 | 0.0233736 / -0.0233736 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0262917 / -0.0262917 | 0.034386 / -0.034386 | 0 / 0 | 0.0307781 / -0.0307781 | 0.0220469 / -0.0220469 | 0.0210004 / -0.0210004 | 0.0242716 / -0.0242716 | 0.0243195 / -0.0243195 | 0.0368818 / -0.0368818 | 0.0225196 / -0.0225196 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0250052 / -0.0250052 |
 | FT_EFF_Eigen_B_2__1 | -0.0408247 / 0.0408247 | -0.0298308 / 0.0298308 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0326048 / 0.0326048 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0251955 / 0.0251955 |
