 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.191512 / -0.176737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.046425 / -0.0463872 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0656542 / -0.0610639 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_2__1 | -0.0372994 / 0.0372952 | -0.0249829 / 0.0249837 | 0 / 0 | -0.0291703 / 0.0291697 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0214816 / 0.0214832 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0196822 / 0.0196841 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0361644 / 0.0361609 | -0.0348924 / 0.0348895 |
 | FT_EFF_Eigen_B_3__1 | 0.0275846 / -0.0275662 | 0.0216952 / -0.0216821 | 0 / 0 | 0.0235984 / -0.0235836 | 0 / 0 | 0.0204503 / -0.0204383 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.039657 / -0.0396251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0275554 / -0.0275369 | 0.0228161 / -0.0228021 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 6.83792e-05 / -6.83779e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -4.17681e-05 / 4.19009e-05 | 0 / 0 | 0.0290391 / -0.0288263 | 0.0223655 / -0.0222191 | 0.0458249 / -0.0454027 | 0 / 0 | 0.0395017 / -0.0391653 | 0 / 0 | 0.0302067 / -0.0299813 | 0.0271682 / -0.026975 | 0.0408431 / -0.0404892 | 0 / 0 | 0.0204572 / -0.0203279 | 0.0276422 / -0.0274442 | 0.029204 / -0.0289894 | 0.0245496 / -0.0243825 | 0.0702165 / -0.0693895 | 0.0480486 / -0.0475941 | 0 / 0 | 0.0447676 / -0.0443603 | 0 / 0 | 0.0299172 / -0.029695 | 0.0229795 / -0.0228274 | -0.0203298 / 0.0203061 | 0.0375648 / -0.037253 | 0.0275169 / -0.0273202 | 0 / 0 | 0 / 0 | 0 / 0 | -6.11869e-06 / 6.13847e-06 |
 | JET_JESUnc_VertexingAlg_PreRec | -6.75005e-05 / 6.92316e-05 | -4.10638e-05 / 4.26517e-05 | 0.0234186 / -0.0235116 | 0.0205485 / -0.0206241 | 0.0344119 / -0.0345866 | 0 / 0 | 0.0324434 / -0.0326017 | 0 / 0 | 0.0234942 / -0.0235877 | 0 / 0 | 0.0340219 / -0.0341934 | 0 / 0 | 0 / 0 | 0.0361093 / -0.036299 | 0.0248244 / -0.0249264 | 0 / 0 | 0.0483555 / -0.0486705 | 0.0358337 / -0.0360208 | 0 / 0 | 0.0396897 / -0.0399126 | 0 / 0 | 0.0216658 / -0.021748 | 0 / 0 | -0.0445907 / 0.0444819 | 0.018885 / -0.0189515 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.22572e-05 / 1.23841e-05 |
 | JET_RelativeNonClosure_AF3 | -3.69381e-05 / 3.71479e-05 | 0 / 0 | 0 / 0 | -4.35714e-05 / 4.32937e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.299153 / -0.299454 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
