 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.191512 / -0.176737 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.028165 / 0.0281291 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0733271 / 0.0703798 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0232838 / 0.0232945 | 5.80186e-05 / -5.67173e-05 | 0 / 0 | 0 / 0 | 2.55318e-05 / -2.55867e-05 | 0 / 0 | 3.77096e-05 / -3.761e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0519194 / -0.0518912 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0429642 / -0.0429444 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0347251 / 0.0347485 | -0.102569 / 0.1028 | -0.125427 / 0.125794 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0426557 / 0.0427373 | -0.0195565 / 0.0195316 | 0 / 0 | 6.08005e-05 / -6.02007e-05 | 3.76148e-05 / -3.77285e-05 | 0 / 0 | 6.94936e-05 / -6.91505e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0482714 / -0.0478137 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0418896 / -0.0415217 | 0.0521503 / -0.051634 | 0 / 0 | 0 / 0 | 0 / 0 | -0.032655 / 0.0326717 | -0.0519234 / 0.0520923 | -0.140745 / 0.143245 | -0.0664666 / 0.0668266 | 0 / 0 | -0.0295662 / 0.0295687 |
 | JET_JESUnc_Noise_PreRec | -0.0198894 / 0.0198866 | 5.06606e-05 / -4.95518e-05 | 0 / 0 | 3.43065e-05 / -3.40579e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0385096 / -0.0384887 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0355163 / -0.0354975 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0212866 / 0.0212839 | -0.0283162 / 0.0283145 | -0.0905177 / 0.090586 | -0.116733 / 0.116873 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.046822 / 0.0466985 | -0.029438 / 0.0294062 | 0 / 0 | 8.23543e-05 / -8.03492e-05 | 5.20664e-05 / -5.17487e-05 | 0 / 0 | 8.45396e-05 / -8.30386e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0456927 / -0.0459778 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0369648 / -0.0371621 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0529745 / 0.0528062 | -0.0577377 / 0.0575303 | -0.151871 / 0.150186 | -0.128097 / 0.126903 | 0 / 0 | -0.0380159 / 0.0379455 |
 | JET_Pileup_RhoTopology | -0.0370756 / 0.0370893 | 8.7067e-05 / -8.42639e-05 | 0 / 0 | 5.52866e-05 / -5.47807e-05 | 3.12533e-05 / -3.13068e-05 | 0 / 0 | 5.82042e-05 / -5.79682e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0493558 / -0.0488241 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0398938 / -0.0395077 | 0.048668 / -0.0481476 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0268807 / 0.0268516 | -0.0372656 / 0.0372805 | -0.117035 / 0.118568 | -0.0553069 / 0.0554762 | 0 / 0 | -0.0248616 / 0.0248277 |
 | MUON_EFF_ISO_SYS | 0.0221602 / -0.0220992 | 0.0222854 / -0.0222239 | 0.0233925 / -0.0233255 | 0.0226098 / -0.0225466 | 0.0219163 / -0.0218564 | 0.0274207 / -0.0273324 | 0.0228571 / -0.0227928 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0260674 / -0.0259866 | 0.0345555 / -0.0344217 | 0 / 0 | 0.0309834 / -0.0308736 | 0.0221401 / -0.0220792 | 0.0215382 / -0.0214801 | 0.0227758 / -0.0227119 | 0.0220996 / -0.0220389 | 0 / 0 | 0.022383 / -0.022321 | 0.0225247 / -0.022462 | 0.022741 / -0.0226772 | 0.0221951 / -0.022134 | 0.0232707 / -0.0232043 | 0.0308521 / -0.0307431 | 0 / 0 | 0.0240139 / -0.0239438 |
 | FT_EFF_Eigen_B_2__1 | -0.0386677 / 0.0386629 | -0.0300217 / 0.0300208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0424767 / 0.0424695 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0307539 / 0.0307527 | 0 / 0 | 0 / 0 | -0.0289859 / 0.0289854 |
