NUISANCE_PARAMETERS
JET_JER_EffectiveNP_9_PseudoData  0.0182454 +0.969952 -0.962965
JET_JESUnc_Noise_PreRec  -0.106768 +1.05318 -1.00051
JET_JESUnc_VertexingAlg_PreRec  0.224432 +0.915453 -1.426
JET_NNJvtEfficiency  0.103937 +0.990287 -1.01399
JET_Pileup_OffsetMu  -0.0106368 +0.999633 -0.995535
JET_Pileup_OffsetNPV  -0.0827344 +1.00997 -0.978777
JET_Pileup_PtTerm  -0.00231285 +1.00241 -1.00342
JET_Pileup_RhoTopology  0.688445 +0.951135 -1.43996
JET_RelativeNonClosure_AF3  -0.0208679 +1.00087 -1.00072
MUON_CB  -0.0147693 +1.00922 -1.00952
MUON_EFF_ISO_STAT  0.000168561 +1 -1
MUON_EFF_ISO_SYS  -0.0830086 +0.972953 -1.00692
MUON_EFF_RECO_SYS  -1.88387e-05 +1 -1
MUON_SAGITTA_DATASTAT  9.15302e-06 +1.00001 -1.00001
MUON_SAGITTA_GLOBAL  -0.00517847 +1.00136 -1.00146
MUON_SAGITTA_PTEXTRA  -0.00132997 +0.999925 -0.999933
MUON_SCALE  -0.00315603 +1.00555 -1.00563
Other_truthgbb_3b  -0.0124783 +0.983437 -0.987442
Other_truthgbb_4b  0.00692912 +1.0083 -1.00691
PRW_DATASF  -0.0112858 +1.00333 -1.00304
VV_truthgbb_3b  -0.120616 +0.790825 -0.866175
VV_truthgbb_4b  0.228826 +1.01855 -1.21328
others_Xsec  -0.103783 +1.01119 -0.990601
singleTop_Xsec  -0.204127 +1.00452 -0.972109
ttH_Gen  0.0430645 +1.02581 -1.04225
ttH_PS  0.0678602 +1.02878 -1.06596
ttH_Xsec  0.0132801 +0.988699 -0.988693
ttH_syst_varRF  -0.105386 +0.993281 -0.993383
ttH_truthgbb_3b  -0.00819429 +0.983914 -0.991772
ttH_truthgbb_4b  0.0059215 +1.00661 -1.00591
ttWW_Xsec  -0.113984 +1.02173 -0.981158
ttW_syst_varRF  0.0268446 +0.999892 -0.999872
ttW_truthgbb_3b  -0.0232428 +0.963482 -0.976471
ttW_truthgbb_4b  0.0194591 +1.02073 -1.01928
ttZ_Gen  0.478 +0.767885 -1.37846
ttZ_Xsec  -0.0762324 +0.988553 -0.985509
ttZ_high_mll_syst_MUR05_MUF05  -0.131172 +0.993118 -0.993146
ttZ_truthgbb_3b  -0.00971649 +0.983742 -0.990236
ttZ_truthgbb_4b  0.0055502 +1.00632 -1.00554
ttt_Xsec  -0.0096729 +0.999754 -0.999403
ttt_syst_varRF  -7.8506e-05 +1 -1
ttt_truthgbb_4b  0.00364691 +1.00431 -1.00365
tttt_Gen  -0.0305989 +0.96867 -0.968891
tttt_Xsec  -0.056981 +0.980806 -0.977854
tttt_syst_PS  -0.0462425 +0.929379 -0.952521
tttt_syst_varRF  0.0507375 +0.999645 -0.999636
gamma_stat_CR1b3le_lep_2_pt_bin_0  1.00262 +0.0349223 -0.0348851
gamma_stat_CR1b3le_lep_2_pt_bin_1  1.00051 +0.07291 -0.0695294
gamma_stat_CR1b3lm_lep_2_pt_bin_0  1.0034 +0.0274688 -0.0269629
gamma_stat_CR1b3lm_lep_2_pt_bin_1  0.987819 +0.0494127 -0.0478273
gamma_stat_CR1bminus_nJets_bin_0  0.998944 +0.0208517 -0.0202414
gamma_stat_CR1bminus_nJets_bin_1  0.994815 +0.0217836 -0.0211618
gamma_stat_CR1bminus_nJets_bin_2  1.01017 +0.0262569 -0.0258017
gamma_stat_CR1bminus_nJets_bin_3  0.998644 +0.0364231 -0.0355543
gamma_stat_CR1bminus_nJets_bin_4  0.985286 +0.0599861 -0.0576334
gamma_stat_CR1bminus_nJets_bin_5  0.950841 +0.13127 -0.120142
gamma_stat_CR1bminus_nJets_bin_6  0.930397 +0.279056 -0.23149
gamma_stat_CR1bplus_nJets_bin_0  0.999221 +0.0184 -0.0178055
gamma_stat_CR1bplus_nJets_bin_1  0.994533 +0.018946 -0.0184094
gamma_stat_CR1bplus_nJets_bin_2  0.994226 +0.0232829 -0.0229215
gamma_stat_CR1bplus_nJets_bin_3  1.00693 +0.034478 -0.0337049
gamma_stat_CR1bplus_nJets_bin_4  1.05345 +0.0699305 -0.0669489
gamma_stat_CR1bplus_nJets_bin_5  1.07107 +0.179547 -0.161137
gamma_stat_CR1bplus_nJets_bin_6  0.793782 +0.292714 -0.230978
gamma_stat_CRttW2l_minus_nJets_bin_0  1.00324 +0.0200534 -0.0197942
gamma_stat_CRttW2l_minus_nJets_bin_1  0.998219 +0.0207914 -0.0205117
gamma_stat_CRttW2l_minus_nJets_bin_2  0.998217 +0.0413069 -0.0409231
gamma_stat_CRttW2l_plus_nJets_bin_0  1.00032 +0.0156042 -0.0154441
gamma_stat_CRttW2l_plus_nJets_bin_1  1.0014 +0.0172114 -0.0170198
gamma_stat_CRttW2l_plus_nJets_bin_2  0.993768 +0.0376998 -0.0376099
gamma_stat_CRttbarCO2l_CO_1_bin_0  1.00056 +0.0206527 -0.0203714
gamma_stat_CRttbarCO2l_gstr_1_bin_0  1.00059 +0.0435024 -0.0422685
gamma_stat_SR2b2l_HT_all_bin_0  0.999845 +0.0167373 -0.0165504
gamma_stat_SR2b2l_HT_all_bin_1  1.00417 +0.0166696 -0.0164884
gamma_stat_SR2b2l_HT_all_bin_2  0.998923 +0.0171469 -0.0169544
gamma_stat_SR2b2l_HT_all_bin_3  0.999417 +0.0152956 -0.0151416
gamma_stat_SR2b3l4l_HT_all_bin_0  1.00207 +0.0377435 -0.0368166
gamma_stat_SR2b3l4l_HT_all_bin_1  0.99767 +0.0345134 -0.0337341
gamma_stat_SR2b3l4l_HT_all_bin_2  0.998566 +0.0245814 -0.0241838
gamma_stat_SR3b2l_HT_all_bin_0  1.00505 +0.0352313 -0.0344209
gamma_stat_SR3b2l_HT_all_bin_1  0.998828 +0.0308364 -0.0302131
gamma_stat_SR3b2l_HT_all_bin_2  0.994758 +0.0262536 -0.0257987
gamma_stat_SR3b2l_HT_all_bin_3  1.00049 +0.0228323 -0.0224892
gamma_stat_SR3b3l4l_HT_all_bin_0  0.999916 +0.0456745 -0.0443228
gamma_stat_SR3b3l4l_HT_all_bin_1  1.00049 +0.0304641 -0.0298565
