 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197131 / -0.196871 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0406255 / 0.000944823 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0723588 / -0.00110279 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0222859 / 0.0199615 | 1.33283e-05 / -1.24315e-05 | 0 / 0 | 9.48187e-06 / -8.96938e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 4.09953e-06 / -3.92473e-06 | 0 / 0 | -0.00659103 / 0.0299356 | 0 / 0 | 0 / -1.11022e-16 | 2.48289e-05 / -2.41421e-05 | 0 / 0 | -0.0418054 / -0.00203464 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0296934 / 0.0315395 | -0.0987774 / 0.0319187 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0183393 / 0.0225905 | 1.9706e-05 / -1.80568e-05 | 0 / 0 | 1.12551e-05 / -1.04925e-05 | 1.19673e-05 / -1.13476e-05 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.0006863 / 0.0306454 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 1.26382e-05 / -1.20216e-05 | 0 / 0 | -0.00664883 / 0.0243411 | 1.75057e-05 / -1.6625e-05 | -1.11022e-16 / 0 | 0.00234021 / -0.0284128 | 0.0146091 / -0.0409786 | -0.0438694 / -0.00099738 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0440379 / 0.0311427 | -0.148175 / 0.0593687 | -0.168534 / 0.398397 | 0 / 0 | -0.0294023 / 0.0159176 |
 | JET_Flavor_Response | 0.0198291 / -0.0205655 | -1.5771e-05 / 1.82629e-05 | -2.22045e-16 / -2.22045e-16 | -1.17375e-05 / 1.34327e-05 | -1.14974e-05 / 1.30193e-05 | -2.22045e-16 / -2.22045e-16 | -1.20654e-05 / 1.37619e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -1.31434e-05 / 1.47202e-05 | 0 / 0 | 0.0236685 / -0.00791252 | -3.28394e-06 / 3.70228e-06 | -2.22045e-16 / -1.11022e-16 | -0.0254608 / 0.00204947 | -0.0400754 / 0.0094017 | -0.00283749 / -0.041142 | 0 / 0 | 0 / 0 | 0.030964 / -0.0278148 | 0.0571541 / -0.0438582 | 0.0257558 / -0.131855 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_InSitu_NonClosure_PreRec | -0.0369021 / 0.0663148 | -0.0228009 / 0.0320544 | 0.0211191 / -0.0105015 | 2.67996e-05 / -3.93004e-05 | 2.05863e-05 / -3.08625e-05 | 0 / -2.22045e-16 | 2.14338e-05 / -3.18339e-05 | 0 / 0 | 0.0483559 / -0.00362462 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | -0.00359112 / -0.0182156 | 0 / 0 | -0.0154643 / 0.0383961 | 2.05821e-05 / -3.09886e-05 | -1.11022e-16 / 0 | 0.00885495 / -0.0667297 | 0.0327077 / -0.111557 | -0.0425414 / 0.0268681 | 0 / 0 | 0 / 0 | -0.0462052 / 0.0559524 | -0.0453488 / 0.10453 | -0.136032 / 0.202775 | -0.24657 / 0.606917 | 0 / 0 | -0.0442036 / 0.0622764 |
 | JET_JESUnc_Noise_PreRec | -0.0202006 / 0.0228183 | 1.5444e-05 / -1.4322e-05 | 0 / 0 | 1.001e-05 / -9.41658e-06 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 9.78906e-06 / -9.29974e-06 | 0 / 0 | -0.0064937 / 0.0255117 | 0 / 0 | 0 / -1.11022e-16 | 2.35128e-05 / -2.27483e-05 | 0 / 0 | -0.0422953 / -0.00185179 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312441 / 0.025357 | -0.0494107 / 0.0348919 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0457673 / 0.0958749 | -0.0306099 / 0.0545108 | 0.0179305 / 0.0355568 | 2.74613e-05 / -4.15246e-05 | 2.10356e-05 / -3.28472e-05 | -2.22045e-16 / 0 | 2.46251e-05 / -3.77992e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 2.2315e-05 / -3.48413e-05 | 0 / 0 | -0.0154736 / 0.0405387 | 1.73813e-05 / -2.73518e-05 | 0 / 0 | -0.00538397 / -0.0411498 | 0.0174758 / -0.054012 | -0.0419755 / 0.00702872 | 0 / 0 | 0 / 0 | -0.0485821 / 0.0910879 | -0.0588407 / 0.0678527 | -0.24629 / 0.255018 | -0.170469 / 0.62533 | 0 / 0 | -0.0453928 / 0.0656765 |
 | JET_Pileup_OffsetNPV | -0.0155743 / 0.0245782 | 1.38456e-05 / -1.31498e-05 | 2.22045e-16 / 0 | 9.76764e-06 / -9.3877e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.08678e-05 / 0.0306428 | 0.000684935 / -0.0291868 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.00526855 / -0.0422914 | 0.0307773 / -0.0467651 | -0.0479491 / -0.00176862 | 0 / 0 | 0 / 0 | -0.0203714 / 0.0168617 | -0.0415035 / 0.050944 | -0.0458289 / 0.0196926 | 0.000314276 / -0.0204889 | 0 / 0 | -0.0223876 / 0.020472 |
 | JET_Pileup_RhoTopology | -0.0321862 / 0.0544432 | -0.0195009 / 0.0278884 | 0.0209695 / -0.00996041 | 2.12361e-05 / -3.1815e-05 | 1.76985e-05 / -2.6965e-05 | 0 / -2.22045e-16 | 1.67694e-05 / -2.53554e-05 | 0 / 0 | -8.74042e-05 / 0.0235282 | 0 / 0 | 2.22045e-16 / 0 | -0.00141215 / -0.0174071 | 0 / 0 | -0.0106659 / 0.0335525 | 1.47527e-05 / -2.25319e-05 | -1.11022e-16 / 0 | 0.00983839 / -0.0585554 | 0.0269284 / -0.104801 | -0.0416168 / 0.0301897 | 0 / 0 | 0 / 0 | -0.0312883 / 0.0399216 | -0.0419999 / 0.091599 | -0.121974 / 0.155695 | -0.245187 / 0.620463 | 0 / 0 | -0.0375924 / 0.051494 |
 | MUON_EFF_ISO_SYS | 0.0226334 / -0.0231875 | 0.0222838 / -0.0228313 | 0.0240954 / -0.0246723 | 0.0226495 / -0.0232083 | 0.0219541 / -0.022505 | 0.0261704 / -0.0268042 | 0.0228544 / -0.0234239 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0257184 / -0.0263409 | 0.0336652 / -0.0344359 | 0 / 0 | 0.0301382 / -0.0308078 | 0.0215506 / -0.0221002 | 0.0205263 / -0.0210511 | 0.0237491 / -0.0243049 | 0.0237976 / -0.0243508 | 0.0359304 / -0.0371621 | 0.0220204 / -0.0225653 | 0.0224212 / -0.0229674 | 0.0206632 / -0.0211861 | 0.0234584 / -0.0240251 | 0.0236028 / -0.0240801 | 0.0263103 / -0.0269022 | 0 / 0 | 0.0234397 / -0.0240029 |
 | FT_EFF_Eigen_B_2__1 | -0.0389602 / 0.0419114 | -0.0285535 / 0.0305015 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | -0.0315794 / 0.0331139 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252588 / 0.0266559 | 0 / 0 | 0 / 0 | -0.0264515 / 0.0284402 |
 | FT_EFF_Eigen_B_3__1 | 0.0313318 / -0.0305118 | 0.0247448 / -0.0243006 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0232118 / -0.0226862 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.030212 / -0.0302097 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200887 / -0.0199003 | 0.0362387 / -0.0356068 | 0 / 0 | 0 / 0 | 0.0221069 / -0.021775 |
 | FT_EFF_Eigen_B_7__1 | 0.0212976 / -0.0209485 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0246046 / -0.0242858 | 0 / 0 | 0 / 0 | 0.0209985 / -0.0209738 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0330187 / -0.0330168 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.036628 / -0.0358423 | 0.0200633 / -0.0200378 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 1.87406e-05 / -1.87405e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 1.27273e-05 / -1.24317e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.62249e-06 / -3.62851e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0291218 / 0.0154974 | -0.0267408 / 0.0745391 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 2.66268e-06 / -2.96005e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0296098 / -0.00187391 | -0.0153525 / -0.000966372 | -0.0231947 / -0.00222223 | -0.123352 / -0.00494474 | 0.0183502 / 0.0056842 | -0.0199104 / -0.00222134 | -2.22045e-16 / 0 | -0.0542958 / -0.00335442 | -0.0454199 / -0.00284867 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0190618 / -0.000870675 | 0.0376244 / 0.0149773 | 0.304759 / 0.0177352 | 0 / 0 | 2.22045e-16 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.300438 / -0.300195 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | -0.0230217 / 0.020731 | 2.22045e-16 / 0 | 2.57001e-05 / -2.07108e-05 | 2.16093e-05 / -1.77166e-05 | -2.22045e-16 / 0 | 2.14817e-05 / -1.7441e-05 | 0 / 0 | -0.00758053 / 0.0288821 | -0.00669606 / 0.0388654 | 2.22045e-16 / 0 | 4.17008e-05 / -3.4964e-05 | 0 / 0 | -0.0119809 / 0.0296288 | 1.20665e-05 / -9.96919e-06 | -1.11022e-16 / 0 | 0.0168813 / -0.0578086 | 0.0392283 / -0.0982727 | -0.0429765 / -0.00287654 | 0 / 0 | 0 / 0 | -0.0402964 / 0.04055 | -0.0659869 / 0.0861234 | -0.186525 / 0.104957 | -0.300963 / 0.428615 | 0 / 0 | -0.0373321 / 0.0226236 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538183 / -0.501634 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.000236262 / 0.0215203 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000344655 / -0.0309184 | 2.22045e-16 / 2.22045e-16 | -0.000332017 / -0.0300313 | 0 / -2.22045e-16 | 0 / 0 | 9.53261e-06 / -9.51171e-06 | 0 / 0 | -0.000273696 / -0.0247953 | -0.000593448 / -0.0528906 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000431511 / 0.0395069 | 0.000683741 / 0.0630159 | 0.00363124 / 0.361638 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.00120329 / 0.019431 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00124317 / -0.0198847 | -0.00141681 / -0.0228389 | -0.00411031 / -0.0650149 | 0 / 2.22045e-16 | 1.48574e-05 / -1.3319e-05 | 0 / 0 | -0.00173224 / -0.0276546 | -0.00220203 / -0.0350904 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00174446 / 0.0282295 | 0.00262054 / 0.0425515 | 0.0170447 / 0.292795 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0163518 / 0.000778585 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0217401 / -0.00301472 | -0.0774768 / -0.00122774 | 0.021117 / -0.00474423 | 0 / 0 | 0 / 0 | -0.0266066 / -0.00133235 | -0.0415994 / -0.00206502 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0315062 / 0.00264043 | 0.283281 / 0.0136736 | 0 / 0 | -0.0177502 / 0.00303834 |
