 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0210577 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.175766 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0224639 / -0.0283125 | 0.0276427 / -0.0326385 | 0.0644358 / -0.0361502 | 0.0273537 / -0.0360551 | 0.0200058 / -0.0378213 | -0.064015 / -0.065021 | 0.0601861 / -0.0578066 | 0 / 0 | 0.00519968 / -0.0583572 | 0 / 0 | 1.2138 / -0.01573 | 0.249681 / -0.0011813 | 0 / 0 | 0.168311 / 0.00549755 | 0.346015 / 0.182016 | -0.0824771 / -0.00459167 | -0.00595615 / -0.0482581 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.0201384 / -0.024829 | 0.0240736 / -0.02852 | 0.0643646 / -0.00601204 | 0.0270611 / -0.0305522 | 0.022536 / -0.0345868 | -0.0672272 / -0.0647556 | 0.059334 / -0.0497623 | 0 / 0 | 0.00422601 / -0.0528529 | 0 / 0 | 1.2139 / -0.0156958 | 0.2496 / -8.76875e-05 | 0 / 0 | 0.168326 / 0.00511238 | 0.33981 / 0.130047 | -0.0828755 / -0.00742881 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_B_3__1 | 0.0236904 / -0.023261 | 0.0230559 / -0.022634 | 0 / 0 | 0.0228643 / -0.0224964 | 0 / 0 | 0.0311032 / -0.0304945 | 0.0202031 / -0.0198145 | 0 / 0 | 0.0224282 / -0.0221659 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0237534 / -0.0230487 | 0.0247765 / -0.0239856 | 0.0209271 / -0.0208577 | 0.0211125 / -0.0208353 | 0.0254774 / -0.0250712 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_B_7__1 | 0.0245306 / -0.0240928 | 0.0240266 / -0.0236029 | 0 / 0 | 0.0240944 / -0.0236879 | 0 / 0 | 0.0407203 / -0.0393126 | 0.0209296 / -0.020574 | 0 / 0 | 0.0251497 / -0.0248396 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0256869 / -0.0248611 | 0.0222332 / -0.0218469 | 0.0213524 / -0.0210459 | 0.0274411 / -0.0270913 | 0.0276072 / -0.027252 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0233665 / -0.0229646 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0198967 / -0.0233104 | 0.0645723 / -0.00681017 | 0.0247774 / -0.0276886 | 0.0166092 / -0.0225724 | 2.22045e-16 / 0 | 0.0463763 / -0.0389368 | 0 / 0 | 0.0051129 / -0.0538631 | 0 / 0 | 1.21444 / -0.00781525 | 0.25472 / -0.00186259 | 0 / 0 | 0.173839 / -0.00902639 | 0.306517 / 0.094538 | -0.0822453 / -0.00966432 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -2.22045e-16 |
 | ttt Cross-Section | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t + 1 true b-jet | 0 / 0 | 0.310907 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
