 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197131 / -0.196871 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0883896 / -0.00135595 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0264143 / 0.027131 | -2.54792e-05 / 2.28484e-05 | 9.95685e-07 / -8.9327e-07 | -1.94424e-05 / 1.7443e-05 | -1.64978e-05 / 1.48001e-05 | 0.0332405 / -0.0327769 | -4.35438e-06 / 3.90926e-06 | 0 / 0 | 0 / 0 | 0.0252398 / -0.0254077 | 0 / 0 | -3.04468e-06 / 2.73736e-06 | -0.019163 / 0.0195696 | 0 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0247676 / -0.0242817 | 0.0374175 / -0.0361771 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226301 / 0.0231675 | 0 / 0 | 0 / 0 | 0 / 0 | -3.03899e-05 / 2.72655e-05 |
 | JET_JERUnc_Noise_PreRec | 0.016132 / 0.000634899 | -1.01188e-05 / 1.14714e-05 | 8.96558e-06 / -9.98608e-06 | 1.6762e-05 / -1.90227e-05 | 1.84255e-05 / -2.08083e-05 | -0.028786 / 0.000588301 | 3.65145e-06 / -4.10415e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0286118 / -0.00840398 | -3.24782e-06 / 3.63816e-06 | 4.59968e-07 / -5.1655e-07 | 0.0413841 / 0.000928178 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 3.47127e-06 / -3.87882e-06 | 1.49416e-05 / -1.66251e-05 | 0.489657 / 0.0274302 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0179084 / 0.000219806 | 0.0312365 / 0.00221244 | 4.29397e-05 / -4.84298e-05 |
 | FT_EFF_Eigen_B_0__1 | 0.0292284 / -0.02878 | 0.0240988 / -0.0236941 | 4.72484e-06 / -4.85395e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0574906 / -0.0546051 |
 | FT_EFF_Eigen_B_2__1 | -0.0706719 / 0.0787194 | -0.0573459 / 0.0626353 | -0.0336485 / 0.035435 | -0.0308983 / 0.0327488 | -0.0309252 / 0.0326562 | -0.0255379 / 0.026979 | -0.0301526 / 0.0318861 | 0 / 0 | -0.0296682 / 0.0311327 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0234565 / 0.0247277 | 2.22045e-16 / 2.22045e-16 | -0.031236 / 0.0329882 | -0.0207326 / 0.0223306 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0244023 / 0.0256695 | -0.0326005 / 0.0345394 | -0.036332 / 0.0383994 | -0.0469556 / 0.0505505 | -0.0370417 / 0.039344 | -0.0610953 / 0.0652318 | -0.0465874 / 0.0501202 | -0.0660529 / 0.0738478 |
 | FT_EFF_Eigen_B_3__1 | 0.0388296 / -0.0375988 | 0.0311183 / -0.0304473 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205939 / -0.0204113 | 0.0262417 / -0.0257079 | 0.0242279 / -0.0240325 | 0.0294739 / -0.0292806 | 0.0241374 / -0.0237037 | 0.0402257 / -0.0390305 |
 | FT_EFF_Eigen_B_8__1 | 0.037831 / -0.0369071 | 0.0278282 / -0.0275245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248533 / -0.0249136 | 0.0383147 / -0.0375186 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.00132854 / -3.12502e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.000621168 / -0.000621162 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 3.64683e-05 / -3.54685e-05 | -9.5362e-06 / 9.32187e-06 | 9.51492e-06 / -9.3551e-06 | 2.29085e-06 / -2.26485e-06 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0213338 / -0.00412441 | 0 / 0 | -1.3167e-05 / 1.3337e-05 | 0 / 0 | -0.00183539 / 0.0481416 | 0 / 2.22045e-16 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00195802 / 0.0265779 | 0 / 0 | -6.24287e-05 / 6.01511e-05 |
