 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197131 / -0.196871 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.01714 / 0.000401896 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0584246 / -0.000887859 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0150287 / 0.00197641 | -8.36918e-05 / 9.53883e-05 | -1.19802e-05 / 1.33733e-05 | -5.06228e-05 / 5.78134e-05 | -1.14029e-05 / 1.2859e-05 | -0.0373571 / 0.000521374 | 0 / 0 | 0 / 0 | 0.0312948 / 0.00176926 | 0 / 0 | 0 / 0 | -1.73391e-07 / 1.94081e-07 | 0.0225989 / 0.000335857 | 0.0567759 / 0.0037998 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | -1.47429e-06 / 1.63598e-06 | -1.85136e-07 / 2.05079e-07 | -0.898467 / -0.0777947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0311352 / 0.00234281 | 0.0598101 / 0.00349743 | -0.00018377 / 0.000209993 |
 | FT_EFF_Eigen_B_0__1 | 0.0318703 / -0.0310039 | 0.0245108 / -0.0240406 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0669441 / -0.0639634 |
 | FT_EFF_Eigen_B_2__1 | -0.0630273 / 0.0695957 | -0.0525823 / 0.057044 | -0.0352765 / 0.0373319 | -0.0312187 / 0.033271 | -0.0307402 / 0.032436 | -0.0318485 / 0.0354668 | -0.0296199 / 0.031271 | 0 / 0 | -0.0349222 / 0.0371312 | 2.22045e-16 / 0 | 0 / 0 | 8.41427e-06 / -8.64035e-06 | -0.0471965 / 0.0501388 | -0.0216713 / 0.02292 | -0.0289816 / 0.0306376 | -0.0215889 / 0.0229423 | 0 / 0 | 9.61255e-07 / -9.94781e-07 | 0 / 0 | -0.0261981 / 0.0275505 | -0.0307493 / 0.0325536 | -0.0345692 / 0.0365683 | -0.0433913 / 0.0461254 | -0.0488534 / 0.0515929 | -0.025806 / 0.0272464 | -0.0241845 / 0.0252689 | -0.0628419 / 0.069791 |
 | FT_EFF_Eigen_B_3__1 | 0.0374934 / -0.0364565 | 0.0288272 / -0.0282499 | 0 / 0 | 0 / 0 | -1.21201e-05 / 1.25446e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.020508 / -0.0201418 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199581 / -0.0198099 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0231691 / -0.0228529 | 0.0287471 / -0.0283572 | 0 / 0 | 0 / 0 | 0.0386619 / -0.0376429 |
 | FT_EFF_Eigen_B_8__1 | 0.0359525 / -0.0352018 | 0.0295805 / -0.0292098 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -4.44089e-16 / -4.44089e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0388465 / -0.0379511 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.00135828 / -0.00135827 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -3.49061e-06 / 3.41264e-06 | 0 / 0 | 1.65207e-05 / -1.63735e-05 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000661035 / 0.0260034 | 0 / 0 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.93117e-05 / 1.88767e-05 |
