 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | Other + 1 true b-jet | 0 / 0 | 0 / 0 | 0.136019 / 0 | 0.258549 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.103947 / 0 | 0.102362 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0.000515302 / -0.0461126 | -0.00241745 / -0.0253553 | 0.000271357 / -0.0240188 | 0.000283669 / 0.633445 | -0.00178481 / -0.0353839 | 0 / 0 | 0 / 2.22045e-16 | 1.15688e-05 / -0.215342 | 0.000240028 / -0.192978 | 3.18331e-05 / 0.081679 | 2.22045e-16 / 0.0499691 | 0 / 0 | -0.00225799 / -0.159394 | -0.000536553 / -0.0825496 | 0.00382155 / 0.0968851 | 0.000191216 / -0.250649 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.0336255 / 0.000602767 | 0 / 0 | -0.0312081 / -0.00185563 | 1.17401 / 0 | -0.0294184 / 0.000763253 | 0 / 0 | 0.482588 / 0.0013312 | -0.243387 / 1.15688e-05 | 2.22045e-16 / 0 | 0 / 0 | -0.0304586 / -0.00477261 | 0 / 0 | 0.274117 / 0.0206417 | 0 / 0 | 0 / 0 | -0.327435 / 2.22045e-16 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.100418 / 0 | 0 / 0 | 0 / 0 | 0.354542 / 0 | -0.024524 / 0 | 0 / 0 | 0 / 0 | -0.214713 / 0 | 0 / 0 | 0 / 0 | 0.0416671 / 0 | -1.11022e-16 / 0 | -0.305303 / 0 | -0.0903573 / 0 | 0.0392305 / -1.11022e-16 | -0.20807 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0 / -0.0591637 | 0 / 0 | 0 / 0 | 0 / -0.148034 | -2.61257e-05 / -0.0211355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0.041283 | 0 / 0 | -0.00372801 / -0.317007 | 2.22045e-16 / -0.0543093 | 0 / -1.11022e-16 | -0.00012768 / -0.207269 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -0.000343827 / -0.0430165 | 0 / 0 | 0 / 0 | -0.00289246 / 0.152489 | 0 / 0 | 0 / 0 | 0 / 0 | -9.1812e-05 / -0.21859 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0.0417202 | 0 / -1.11022e-16 | 0.00340556 / -0.286381 | 0.000486227 / -0.0426019 | 0 / 0 | -0.00012768 / -0.207438 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | -0.00473317 / -0.0577496 | 0.00811955 / -0.0336352 | 0.0378981 / -0.0208992 | 0.213422 / 0.290309 | 0.0220488 / -0.0406314 | 0 / 0 | 0.391951 / 0.000628786 | 0 / 0 | 0 / 0 | 0.00222437 / -0.0423163 | 0 / 0 | 0 / 0 | 0.00156561 / -0.0768322 | 0.108071 / -0.179087 | 0.0152744 / -0.0531993 | 0.0258974 / -0.306427 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | -0.0310761 / 0.0233437 | 0 / 0 | 0 / 0 | 0.173967 / -0.158563 | 0 / 0 | 0 / 0 | -0.0398735 / 0.0484436 | -0.0645626 / 0.0584387 | -0.0461059 / 0.0593912 | 0.00246415 / 0.0406639 | 0.0447205 / -0.0288016 | 0.0156923 / 0.0254994 | 0 / 0 | 0.0847686 / -0.0399061 | 0.020554 / -0.0221005 | 0.0363107 / -0.068387 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_C_3__1 | 0 / 0 | 0 / 0 | 0.023526 / -0.0236728 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199159 / -0.0200131 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0243498 / -0.0235995 | 0 / 0 | 0 / 0 | 0.0296412 / -0.030496 | 0 / 0 | 0.0413301 / -0.0392979 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_Light_0__1 | 0 / 0 | 0 / 0 | -0.020916 / 0.0209283 | 0 / 0 | -0.0283987 / 0.0283999 | -0.0304667 / 0.0305518 | -0.0280433 / 0.0283376 | 0 / 0 | 0 / 0 | -0.0718772 / 0.0720363 | 0 / 0 | -0.0211958 / 0.0212926 | 0.0195629 / -0.0227992 | -0.0366763 / 0.0369466 | -0.0271958 / 0.0249546 | -0.0351196 / 0.0352223 | -0.0452774 / 0.0463296 | -0.0752571 / 0.0784523 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.00887213 / -0.0402063 | 0.0415622 / -0.0273268 | 0.212377 / 0.299804 | 0.026095 / -0.046468 | 0 / 0 | 0.392569 / 0.0044513 | 0 / 0 | 0 / 0 | 0.002153 / -0.0423376 | 0.0739007 / -0.000416929 | 0 / 0 | -0.00299907 / -0.056918 | 0.109367 / -0.222693 | 0.0163209 / -0.053487 | 0.0252183 / -0.306727 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | others Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0 / 0 | 0.0136568 / -0.0370371 | 0.029146 / -0.0227526 | 0.210309 / -0.0106721 | 0.0214994 / -0.0355873 | 0 / 0 | 0.425511 / 0.00158579 | 0 / 0 | 0 / 0 | 0.00131964 / -0.0415078 | 0 / 0 | 0 / 0 | 0.0623072 / -0.0641518 | 0.108149 / -0.130737 | 0.0165645 / -0.0353626 | 0.000378192 / -0.211463 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.0201598 | 0 / 0 | 0 / 0.809384 | 0 / 0 | 0 / 0 | 0 / 0.42999 | 0 / -0.243447 | 0 / 0 | 0 / 0 | 0 / -0.0298047 | 0 / 0 | -2.22045e-16 / 0.133432 | 0 / 0 | 2.22045e-16 / -0.0961463 | 0 / -0.405493 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0208759 / -0.000653659 | -0.0245022 / 0.00464676 | 0.555533 / 0 | 0 / 0 | 0 / 0 | 0.431864 / 0.00168553 | -0.243094 / -0.00259534 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248468 / 0.00507123 | 0 / 0 | -0.101107 / -0.0212967 | -0.188779 / 0.000242666 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
