 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197131 / -0.196871 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0259119 / -0.000614106 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0683815 / -0.00104086 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0237017 / 0.0241015 | 5.46153e-05 / -5.03058e-05 | 2.22045e-16 / 2.22045e-16 | 2.98975e-05 / -2.80771e-05 | 2.36066e-05 / -2.23001e-05 | -2.22045e-16 / 0 | 3.53515e-05 / -3.32329e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 3.66772e-06 / -3.471e-06 | 0.024452 / -0.083874 | -1.11022e-16 / 2.22045e-16 | -2.91015e-07 / 2.77914e-07 | -2.98807e-07 / 2.83987e-07 | 2.06739e-07 / -2.01687e-07 | 0.0608861 / -0.0270886 | 0 / 0 | 0 / 0 | 0 / 0 | -0.021248 / 0.0194722 | -0.0343389 / 0.0369018 | -0.0689346 / 0.141876 | -0.085924 / 0.171389 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_Flavor_Response | 0.0230996 / -0.0171515 | -4.76852e-05 / 5.49471e-05 | 0 / 0 | -3.4635e-05 / 3.95611e-05 | -2.26005e-05 / 2.55976e-05 | 0 / 0 | -3.625e-05 / 4.13408e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -2.53084e-06 / 2.86842e-06 | 0 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | 3.57122e-07 / -4.01838e-07 | 3.32615e-07 / -3.74242e-07 | -1.29923e-07 / 1.42486e-07 | -0.0238442 / 0.0574341 | 0 / 0 | 0 / 0 | 0 / 0 | 0.031771 / -0.0288012 | 0.0440318 / -0.0520914 | 0.12444 / -0.0496885 | 0.173243 / -0.0737128 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_InSitu_NonClosure_PreRec | -0.0416115 / 0.065923 | -0.0201432 / 0.0296378 | 2.22045e-16 / -2.22045e-16 | 5.42879e-05 / -8.04061e-05 | 3.29555e-05 / -4.92735e-05 | -2.22045e-16 / 0 | 6.19323e-05 / -9.20611e-05 | 0 / 0 | 0 / 0 | 0.00452655 / -0.024272 | -0.00950124 / -0.0142468 | 3.3474e-06 / -5.06486e-06 | 0.015169 / -0.0795955 | -2.22045e-16 / 2.22045e-16 | 0.00444687 / -0.0196637 | -3.60589e-07 / 5.43847e-07 | 0.0238599 / -0.0662597 | 0.0614424 / -0.073783 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0345127 / 0.0496913 | -0.063005 / 0.0787364 | -0.103166 / 0.23172 | -0.0788026 / 0.102214 | 0 / 0 | -0.0317412 / 0.0460328 |
 | JET_JESUnc_Noise_PreRec | -0.0202258 / 0.0207707 | 4.75998e-05 / -4.42634e-05 | 0 / 2.22045e-16 | 3.26291e-05 / -3.07937e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.96843e-06 / -3.7838e-06 | 0.0244318 / -0.0579593 | -1.11022e-16 / 0 | -2.23462e-07 / 2.14753e-07 | -1.546e-07 / 1.46448e-07 | 1.6868e-07 / -1.63234e-07 | 0.0539403 / -0.0165355 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0204188 / 0.0236451 | -0.0276347 / 0.0308543 | -0.056337 / 0.135173 | -0.0688833 / 0.178219 | 0 / 0 | 4.44089e-16 / 2.22045e-16 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0449543 / 0.0793221 | -0.0276741 / 0.0502694 | 0 / 0 | 7.49924e-05 / -0.00011442 | 4.67294e-05 / -7.26059e-05 | 0 / 0 | 7.69328e-05 / -0.000118158 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 4.88819e-06 / -7.59601e-06 | 0.0134149 / -0.10727 | -1.11022e-16 / 0 | -3.69307e-07 / 5.85937e-07 | -4.77337e-07 / 7.49066e-07 | 3.27775e-07 / -5.32162e-07 | 0.0527269 / -0.0430764 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0565059 / 0.0838185 | -0.0541937 / 0.0993723 | -0.121128 / 0.29126 | -0.0678488 / 0.281171 | 0 / 0 | -0.0341444 / 0.0502524 |
 | JET_Pileup_OffsetNPV | -0.0188009 / 0.020497 | 4.29243e-05 / -4.089e-05 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 5.37805e-07 / -5.27316e-07 | 0.0148331 / -0.0770705 | -1.11022e-16 / -1.11022e-16 | -1.72584e-07 / 1.68586e-07 | -1.91623e-08 / 1.8782e-08 | 0.0217225 / -0.0204576 | 0.0580356 / -0.0212734 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0282759 / 0.0232025 | -0.0569038 / 0.0752073 | -0.0868346 / 0.170732 | 0 / 0 | -1.11022e-16 / 2.22045e-16 |
 | JET_Pileup_RhoTopology | -0.0358277 / 0.0560863 | 7.53524e-05 / -0.00011196 | 2.22045e-16 / 0 | 4.78264e-05 / -7.21511e-05 | 2.65163e-05 / -4.02869e-05 | -2.22045e-16 / 0 | 5.01501e-05 / -7.5909e-05 | 0 / 0 | 0 / 0 | 0.00529803 / -0.0204954 | -2.22045e-16 / 0 | 4.36652e-06 / -6.69516e-06 | 0.0173698 / -0.0751055 | -1.11022e-16 / 0 | -3.17305e-07 / 4.85833e-07 | -3.44141e-07 / 5.26427e-07 | 0.0266876 / -0.0590746 | 0.0610632 / -0.0679309 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0264454 / 0.0403631 | -0.0482878 / 0.0560351 | -0.0677636 / 0.182385 | -0.07806 / 0.0846655 | 0 / 0 | -0.0309324 / 0.040334 |
