 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197053 / -0.197259 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0168429 / 0.000441066 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0597113 / -0.000610323 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0149658 / 0.00198352 | -8.44079e-05 / 9.63136e-05 | -1.21385e-05 / 1.35657e-05 | -5.10184e-05 / 5.8331e-05 | -1.15208e-05 / 1.30068e-05 | -0.0372143 / 0.000503713 | 0 / 0 | 0 / 0 | 0.0311694 / 0.00178257 | 0 / 0 | 0 / 0 | -1.74461e-07 / 1.95504e-07 | 0.02251 / 0.000346011 | 0.0565458 / 0.0038235 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | -1.41664e-06 / 1.57384e-06 | -1.9336e-07 / 2.1444e-07 | -0.896379 / -0.0783009 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0310095 / 0.00235574 | 0.0595682 / 0.00352266 | -0.000113976 / 0.000129978 |
 | FT_EFF_Eigen_B_0__1 | 0.031865 / -0.0309991 | 0.0245071 / -0.0240372 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0487119 / -0.0471445 |
 | FT_EFF_Eigen_B_2__1 | -0.0630053 / 0.0694697 | -0.0525638 / 0.056941 | -0.0352647 / 0.0372656 | -0.0312078 / 0.0332119 | -0.0307298 / 0.0323785 | -0.0318383 / 0.0354058 | -0.0296101 / 0.0312159 | 0 / 0 | -0.0349107 / 0.0370656 | 2.22045e-16 / 0 | 0 / 0 | 8.48137e-06 / -8.69707e-06 | -0.0471809 / 0.0500491 | -0.0216641 / 0.02288 | -0.028972 / 0.0305837 | -0.0215818 / 0.0229023 | 0 / 0 | 1.0076e-06 / -1.04129e-06 | 0 / 0 | -0.0261894 / 0.0275021 | -0.0307392 / 0.0324963 | -0.0345578 / 0.0365036 | -0.0433771 / 0.0460433 | -0.0488373 / 0.0515002 | -0.0257975 / 0.0271986 | -0.0241764 / 0.0252244 | -0.0647469 / 0.0710334 |
 | FT_EFF_Eigen_B_3__1 | 0.0374867 / -0.0364505 | 0.0288229 / -0.0282461 | 0 / 0 | 0 / 0 | -1.22907e-05 / 1.27211e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205053 / -0.0201395 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199549 / -0.0198069 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0231656 / -0.0228497 | 0.0287423 / -0.0283528 | 0 / 0 | 0 / 0 | 0.0347364 / -0.0336699 |
 | FT_EFF_Eigen_B_8__1 | 0.0359528 / -0.0352018 | 0.0295808 / -0.0292098 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -1.11022e-16 / -2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0386418 / -0.0378019 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.0013774 / -0.0013774 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -3.52009e-06 / 3.44144e-06 | 0 / 0 | 1.67768e-05 / -1.66272e-05 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000665846 / 0.0260018 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 4.44089e-16 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.50598e-05 / -3.4379e-05 |
