 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197053 / -0.197259 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0400082 / 0.00103932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0738647 / -0.000757285 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.022262 / 0.0199623 | 1.29984e-05 / -1.21372e-05 | 0 / 0 | 9.25182e-06 / -8.76134e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 4.06275e-06 / -3.89375e-06 | 0 / 0 | -0.00659888 / 0.0299414 | 0 / 0 | 0 / -1.11022e-16 | 2.46403e-05 / -2.39847e-05 | 0 / 0 | -0.041736 / -0.00204318 | 0 / 0 | 0 / 0 | 0 / 0 | -0.029664 / 0.0315411 | -0.0986389 / 0.0319064 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0183187 / 0.0225819 | 1.92214e-05 / -1.76291e-05 | 0 / 0 | 1.09603e-05 / -1.02271e-05 | 1.17802e-05 / -1.11805e-05 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.000646464 / 0.0306537 | 0 / 0 | 0 / 2.22045e-16 | 1.25193e-05 / -1.19195e-05 | 0 / 0 | -0.0066611 / 0.0243419 | 1.73746e-05 / -1.65156e-05 | -1.11022e-16 / 0 | 0.00236974 / -0.0284181 | 0.0146225 / -0.0409782 | -0.0437531 / -0.0010324 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0439591 / 0.0311145 | -0.147867 / 0.0592548 | -0.168487 / 0.398293 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0.0197994 / -0.0205263 | -1.53728e-05 / 1.7791e-05 | -2.22045e-16 / -2.22045e-16 | -1.14456e-05 / 1.30909e-05 | -1.1291e-05 / 1.27783e-05 | -2.22045e-16 / -2.22045e-16 | -1.17891e-05 / 1.3439e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.30193e-05 / 1.45732e-05 | 0 / 0 | 0.0236378 / -0.00793341 | -3.25921e-06 / 3.67235e-06 | -1.11022e-16 / 0 | -0.0254306 / 0.00209989 | -0.0400267 / 0.00945693 | -0.00284717 / -0.0409694 | 0 / 0 | 0 / 0 | 0.0309179 / -0.0277699 | 0.05707 / -0.0438039 | 0.0256812 / -0.131395 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0369757 / 0.0659427 | -0.0228401 / 0.0319447 | 0.02114 / -0.0106515 | 2.62806e-05 / -3.83127e-05 | 2.03142e-05 / -3.02681e-05 | 0 / -2.22045e-16 | 2.10559e-05 / -3.10845e-05 | 0 / 0 | 0.048387 / -0.00424247 | 0 / 0 | 2.22045e-16 / 0 | -0.00357768 / -0.0179156 | 0 / 0 | -0.0155045 / 0.0380873 | 2.04958e-05 / -3.06684e-05 | -1.11022e-16 / 0 | 0.0089184 / -0.0659533 | 0.032828 / -0.110506 | -0.0425849 / 0.0271264 | 0 / 0 | 0 / 0 | -0.0462736 / 0.0558688 | -0.0454548 / 0.103748 | -0.136234 / 0.202206 | -0.246998 / 0.602913 | 0 / 0 | -0.0273708 / 0.0390318 |
 | JET_JESUnc_Noise_PreRec | -0.0201792 / 0.0228192 | 1.50546e-05 / -1.39771e-05 | 0 / 0 | 9.75115e-06 / -9.1837e-06 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.70024e-06 / -9.22602e-06 | 0 / 0 | -0.00649368 / 0.0255143 | 0 / 0 | 0 / -1.11022e-16 | 2.33317e-05 / -2.25991e-05 | 0 / 0 | -0.0422314 / -0.00185733 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312067 / 0.0253564 | -0.04935 / 0.0348902 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.045179 / 0.0965991 | -0.0302269 / 0.0549802 | 0.0178123 / 0.0352303 | 2.65305e-05 / -4.10087e-05 | 2.04236e-05 / -3.25925e-05 | -2.22045e-16 / 2.22045e-16 | 2.37979e-05 / -3.73369e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 4.44089e-16 | 2.18617e-05 / -3.48838e-05 | 0 / 0 | -0.0152557 / 0.0407579 | 1.70608e-05 / -2.74359e-05 | 0 / 0 | -0.00540226 / -0.0410294 | 0.0172076 / -0.0542217 | -0.0415635 / 0.00770353 | 0 / 0 | 0 / 0 | -0.0479746 / 0.0918619 | -0.0581771 / 0.0688113 | -0.243969 / 0.260261 | -0.168199 / 0.629547 | 0 / 0 | -0.0489009 / 0.0587988 |
 | JET_Pileup_OffsetNPV | -0.015556 / 0.0245842 | 1.35104e-05 / -1.28539e-05 | 2.22045e-16 / 0 | 9.52624e-06 / -9.17167e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -5.28577e-05 / 0.0306559 | 0.000704786 / -0.0291989 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0052875 / -0.0423075 | 0.0307401 / -0.0467758 | -0.0478383 / -0.00178411 | 0 / 0 | 0 / 0 | -0.0203363 / 0.0168625 | -0.0414434 / 0.0509525 | -0.0457377 / 0.0196866 | 0.000328551 / -0.0204974 | 0 / 0 | 0 / 0 |
