 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_EffectiveNP_Modelling1 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -0.0063119 / -0.0308971 | 0.0209338 / -0.0142283 | 2.22045e-16 / 4.44089e-16 | 2.22045e-16 / 2.22045e-16 | 0.0244929 / -0.0140716 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Response | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -0.0206257 / 0.000847453 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.031698 / 0.0080143 | -0.0229897 / 0.0278419 | -0.0214162 / 0.0289089 | 2.22045e-16 / 2.22045e-16 | -0.0141103 / 0.0383383 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | -0.0244582 / 0.0185362 | -0.0236022 / 0.0127459 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 2.22045e-16 / 0 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.00310246 / -0.0412613 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.0208979 / 0.0109406 | -0.0196409 / -0.0450028 | 0.0297191 / -0.0261489 | 0.0255071 / -0.0232043 | 0 / 4.44089e-16 | 0.0309974 / 0.0392773 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0.0282774 / -0.0380987 | 0.0254636 / -0.0425368 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0203328 / 0.0257044 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -4.44089e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 0 | -3.33067e-16 / 0 | -0.00112146 / -0.0246431 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -4.44089e-16 / 0 | -0.0152867 / -0.0527067 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0152187 / 0.0341209 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 4.44089e-16 | 0 / 2.22045e-16 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -6.84202e-06 / 0.0231513 |
 | JET_JER_EffectiveNP_1 | -2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | -5.55112e-16 / -2.22045e-16 | -0.0248888 / -2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | -2.22045e-16 / 0 | 4.44089e-16 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0250793 / 2.22045e-16 | 2.22045e-16 / 4.44089e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -2.22045e-16 / -0.0373642 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | -3.33067e-16 / 0.0275472 | 4.44089e-16 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -2.22045e-16 / -2.22045e-16 | -3.33067e-16 / -0.0335333 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0.0686727 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / -0.0255287 | -1.11022e-16 / 0.0283511 | 0 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -2.22045e-16 / -1.11022e-16 |
 | JET_JER_EffectiveNP_3 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0250103 / -0.00141158 | 0 / 0 | 0 / 0 | -2.22045e-16 / -4.44089e-16 | -2.22045e-16 / -2.22045e-16 | 4.44089e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0.0303364 / 4.2706e-05 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | -2.22045e-16 / 0 | -0.00118558 / -0.0265129 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.015576 / -0.0430632 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.99998 / -0.0096055 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1.11022e-16 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | -2.22045e-16 / 0 | -0.0340034 / 0.000542665 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 4.44089e-16 | -1.11022e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 0 | -2.22045e-16 / 0 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -2.22045e-16 / -1.11022e-16 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / -2.22045e-16 | 2.22045e-16 / 0 | 0.0216296 / 0.00124238 | -0.0181991 / 0.0313277 | 2.22045e-16 / 0 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 2.22045e-16 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / -2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 2.22045e-16 | 0.021114 / 0.01539 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_6 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 4.44089e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / -1.11022e-16 | 0 / -2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_6 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | -2.22045e-16 / 4.44089e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -2.22045e-16 / -1.11022e-16 |
 | JET_JER_EffectiveNP_8 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.00306523 / -0.0207641 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 4.44089e-16 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | 0 / 2.22045e-16 | -2.22045e-16 / 2.22045e-16 | 2.22045e-16 / -1.11022e-16 | 0 / -2.22045e-16 | 4.06241e-10 / -0.99998 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_9 | -1.11022e-16 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / -1.11022e-16 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -4.44089e-16 | 0 / 0 | 0 / -2.22045e-16 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -3.33067e-16 / -1.11022e-16 |
 | JET_JER_EffectiveNP_1 | 0 / -1.11022e-16 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 6.66134e-16 / 0 | 0 / -4.44089e-16 | 4.44089e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_JER_EffectiveNP_1 | 2.22045e-16 / -1.11022e-16 | -2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
