 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_Pileup_RhoTopology | -0.0339407 / 0.039742 | -0.0204586 / 0.0179306 | 0.021478 / 0.00591164 | 0 / 0 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -0.000717222 / 0.0304713 | 0 / 0 | 0 / 0 | -0.000979125 / -0.0237214 | 0 / 0 | -0.0116631 / 0.0335264 | 0 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0.0115404 / -0.0669715 | 0.0302186 / -0.112676 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0217372 / 0.0232669 |
 | MUON_EFF_ISO_SYS | 0.0232568 / -0.0230299 | 0.0228978 / -0.0226762 | 0.0247584 / -0.0245039 | 0.0232731 / -0.0230504 | 0.0225587 / -0.022352 | 0.0268879 / -0.0266192 | 0.0234831 / -0.0232641 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0264239 / -0.0261595 | 0.0345804 / -0.0341917 | 0 / 0 | 0.0309628 / -0.0305934 | 0.0221439 / -0.0219499 | 0.0210922 / -0.0209086 | 0.0244035 / -0.0241397 | 0.0244535 / -0.0241854 | 0.0368818 / -0.0368819 | 0.0226272 / -0.0224121 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0237851 / -0.0235548 |
 | FT_EFF_Eigen_B_2__1 | -0.0402695 / 0.0413799 | -0.0295266 / 0.0301349 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | -0.032605 / 0.0326048 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0336963 / 0.0353495 |
 | FT_EFF_Eigen_B_3__1 | 0.0314294 / -0.0306083 | 0.0248224 / -0.0243785 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0232824 / -0.0227567 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0303173 / -0.0303173 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0233013 / -0.0226241 |
 | FT_EFF_Eigen_B_7__1 | 0.0213016 / -0.0209532 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0246113 / -0.0242935 | 0 / 0 | 0 / 0 | 0.0210064 / -0.0209827 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0330368 / -0.0330366 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 2.22045e-16 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0420118 / -1.43027e-05 | -0.0218334 / -5.43289e-06 | -0.0330433 / -0.000820833 | -0.171901 / 0.0032228 | 0.0268578 / 0.00485217 | -0.0284212 / -0.00104123 | -2.22045e-16 / 0 | -0.0767084 / 8.2074e-05 | -0.0642712 / 1.77327e-05 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | -0.0196653 / 0.0215865 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | -1.11022e-16 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | -0.00316575 / 0.0284333 | -0.000816535 / 0.0380366 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00741091 / 0.0294469 | 0 / 0 | -1.11022e-16 / 0 | 0.00756845 / -0.0568735 | 0.0227586 / -0.0972424 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0245034 / 0.0191548 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0.02356 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.0337714 | 0 / 0 | 0 / -0.0328009 | 0 / -1.11022e-16 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / -0.0270883 | 0 / -0.0577143 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1.11022e-16 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0.0284636 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.0289305 | 0 / -0.0331966 | 0 / -0.0938334 | 0 / 2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / -0.0401802 | 0 / -0.0509168 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 2.22045e-16 |
