 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197053 / -0.197259 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0903337 / -0.000932488 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0263768 / 0.0271028 | -2.35217e-05 / 2.10818e-05 | 9.66614e-07 / -8.66732e-07 | -1.89789e-05 / 1.70182e-05 | -1.58902e-05 / 1.42474e-05 | 0.0331955 / -0.0327519 | -4.25019e-06 / 3.81372e-06 | 0 / 0 | -1.11022e-16 / 0 | 0.025203 / -0.0253886 | 0 / 0 | -3.00273e-06 / 2.69827e-06 | -0.0191403 / 0.0195539 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0247374 / -0.024263 | 0.0373716 / -0.0361491 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226035 / 0.0231489 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0184675 / 0.0190592 |
 | JET_JERUnc_Noise_PreRec | 0.0160643 / 0.000646227 | -1.25653e-05 / 1.42612e-05 | 8.68844e-06 / -9.68867e-06 | 1.60764e-05 / -1.82654e-05 | 1.77287e-05 / -2.00443e-05 | -0.028676 / 0.000574618 | 3.55785e-06 / -4.00356e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0285133 / -0.00838634 | -3.15042e-06 / 3.53314e-06 | 4.52842e-07 / -5.09135e-07 | 0.0412201 / 0.000946514 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 3.35956e-06 / -3.75835e-06 | 1.4492e-05 / -1.61437e-05 | 0.48747 / 0.02762 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0178381 / 0.000227887 | 0.0311106 / 0.00222549 | 0.0147712 / 0.0022948 |
 | FT_EFF_Eigen_B_0__1 | 0.0292209 / -0.0287729 | 0.0240951 / -0.0236908 | 4.58772e-06 / -4.71314e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0447907 / -0.0435683 |
 | FT_EFF_Eigen_B_2__1 | -0.0706438 / 0.0785727 | -0.057322 / 0.0625181 | -0.0336366 / 0.0353714 | -0.0308869 / 0.0326899 | -0.030915 / 0.0325986 | -0.0255294 / 0.0269317 | -0.0301427 / 0.0318299 | 0 / 0 | -0.0296583 / 0.0310777 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0234487 / 0.0246844 | 2.22045e-16 / 2.22045e-16 | -0.0312257 / 0.03293 | -0.0207258 / 0.022292 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0243942 / 0.0256245 | -0.0325897 / 0.0344785 | -0.03632 / 0.0383314 | -0.0469402 / 0.0504607 | -0.0370296 / 0.0392744 | -0.0610753 / 0.0651138 | -0.0465721 / 0.0500312 | -0.060812 / 0.0667716 |
 | FT_EFF_Eigen_B_3__1 | 0.038824 / -0.0375941 | 0.0311136 / -0.0304431 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205906 / -0.0204084 | 0.0262379 / -0.0257047 | 0.0242238 / -0.0240287 | 0.0294684 / -0.0292753 | 0.0241339 / -0.0237007 | 0.0347871 / -0.033879 |
 | FT_EFF_Eigen_B_8__1 | 0.0378314 / -0.0369071 | 0.0278285 / -0.0275246 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248536 / -0.0249137 | 0.0380285 / -0.0371676 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0013761 / -3.61448e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.000661241 / -0.000661239 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 4.08381e-05 / -3.97182e-05 | -8.92874e-06 / 8.72801e-06 | 9.24165e-06 / -9.08637e-06 | 2.23619e-06 / -2.2108e-06 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | -0.0213408 / -0.00412048 | 0 / 0 | -1.29995e-05 / 1.31672e-05 | 0 / 0 | -0.00182747 / 0.0481391 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00196333 / 0.026576 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 7.44938e-05 / -0.00010799 | -2.29129e-05 / 3.34629e-05 | 1.11591e-06 / -1.64155e-06 | -1.97534e-05 / 2.91321e-05 | -1.63107e-05 / 2.44871e-05 | -0.0147896 / -0.00806412 | -3.95771e-06 / 5.94818e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -0.0221473 / 0.029578 | 0.0331289 / -0.0411675 | 0.0259588 / -0.0484048 | 0.0512398 / -0.0570832 | 0.0100105 / 0.0366006 | 0.0198485 / -0.030278 | 0 / -3.33067e-16 | 0.0271755 / -0.0504968 | 0.019852 / -0.0345049 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00658605 / 0.0161671 | 0 / 0 | -0.0221437 / 0.036314 |
 | JET_JER_EffectiveNP_1 | 8.37073e-06 / -1.27774e-05 | 0 / 0 | 1.49181e-05 / -2.28149e-05 | 7.86363e-06 / -1.19908e-05 | 4.39692e-06 / -6.70717e-06 | -0.0196298 / 0.0170959 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | -6.67914e-06 / 1.01603e-05 | 0 / 0 | 0.0276834 / -0.0231096 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / -3.33067e-16 | 0 / 0 | 1.0243e-05 / -1.54755e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210925 / -0.0177099 | 0.0236921 / -0.0198472 | 0 / 0 | -8.25152e-05 / 0.000126192 |
 | JET_JER_EffectiveNP_1 | -8.86502e-06 / 8.70835e-06 | -6.75604e-06 / 6.65684e-06 | 0 / 0 | 1.41078e-06 / -1.39204e-06 | -1.22467e-05 / 1.2062e-05 | -2.22045e-16 / -2.22045e-16 | -1.88317e-06 / 1.85538e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.00020985 / 0.018844 | 0 / 0 | -3.43828e-05 / 3.38847e-05 | 0.000473354 / 0.042797 | -1.11022e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -1.05417e-05 / 1.04041e-05 | -1.29972e-05 / 1.28241e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000411178 / 0.0371157 | 2.43281e-05 / -2.37696e-05 |
