 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.151813 pm 0.0279278 | 0.00457837 pm 0.00143848 | 0.00258586 pm 0.00299101 | 0.00849091 pm 0.00677647 | 1.46483 pm 0.268973 | 1.45078 pm 0.266599 | 2.0165 pm 0.372917 | 1.99046 pm 0.366381 | 16.0288 pm 4.07911 | 4.25761 pm 0.791014 | 14.7222 pm 2.69936 | 2.41732 pm 0.444028 | 9.22815 pm 1.68883 | 
 | ttt | 0.0371755 pm 0.0111455 | 0.00141486 pm 0.000427527 | 0.00258512 pm 0.00088293 | 0.006845 pm 0.00205412 | 0.388757 pm 0.116408 | 0.336224 pm 0.100715 | 0.305889 pm 0.0916168 | 0.278626 pm 0.0834419 | 0.681088 pm 0.294123 | 0.248754 pm 0.0749188 | 1.24084 pm 0.371717 | 0.187135 pm 0.056086 | 0.997075 pm 0.298368 | 
 | ttWW | 0.336321 pm 0.174311 | 0.0101779 pm 0.0052888 | 0.0644153 pm 0.0357589 | 0.123487 pm 0.0640192 | 2.43999 pm 1.26415 | 2.30512 pm 1.19431 | 5.76442 pm 2.98717 | 5.9097 pm 3.06064 | 0.290674 pm 0.163478 | 0.225754 pm 0.121287 | 1.82471 pm 0.945428 | 1.54212 pm 0.798808 | 8.19952 pm 4.24666 | 
 | rarettVV | 0.148087 pm 0.0731707 | 0.00804087 pm 0.00398465 | 0.0139882 pm 0.00692143 | 0.0333978 pm 0.0165084 | 1.27152 pm 0.627933 | 0.790048 pm 0.390192 | 1.6183 pm 0.799179 | 1.04159 pm 0.5144 | 0.631851 pm 0.394301 | 0.133095 pm 0.0738769 | 1.02708 pm 0.577455 | 0.348615 pm 0.17222 | 2.27581 pm 1.12371 | 
 | ttll_MG_high_mll | 5.44583 pm 2.16403 | 0.274303 pm 0.247952 | 2.28714 pm 0.542093 | 5.02867 pm 1.81311 | 40.0901 pm 12.7672 | 38.4503 pm 11.0081 | 37.5389 pm 12.858 | 36.318 pm 11.7008 | 1.87946 pm 0.434028 | 2.63583 pm 0.442772 | 9.82 pm 1.18584 | 13.0378 pm 3.02033 | 40.541 pm 10.1956 | 
 | ttll_MG_low_mll | 0.370716 pm 0.147313 | 0.0233137 pm 0.021074 | 0.108235 pm 0.0457908 | 0.21765 pm 0.0777356 | 2.64623 pm 0.84514 | 2.47993 pm 0.708463 | 1.86261 pm 0.650024 | 1.95374 pm 0.637475 | 0.113221 pm 0.0314769 | 0.0224326 pm 0.0255554 | 0.419482 pm 0.0655551 | 0.060402 pm 0.0247294 | 2.5534 pm 0.644846 | 
 | ttH | 3.34558 pm 0.335548 | 0.219821 pm 0.113409 | 1.72269 pm 0.177324 | 3.51152 pm 0.0841948 | 39.3101 pm 3.89125 | 39.2966 pm 3.88937 | 34.285 pm 3.39386 | 33.6524 pm 0.457717 | 2.29934 pm 0.507207 | 2.06756 pm 0.353327 | 12.7306 pm 1.27416 | 9.62678 pm 0.963095 | 54.7069 pm 5.39614 | 
 | QmisID | 113.695 pm 2.33197 | 1.57753 pm 0.0676304 | 2.00085e-06 pm 7.95226e-08 | 1.9894e-06 pm 5.60889e-08 | 18.4514 pm 0.221069 | 17.5002 pm 0.26937 | 34.049 pm 0.372472 | 36.7343 pm 0.47198 | 1.33878 pm 0.0400748 | 1.99533e-06 pm 6.84698e-08 | 6.96454 pm 0.127311 | 0.00306148 pm 8.1629e-05 | 32.0333 pm 0.285903 | 
 | CO | 69.3676 pm 19.2274 | 3.50696 pm 1.01389 | 3.2167 pm 0.974634 | 1.60039 pm 0.667069 | 2.74021 pm 1.08823 | 2.22491 pm 0.899842 | 11.1945 pm 4.15237 | 8.23531 pm 3.12021 | 0.39201 pm 0.118505 | 0.422142 pm 0.363193 | 4.16168 pm 1.2544 | 1.28048 pm 0.386303 | 19.34 pm 5.82075 | 
 | gstr | 19.4875 pm 3.9467 | 45.8475 pm 8.75146 | 4.31036 pm 0.879881 | 1.47973 pm 0.334358 | 5.97009 pm 1.34412 | 5.83084 pm 1.31306 | 12.2608 pm 2.46548 | 9.69908 pm 1.95206 | 0.817934 pm 0.165915 | 0.394963 pm 0.152383 | 4.18852 pm 0.845076 | 1.48762 pm 0.300081 | 18.6027 pm 3.73859 | 
