 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.142308 pm 0.0286114 | 0.00484007 pm 0.00154271 | 0.00249735 pm 0.00288914 | 0.00616714 pm 0.00513348 | 1.37845 pm 0.276726 | 1.36302 pm 0.273884 | 1.87935 pm 0.38002 | 1.88016 pm 0.378384 | 13.5838 pm 3.62969 | 4.00127 pm 0.812415 | 13.8479 pm 2.77991 | 2.26994 pm 0.455978 | 8.64256 pm 1.7302 | 
 | ttt | 0.0370609 pm 0.0111443 | 0.00141031 pm 0.000427398 | 0.00259953 pm 0.000888641 | 0.00684428 pm 0.00206018 | 0.388681 pm 0.116739 | 0.335761 pm 0.100886 | 0.30362 pm 0.091224 | 0.278698 pm 0.0837246 | 0.660834 pm 0.28597 | 0.248611 pm 0.0751185 | 1.24023 pm 0.372751 | 0.186819 pm 0.0561625 | 0.992996 pm 0.298041 | 
 | ttWW | 0.354284 pm 0.177291 | 0.0107202 pm 0.00537977 | 0.0685003 pm 0.0368463 | 0.130507 pm 0.0653342 | 2.57564 pm 1.28824 | 2.4302 pm 1.21558 | 6.05183 pm 3.02729 | 6.24155 pm 3.12217 | 0.302569 pm 0.164795 | 0.239775 pm 0.124521 | 1.92707 pm 0.964137 | 1.6275 pm 0.814318 | 8.63232 pm 4.3168 | 
 | rarettVV | 0.146053 pm 0.0730881 | 0.00792939 pm 0.00397926 | 0.0137902 pm 0.00691078 | 0.0330757 pm 0.0165602 | 1.25646 pm 0.62842 | 0.780139 pm 0.390241 | 1.59147 pm 0.796018 | 1.02948 pm 0.514937 | 0.595889 pm 0.373069 | 0.133028 pm 0.0750344 | 1.02684 pm 0.586585 | 0.344314 pm 0.172284 | 2.24246 pm 1.12142 | 
 | ttll_MG_high_mll | 6.60292 pm 2.84949 | 0.429959 pm 0.339076 | 2.54786 pm 0.693854 | 6.00039 pm 2.38476 | 46.7711 pm 16.7035 | 44.0639 pm 14.3136 | 44.234 pm 16.8567 | 42.4327 pm 15.2982 | 1.8368 pm 0.429913 | 2.67877 pm 0.454805 | 9.92075 pm 1.20881 | 14.5282 pm 3.89878 | 45.5548 pm 13.1583 | 
 | ttll_MG_low_mll | 0.449483 pm 0.193974 | 0.0365432 pm 0.0288189 | 0.119721 pm 0.0533199 | 0.25895 pm 0.102071 | 3.08834 pm 1.10576 | 2.84004 pm 0.920726 | 2.20395 pm 0.852178 | 2.28848 pm 0.835192 | 0.110429 pm 0.0309339 | 0.0234872 pm 0.0270428 | 0.426297 pm 0.0671943 | 0.0670957 pm 0.0290104 | 2.87049 pm 0.832385 | 
 | ttH | 3.33248 pm 0.340207 | 0.236089 pm 0.118939 | 1.71497 pm 0.179993 | 3.51739 pm 0.084766 | 39.2441 pm 3.95616 | 39.1838 pm 3.96196 | 34.0264 pm 3.43618 | 33.7262 pm 0.474536 | 2.21535 pm 0.493027 | 2.05029 pm 0.354771 | 12.6979 pm 1.29619 | 9.59909 pm 0.980102 | 54.4362 pm 5.47208 | 
 | QmisID | 113.665 pm 2.33503 | 1.57692 pm 0.0676492 | 2e-06 pm 8.20104e-08 | 2e-06 pm 5.75128e-08 | 18.4535 pm 0.221934 | 17.4684 pm 0.271079 | 34.0088 pm 0.377454 | 36.7599 pm 0.480541 | 1.32667 pm 0.0403123 | 2e-06 pm 6.91487e-08 | 6.97753 pm 0.129587 | 0.00306865 pm 8.21746e-05 | 31.9981 pm 0.288197 | 
 | CO | 70.4896 pm 7.73099 | 3.56322 pm 0.413197 | 3.29041 pm 0.103982 | 1.66166 pm 0.358207 | 2.83894 pm 0.501753 | 2.30817 pm 0.431668 | 11.5526 pm 1.59607 | 8.5365 pm 1.28435 | 0.397884 pm 0.0114643 | 0.441553 pm 0.36432 | 4.2683 pm 0.0790907 | 1.31145 pm 0.0286928 | 19.7766 pm 0.198029 | 
 | gstr | 19.9962 pm 0.410784 | 47.0383 pm 2.01792 | 4.41992 pm 0.139347 | 1.52651 pm 0.160124 | 6.15638 pm 0.632977 | 6.00143 pm 0.617923 | 12.5869 pm 0.138272 | 9.9881 pm 0.141446 | 0.832051 pm 0.0247567 | 0.403058 pm 0.137642 | 4.30247 pm 0.0919854 | 1.52911 pm 0.0302077 | 19.0697 pm 0.191515 | 
 | HFe | 15.2903 pm 0.31411 | 5.83001 pm 0.250105 | 53.4525 pm 1.74082 | 17.841 pm 0.457539 | 24.5277 pm 0.283099 | 25.4639 pm 0.376562 | 71.1433 pm 0.788576 | 72.0073 pm 0.892256 | 0.128058 pm 0.219209 | 0.564631 pm 0.020923 | 4.68507 pm 0.104757 | 0.620585 pm 0.1121 | 15.9913 pm 0.176116 | 
 | HFm | 14.5506 pm 0.298915 | 1.93166 pm 0.0828673 | 26.3628 pm 0.840491 | 110.932 pm 2.77436 | 63.1919 pm 0.738571 | 69.4019 pm 1.00431 | 93.102 pm 1.03056 | 95.9389 pm 1.19524 | 0.358485 pm 0.149312 | 0.497644 pm 0.0630582 | 6.21859 pm 0.156972 | 0.559298 pm 0.126295 | 23.6985 pm 0.267767 | 
 | light | 3.50756 pm 0.0720561 | 1.48524 pm 0.0637162 | 0.989332 pm 0.621472 | 0.404496 pm 0.290379 | 2.72136 pm 0.0325681 | 0.947577 pm 0.0162052 | 15.1276 pm 0.170473 | 9.55671 pm 0.122118 | 0.31874 pm 0.00786314 | 0.0295356 pm 0.00137178 | 1.96573 pm 0.0393713 | 0.797274 pm 0.0158401 | 10.3614 pm 0.0950891 | 
 | otherfake | 37.1668 pm 0.76352 | 10.3591 pm 0.444401 | 4.36094 pm 0.756116 | 6.13169 pm 0.147797 | 27.2931 pm 0.316511 | 24.0332 pm 0.344434 | 14.1685 pm 0.172063 | 12.0525 pm 0.151408 | 0.873936 pm 0.0189971 | 0.411539 pm 0.0168064 | 2.31651 pm 0.264071 | 1.42332 pm 0.147494 | 19.8774 pm 0.209817 | 
 | singleTop | 4.20235 pm 1.26366 | 0.11764 pm 0.035651 | 5.0426 pm 1.52153 | 9.89153 pm 2.97726 | 19.9881 pm 6.00068 | 12.7166 pm 3.81923 | 19.4946 pm 5.85267 | 14.0187 pm 4.2095 | 0.357209 pm 0.147159 | 0.270995 pm 0.104679 | 2.03257 pm 0.665376 | 1.57196 pm 0.472569 | 9.143 pm 2.74425 | 
 | Diboson | 9.47547 pm 3.81631 | 0.17197 pm 0.0829234 | 11.3378 pm 1.81324 | 18.524 pm 2.1328 | 11.7996 pm 4.99997 | 8.95284 pm 3.74935 | 88.3621 pm 37.2881 | 60.6632 pm 25.2763 | 0.155789 pm 0.107753 | 0.124347 pm 0.0822001 | 0.928675 pm 0.591523 | 1.25576 pm 0.813337 | 7.39328 pm 4.60087 | 
 | triboson | 0.0693844 pm 0.00142537 | 0.00321776 pm 0.000138041 | 0.31226 pm 0.0119297 | 0.482794 pm 0.0125451 | 0.0881263 pm 0.000984884 | 0.0817432 pm 0.00115673 | 1.36261 pm 0.0152576 | 1.02413 pm 0.0128892 | 0.000858737 pm 2.01214e-05 | 0.0120682 pm 0.00535436 | 0.00823348 pm 0.000857758 | 0.0441007 pm 0.000849407 | 0.0800034 pm 0.000693002 | 
 | vh | 1e-06 pm 5.00422e-07 | 1e-06 pm 5.01837e-07 | 0.319934 pm 0.177232 | 0.122836 pm 0.263511 | 3e-06 pm 1.50068e-06 | 0.317431 pm 0.477635 | 0.408116 pm 0.370804 | 0.297684 pm 0.728881 | 2e-06 pm 1.00102e-06 | 2e-06 pm 1.00239e-06 | 4e-06 pm 2.00115e-06 | 3e-06 pm 1.50114e-06 | 4e-06 pm 2.00029e-06 | 
 | t#bar{t}W^{+} | 6.2389 pm 0.128166 | 0.13418 pm 0.00575627 | 4.10283 pm 0.152755 | 8.47579 pm 0.232203 | 97.0929 pm 1.51775 |  0 pm 0 | 40.0796 pm 0.733608 |  0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | t#bar{t}W^{-} | 3.52775 pm 0.0724708 | 0.0905233 pm 0.00388341 | 2.57144 pm 0.0928599 | 4.66214 pm 0.12725 |  0 pm 0 | 52.5738 pm 1.05998 |  0 pm 0 | 21.7765 pm 0.454705 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 0 pm 0 | 
 | ttZp2500 | 0.0134346 pm 0.000275989 | 0.000340038 pm 7.09375e-05 | 0 pm 0 | 0.000256314 pm 0.000142821 | 0.0547369 pm 0.000731664 | 0.0568017 pm 0.000908747 | 0.144669 pm 0.00527986 | 0.137686 pm 0.00425155 | 1.43776 pm 0.0272619 | 0.38357 pm 0.0142207 | 1.28672 pm 0.0251786 | 0.203673 pm 0.00422759 | 0.711284 pm 0.00676721 | 
 | Total | 309.258 pm 11.1148 | 73.0298 pm 3.18117 | 121.033 pm 4.64888 | 190.61 pm 6.40981 | 368.909 pm 20.3416 | 311.321 pm 17.2688 | 491.832 pm 42.3767 | 430.635 pm 30.9281 | 25.4931 pm 3.78503 | 12.5142 pm 1.15829 | 76.0775 pm 3.9221 | 37.9426 pm 4.30907 | 281.473 pm 16.8663 | 
 | data | 309 | 70 | 104 | 176 | 450 | 341 | 540 | 428 | 51 | 14 | 94 | 40 | 405 | 
