 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0881935 / -0.00139848 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0264247 / 0.027135 | -2.55375e-05 / 2.29127e-05 | 9.97901e-07 / -8.95725e-07 | -1.94806e-05 / 1.74864e-05 | -1.65265e-05 / 1.48335e-05 | 0.0332581 / -0.0327811 | -4.36257e-06 / 3.91863e-06 | 0 / 0 | 0 / 0 | 0.0252555 / -0.0254109 | 0 / 0 | -3.04894e-06 / 2.74259e-06 | -0.0191706 / 0.0195724 | 0 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0247781 / -0.024285 | 0.037433 / -0.036182 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226389 / 0.0231708 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000133287 / -0.000119531 |
 | JET_JERUnc_Noise_PreRec | 0.0161511 / 0.000632709 | -1.01383e-05 / 1.14888e-05 | 8.99425e-06 / -1.00139e-05 | 1.68208e-05 / -1.90816e-05 | 1.84762e-05 / -2.0857e-05 | -0.0288187 / 0.000592269 | 3.66183e-06 / -4.11413e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0286411 / -0.00840858 | -3.25564e-06 / 3.64543e-06 | 4.6105e-07 / -5.17553e-07 | 0.0414329 / 0.000922745 | 0 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 3.48372e-06 / -3.89112e-06 | 1.49865e-05 / -1.66682e-05 | 0.490308 / 0.0273727 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0179293 / 0.000217425 | 0.031274 / 0.00220847 | -0.00022591 / 0.000256313 |
 | FT_EFF_Eigen_B_0__1 | 0.0292278 / -0.0287795 | 0.0240982 / -0.0236937 | 4.73684e-06 / -4.86629e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0634764 / -0.0604727 |
 | FT_EFF_Eigen_B_2__1 | -0.0706748 / 0.0787217 | -0.0573482 / 0.0626369 | -0.0336498 / 0.0354357 | -0.0308996 / 0.0327497 | -0.0309264 / 0.0326569 | -0.0255389 / 0.0269796 | -0.0301538 / 0.0318868 | 0 / 0 | -0.0296693 / 0.0311332 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0234574 / 0.0247283 | 0 / 0 | -0.0312372 / 0.0329888 | -0.0207334 / 0.0223313 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0244032 / 0.0256701 | -0.0326017 / 0.0345402 | -0.0363334 / 0.0384001 | -0.0469574 / 0.0505516 | -0.0370432 / 0.0393448 | -0.0610976 / 0.0652325 | -0.0465891 / 0.0501212 | -0.0605067 / 0.0666273 |
 | FT_EFF_Eigen_B_3__1 | 0.0388289 / -0.037598 | 0.0311178 / -0.0304467 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205936 / -0.0204109 | 0.0262412 / -0.0257073 | 0.0242276 / -0.0240321 | 0.0294735 / -0.0292801 | 0.024137 / -0.0237032 | 0.0375201 / -0.0364213 |
 | FT_EFF_Eigen_B_8__1 | 0.037831 / -0.0369072 | 0.0278282 / -0.0275246 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248533 / -0.0249136 | 0.0379303 / -0.0371354 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.00133598 / -3.11013e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.000623407 / -0.000623402 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
