 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.018997 / 0.000439885 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.166575 / 0.00244973 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0214331 / -0.036486 | 0.0264335 / -0.0429655 | 0.0627484 / -0.0660587 | 0.0260425 / -0.0455855 | 0.0187067 / -0.0428551 | -0.0655647 / -0.0152036 | 0.0578679 / -0.0811148 | 0 / 0 | 0.00339658 / -0.0513088 | 0 / 0 | 1.17675 / -0.397707 | 0.246329 / -0.128438 | 0 / 0 | 0.166557 / -0.0865677 | 0.346378 / -0.0438837 | -0.082178 / 0.0495277 | -0.00736025 / -0.0364363 | 0 / 0 | 0 / 0 | 0.0275641 / -0.0733077 | 0.0391574 / -0.0773848 | 0.114524 / -0.137823 | 0.0253098 / -0.035409 | 0.035346 / -0.0252457 | -0.0705565 / -0.00852232 | 0.108587 / -0.157114 | 0.171825 / -0.115223 | -0.00182571 / -0.0854554 | 0.00121745 / -0.0334097 | 0.0162305 / -0.0267932 |
 | JET_Pileup_RhoTopology | 0.0190331 / -0.032153 | 0.0227721 / -0.0374631 | 0.0622684 / -0.0459289 | 0.025626 / -0.0408962 | 0.0211535 / -0.041059 | -0.0667619 / -0.00376257 | 0.0564728 / -0.075055 | 0 / 0 | 0.0030023 / -0.0432113 | 0 / 0 | 1.14671 / -0.428926 | 0.2407 / -0.141181 | 0 / 0 | 0.162793 / -0.0971264 | 0.329698 / -0.101374 | -0.0808573 / 0.0543589 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0278875 / -0.0679463 | 0.032416 / -0.0726398 | 0.113484 / -0.118238 | 0.0229739 / -0.0354264 | 0.0346188 / -0.0250268 | -0.067521 / 0.00909732 | 0.106999 / -0.155876 | 0.153867 / -0.115677 | 0 / 0 | -0.00145152 / -0.0281353 | 0 / 0 |
 | FT_EFF_Eigen_B_3__1 | 0.0236165 / -0.0231866 | 0.0229842 / -0.0225619 | 0 / 0 | 0.0227925 / -0.022424 | 0 / 0 | 0.0310033 / -0.0303946 | 0.0201414 / -0.0197524 | 0 / 0 | 0.0223566 / -0.0220932 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0236831 / -0.0229792 | 0.0247036 / -0.0239139 | 0.0208583 / -0.020787 | 0.0210459 / -0.0207678 | 0.0253963 / -0.0249896 | 0 / 0 | 0 / 0 | 0 / 0 | 0.024848 / -0.0244686 | 0.0224982 / -0.0221923 | 0.0265951 / -0.0261209 | 0.0245024 / -0.023807 | 0.0278784 / -0.0273344 | 0.0216609 / -0.0212832 | 0.0330322 / -0.0325188 | 0.0225778 / -0.0219641 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_7__1 | 0.0245256 / -0.024087 | 0.0240218 / -0.0235972 | 0 / 0 | 0.0240894 / -0.0236819 | 0 / 0 | 0.0407127 / -0.0393039 | 0.0209261 / -0.0205697 | 0 / 0 | 0.0251427 / -0.0248315 | 0 / 0 | 0 / 0 | 0 / 0 | 0.025686 / -0.0248596 | 0.0222291 / -0.0218422 | 0.0213479 / -0.0210407 | 0.0274328 / -0.0270818 | 0.0275988 / -0.0272424 | 0 / 0 | 0 / 0 | 0.0207907 / -0.0205608 | 0.0286702 / -0.0282022 | 0.0260148 / -0.0256767 | 0.0276948 / -0.0272175 | 0.0269199 / -0.0260458 | 0.0256028 / -0.0250258 | 0.02504 / -0.0245855 | 0.0268563 / -0.0265161 | 0 / 0 | 0 / 0 | 0.023056 / -0.0226515 |
 | JET_JESUnc_VertexingAlg_PreRec | 1.52873e-06 / -2.46161e-06 | 0.0179255 / -0.0324791 | 0.0627574 / -0.0184983 | 0.0223989 / -0.0386987 | 0.0147566 / -0.0310532 | 0 / 0 | 0.0427209 / -0.0559119 | 0 / 0 | 0.00135745 / -0.0684853 | 0 / 0 | 1.15125 / -0.139001 | 0.247806 / -0.0387585 | 0 / 0 | 0.168961 / -0.0367961 | 0.305534 / 0.0728201 | -0.0815381 / 0.00112414 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0.0111504 / -0.0358477 | 0.0334289 / -0.0377977 | 0.0256989 / -0.0698994 | -0.00245381 / -0.0365056 | 0.037238 / -0.0128441 | 0.0500152 / -0.067182 | 0.0253334 / -0.0949263 | 0.0860335 / -0.0510065 | -2.22045e-16 / 4.44089e-16 | 0.000179888 / -0.0522743 | 9.64838e-07 / -1.53827e-06 |
 | ttt Cross-Section | 0 / 0 | 0.300458 / -0.300205 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t + 1 true b-jet | 0 / 0 | 0.313048 / -0.000522255 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538489 / -0.501637 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Other + 1 true b-jet | 0 / 0 | 0 / 0 | 0.164635 / 0.000991409 | 0.0842182 / 0.000518856 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.165319 / 0.000995345 | 0.167227 / 0.0010063 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Other + #geq 2 true b-jet | 0 / 0 | 0 / 0 | 0.134697 / -0.000448412 | 0.380888 / -0.0011853 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.219183 / -0.000712278 | 0.215508 / -0.000701056 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0.0640357 / 0.00437439 | 0 / 0 | 0.0203447 / -0.0302565 | 0.00987627 / -0.0369662 | 0.0501657 / -0.0355248 | 0 / 0 | 0.0141265 / -0.0598086 | 0 / 0 | 0 / 0 | 0.252031 / 0.0081121 | 0 / 0 | -1.11022e-16 / 0 | 0.207863 / 0.233359 | -0.0858704 / -0.0155926 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0.0217504 / -0.0585125 | 0.0349321 / -0.00045719 | 0.12842 / -0.0168726 | 0.0395215 / -0.0253896 | 0 / 0 | 0.0109535 / -0.0373479 | 0.0777183 / -0.0175011 | 0.131715 / 0.00654136 | 0 / 0 | 0.0133809 / -0.0403002 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.0300629 / 0.0304318 | 0.022858 / -0.0225372 | 0.0447435 / -0.0433129 | 0.153954 / -0.134115 | 0.0260973 / -0.0254841 | 0 / 0 | 0 / 0 | -0.0827025 / 0.0901329 | -0.646342 / 1.77263 | -0.0422694 / 0.0441684 | -0.0470534 / 0.0494373 | 0.0928935 / -0.0853241 | -0.115088 / 0.132376 | 0.0764485 / -0.0711686 | 0.0563976 / -0.053506 | 0.212869 / -0.176628 | 0 / 0 | 0.0338143 / -0.0331587 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.0228914 / -0.0224427 | -0.0612727 / 0.0651475 | 0.116343 / -0.104675 | 0.0600034 / -0.0590527 | -2.22045e-16 / 4.44089e-16 | 0.155465 / -0.13531 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.0265075 / -0.00754795 | 0 / 0 | -0.0281861 / -0.00527673 | -0.134692 / -0.00937158 | -0.0170559 / -0.00106781 | 0 / 0 | 0 / 0 | -0.105588 / -0.00588369 | -0.0193281 / -0.0012852 | 0.0609306 / 0.00371376 | -0.0939385 / -0.0059493 | 0.0152723 / 0.000994008 | 0.288356 / 0.0155184 | -0.0782428 / -0.00625704 | -0.0589879 / -0.00373043 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 2.22045e-16 | -0.0559324 / -0.00440253 | -0.0775294 / -0.0049145 | 0.0542453 / 0.00331337 | 0.0295605 / 0.00637711 | 0.0466893 / 0.00253018 | -0.0510332 / 0.0694944 | -0.116187 / -0.00743834 | 0.070446 / 0.0043067 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0346527 / -0.0284336 | 0 / 0 | 0 / 0 | -0.106602 / 0.0996812 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.01359 / -0.452091 | 0 / -1.11022e-16 | 0 / 0 | -0.0344644 / 0.0300803 | 0.218383 / -0.154652 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.0485349 / 0.042918 | 0 / 0 | -0.0425971 / 0.0374595 | 4.44089e-16 / 0 | 0.0779455 / -0.061648 | -0.137397 / 0.13252 | -0.0361133 / 0.0315674 | 0.110758 / -0.0852692 | -0.10179 / 0.0947307 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.00061426 / -0.0547372 | 0 / 0 | -0.000309401 / -0.0277926 | -0.00234645 / -0.199792 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0.00110245 / 0.102771 | 0 / 0 | 0.000543638 / 0.0499398 | 0 / 0 | 0 / 0 | 0.00251688 / 0.243517 | -0.000765474 / -0.0679417 | -0.000461763 / -0.0413132 | 0 / 0 | 0 / 0 | -0.000378633 / -0.0339497 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | -0.000236468 / -0.021282 | 0.000428391 / 0.039234 | -0.000724944 / -0.0644129 | 0 / 0 | 0.000559582 / 0.051426 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.0374117 / -0.019523 | 0 / 0 | -0.0361272 / 0.0197998 | -0.109977 / 0.0634992 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0945413 / -0.0475771 | 0.989016 / -0.322607 | -1.11022e-16 / 0 | 0 / 0 | -0.027766 / 0.0151307 | 0.225025 / -0.104772 | 0.103929 / -0.0519978 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0309498 / 0.0169023 | 0 / 2.22045e-16 | -0.0386558 / 0.0212224 | 2.22045e-16 / 0 | 0.0809119 / -0.0410668 | -0.140881 / 0.083216 | 0 / 0 | 0.124506 / -0.0615104 | -0.143014 / 0.0846107 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.00247981 / -0.0395444 | 0 / 0 | -0.00171912 / -0.0274955 | -0.00962263 / -0.149229 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00464763 / 0.0762047 | 0 / 0 | 0.00195369 / 0.0316983 | 0 / 0 | 0.000874639 / 0.0141313 | 0.0168013 / 0.288895 | -0.00515951 / -0.0814205 | -0.00285693 / -0.0454912 | 0 / 0 | 0 / 0 | -0.00157832 / -0.0252575 | 0.00133222 / 0.0215627 | -0.00431323 / -0.0682908 | 4.44089e-16 / 4.44089e-16 | 0.00191868 / 0.0311261 | 0.00130188 / 0.0210692 | 0.000927031 / 0.0149808 | 0.00433409 / 0.0709768 | -0.00190929 / -0.0305145 | 0 / 0 | 0 / 0 |
