 |       | CR Mat. Conv. | CR Low m_{#gamma^{*}} | CR HF e | CR HF#mu | CR t#bar{t}W^{+} | CR t#bar{t}W^{-} | CR 1b(+) | CR 1b(-) | SR #geq 4b | SR 3b, #\geq 3l | SR 3b, 2l | SR 2b, #\geq 3l | SR 2b, 2l | 
 | t#bar{t}t#bar{t} | 0.140178 pm 0.0293915 | 0.00519597 pm 0.00138823 | 0.00307463 pm 0.00246707 | 0.00392528 pm 0.00252193 | 1.27629 pm 0.285709 | 1.26927 pm 0.287915 | 1.88104 pm 0.425166 | 1.81871 pm 0.398148 | 13.7856 pm 2.98621 | 3.91419 pm 0.815342 | 13.5593 pm 2.7857 | 2.20588 pm 0.473464 | 8.44201 pm 1.78114 | 
 | t#bar{t}t | 0.0367886 pm 0.0111548 | 0.00140669 pm 0.000428396 | 0.00209602 pm 0.000763166 | 0.00540817 pm 0.00178526 | 0.376447 pm 0.115994 | 0.321611 pm 0.0990792 | 0.299626 pm 0.0929551 | 0.273617 pm 0.0846487 | 0.686098 pm 0.235407 | 0.246289 pm 0.0753316 | 1.23121 pm 0.372868 | 0.183997 pm 0.0566213 | 0.982625 pm 0.299971 | 
 | t#bar{t}VV | 0.470295 pm 0.188469 | 0.0177676 pm 0.00686394 | 0.037921 pm 0.0178626 | 0.219337 pm 0.119429 | 3.41636 pm 1.32788 | 3.07048 pm 1.28441 | 7.13278 pm 3.0594 | 6.75703 pm 3.07391 | 0.932536 pm 0.389381 | 0.312355 pm 0.123429 | 2.86092 pm 1.13019 | 1.80434 pm 0.795267 | 10.26 pm 4.39281 | 
 | ttZ_high | 5.25381 pm 1.75701 | 0.294465 pm 0.23781 | 2.13661 pm 0.466634 | 4.46827 pm 1.39705 | 39.1168 pm 10.4643 | 37.6225 pm 9.08081 | 36.2663 pm 10.3616 | 35.3234 pm 9.52296 | 1.63901 pm 0.30105 | 2.64473 pm 0.398853 | 9.38245 pm 1.44464 | 13.0346 pm 2.5802 | 40.9313 pm 8.75698 | 
 | ttZ_low | 0.38815 pm 0.131185 | 0.0164664 pm 0.0132597 | 0.293633 pm 0.129044 | 0.235625 pm 0.0883688 | 2.5802 pm 0.692242 | 2.42559 pm 0.584405 | 1.64558 pm 0.481449 | 1.70184 pm 0.472244 | 0.0578153 pm 0.0185593 | 0.0667562 pm 0.0640622 | 0.504755 pm 0.0959076 | 0.0328928 pm 0.0141594 | 2.5316 pm 0.546123 | 
 | t#bar{t}H | 3.33962 pm 0.351729 | 0.231131 pm 0.0698715 | 1.59763 pm 0.212812 | 3.27624 pm 0.429356 | 39.2475 pm 4.06813 | 39.2293 pm 4.12925 | 34.1523 pm 3.88169 | 33.7412 pm 3.91155 | 2.29953 pm 0.399585 | 1.98124 pm 0.29395 | 13.2758 pm 1.69893 | 9.7091 pm 1.14808 | 56.4413 pm 6.3685 | 
 | QmisID | 113.728 pm 2.3312 | 1.57784 pm 0.0676337 | 2.00312e-06 pm 7.95812e-08 | 1.99122e-06 pm 5.61184e-08 | 18.4606 pm 0.220945 | 17.5008 pm 0.269455 | 33.9905 pm 0.37058 | 36.7139 pm 0.471751 | 1.32688 pm 0.0326017 | 2.00041e-06 pm 5.42301e-08 | 6.98218 pm 0.118107 | 0.00306427 pm 7.44886e-05 | 32.0226 pm 0.281314 | 
 | Mat.Conv. | 71.4256 pm 19.2818 | 3.61571 pm 1.03228 | 1.82948 pm 0.602599 | 1.0076 pm 0.41827 | 2.59137 pm 0.797262 | 2.90714 pm 0.935897 | 11.6272 pm 3.42772 | 8.78973 pm 2.63309 | 0.399407 pm 0.116219 | 0.736893 pm 0.597594 | 4.77822 pm 1.40187 | 1.09692 pm 0.377753 | 20.6432 pm 5.86195 | 
 | Low m_{#gamma^{*}} | 19.0147 pm 3.95433 | 44.7304 pm 8.77818 | 4.31268 pm 1.0755 | 1.05276 pm 0.31785 | 6.16129 pm 1.46676 | 5.73304 pm 1.3286 | 11.1884 pm 2.5435 | 8.06222 pm 1.93083 | 0.965145 pm 0.252249 | 0.235759 pm 0.0955264 | 3.52494 pm 0.914318 | 1.1801 pm 0.358012 | 18.6408 pm 3.93752 | 
 | HF e | 10.2763 pm 3.14805 | 3.9987 pm 1.23808 | 36.7263 pm 10.9717 | 10.949 pm 3.55773 | 16.7157 pm 5.18029 | 17.5086 pm 5.44243 | 50.1213 pm 14.8282 | 50.5516 pm 15.0107 | 19.1216 pm 11.9442 | 0.325755 pm 0.113248 | 2.86217 pm 0.910385 | 0.637611 pm 0.244096 | 13.0719 pm 3.87224 | 
 | HF#mu | 12.3999 pm 2.29249 | 1.88302 pm 0.335644 | 24.7757 pm 4.1741 | 104.55 pm 15.3076 | 61.3826 pm 9.72269 | 67.6049 pm 10.7972 | 92.2518 pm 16.7088 | 91.3279 pm 15.6849 | 0.461921 pm 0.191852 | 0.495179 pm 0.106699 | 5.48456 pm 0.980072 | 0.523665 pm 0.124267 | 25.0088 pm 5.12833 | 
 | light | 2.73687 pm 0.507715 | 1.39859 pm 0.140194 | 0.271201 pm 0.254314 | 0.950187 pm 0.842415 | 1.80215 pm 0.412024 | 1.05544 pm 0.168511 | 17.5688 pm 2.05898 | 9.45351 pm 0.544393 | 0.335924 pm 0.0276567 | 0.0361753 pm 0.00353062 | 2.03407 pm 0.112832 | 0.783356 pm 0.0266799 | 9.09735 pm 0.668939 | 
 | Other fake | 37.5942 pm 2.09523 | 11.2994 pm 0.843849 | 3.83384 pm 0.810682 | 8.01131 pm 2.26067 | 27.2221 pm 1.12897 | 25.1469 pm 1.60383 | 14.2792 pm 0.853067 | 12.7949 pm 1.19284 | 0.883947 pm 0.250698 | 0.408394 pm 0.0267072 | 3.18814 pm 0.552387 | 1.51351 pm 0.457365 | 20.5435 pm 1.625 | 
 | singleTop | 3.84684 pm 1.21655 | 0.11776 pm 0.0376017 | 4.84709 pm 1.53653 | 9.26757 pm 2.92214 | 18.5593 pm 5.81036 | 11.5468 pm 3.62998 | 18.2939 pm 5.75242 | 13.0825 pm 4.11689 | 0.41614 pm 0.163447 | 0.190935 pm 0.0798396 | 1.90199 pm 0.617653 | 1.51574 pm 0.477469 | 8.69984 pm 2.7554 | 
 | Diboson | 8.9035 pm 1.1106 | 0.132498 pm 0.0313374 | 12.8935 pm 1.59235 | 16.1076 pm 1.93794 | 11.4717 pm 2.00673 | 8.66506 pm 1.43945 | 85.5994 pm 9.84734 | 59.0511 pm 6.6787 | 0.148888 pm 0.0450426 | 0.138873 pm 0.0382591 | 0.867561 pm 0.215692 | 1.07609 pm 0.239356 | 6.56385 pm 1.02767 | 
 | triboson | 0.0677561 pm 0.00309292 | 0.00191515 pm 0.000538223 | 0.319563 pm 0.0203706 | 0.546762 pm 0.0570547 | 0.109611 pm 0.0152391 | 0.0677235 pm 0.0100624 | 1.34871 pm 0.0857765 | 1.03449 pm 0.0677914 | 0.000706676 pm 0.000148748 | 0.00515099 pm 0.00219605 | 0.00768277 pm 0.00187428 | 0.0450217 pm 0.00335492 | 0.0743952 pm 0.0071813 | 
 | vh | 9.4529e-07 pm 4.97468e-07 | 9.45314e-07 pm 4.98702e-07 | 0.317902 pm 0.186252 | 0.914734 pm 1.33531 | 2.83002e-06 pm 1.48886e-06 | 2.25486e-07 pm 5.18415e-06 | 0.340458 pm 0.252803 | 2.46851e-05 pm 0.000551329 | 1.88989e-06 pm 9.94285e-07 | 1.88991e-06 pm 9.94947e-07 | 3.77816e-06 pm 1.98703e-06 | 2.8327e-06 pm 1.49032e-06 | 3.78128e-06 pm 1.98848e-06 | 
