 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0406714 / 0.00093612 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0721877 / -0.00113723 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0222871 / 0.0199626 | 1.34088e-05 / -1.25067e-05 | 0 / 0 | 9.53762e-06 / -9.02221e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.10325e-06 / -3.92834e-06 | 0 / 0 | -0.00658456 / 0.0299344 | 0 / 0 | 0 / -1.11022e-16 | 2.48402e-05 / -2.41535e-05 | 0 / 0 | -0.0418188 / -0.00203009 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0296937 / 0.0315408 | -0.0987987 / 0.0319277 | 0 / 0 | 0 / 0 | -0.000424343 / 0.0230771 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0183395 / 0.0225934 | 1.98228e-05 / -1.81651e-05 | 0 / 0 | 1.13277e-05 / -1.05609e-05 | 1.20033e-05 / -1.13825e-05 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.000698317 / 0.0306429 | 0 / 0 | 0 / 0 | 1.26506e-05 / -1.20343e-05 | 0 / 0 | -0.00664278 / 0.0243409 | 1.75121e-05 / -1.66323e-05 | -1.11022e-16 / 0 | 0.00233028 / -0.0284112 | 0.0145999 / -0.0409789 | -0.0438904 / -0.000986214 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0440473 / 0.0311518 | -0.148222 / 0.0594052 | -0.168496 / 0.398432 | 0 / 0 | -2.22045e-16 / 0 |
 | JET_Flavor_Response | 0.0198342 / -0.0205676 | -1.587e-05 / 1.83751e-05 | 0 / 0 | -1.18097e-05 / 1.35135e-05 | -1.15423e-05 / 1.30684e-05 | -2.22045e-16 / -2.22045e-16 | -1.21319e-05 / 1.38359e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.31583e-05 / 1.47348e-05 | 0 / 0 | 0.0236739 / -0.00790932 | -3.28561e-06 / 3.70366e-06 | -2.22045e-16 / 0 | -0.0254661 / 0.00204361 | -0.040084 / 0.0093945 | -0.00283627 / -0.0411569 | 0 / 0 | 0 / 0 | 0.0309719 / -0.0278168 | 0.0571685 / -0.0438596 | 0.0257674 / -0.131893 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0368817 / 0.066226 | -0.022788 / 0.0320207 | 0.0211068 / -0.0105147 | 2.69227e-05 / -3.9459e-05 | 2.064e-05 / -3.0925e-05 | 0 / -2.22045e-16 | 2.15203e-05 / -3.19441e-05 | 0 / 0 | 0.0483269 / -0.00370215 | 0 / 0 | 0 / -2.22045e-16 | -0.00358866 / -0.0181664 | 0 / 0 | -0.015456 / 0.0383334 | 2.05757e-05 / -3.09607e-05 | -1.11022e-16 / 0 | 0.00885096 / -0.0665916 | 0.0326903 / -0.111359 | -0.0425174 / 0.0268852 | 0 / 0 | 0 / 0 | -0.0461796 / 0.0559077 | -0.0453245 / 0.104365 | -0.13596 / 0.20257 | -0.246452 / 0.605955 | 0 / 0 | -0.0123041 / 0.0328767 |
 | JET_JESUnc_Noise_PreRec | -0.0202009 / 0.0228191 | 1.55393e-05 / -1.44104e-05 | 0 / 0 | 1.00739e-05 / -9.47665e-06 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.79804e-06 / -9.30828e-06 | 0 / 0 | -0.00649073 / 0.0255115 | 0 / 0 | 0 / -1.11022e-16 | 2.35238e-05 / -2.2759e-05 | 0 / 0 | -0.0423043 / -0.00184871 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312463 / 0.0253585 | -0.0494152 / 0.0348946 | 0 / 0 | 0 / 0 | -0.00386956 / 0.0208453 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0458741 / 0.0957024 | -0.0306793 / 0.0544038 | 0.0179505 / 0.0355908 | 2.76707e-05 / -4.16598e-05 | 2.11624e-05 / -3.29033e-05 | -2.22045e-16 / 0 | 2.48103e-05 / -3.7919e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.23849e-05 / -3.48003e-05 | 0 / 0 | -0.0155134 / 0.0404806 | 1.7425e-05 / -2.7303e-05 | 0 / 0 | -0.00537964 / -0.0411478 | 0.017525 / -0.0539495 | -0.042049 / 0.00691467 | 0 / 0 | 0 / 0 | -0.0486924 / 0.0909102 | -0.0589604 / 0.0676584 | -0.246706 / 0.25401 | -0.170883 / 0.624216 | 0 / 0 | -0.0163279 / 0.0708444 |
 | JET_Pileup_OffsetNPV | -0.0155761 / 0.0245791 | 1.39254e-05 / -1.32245e-05 | 4.44089e-16 / 0 | 9.82556e-06 / -9.44257e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.08813e-05 / 0.0306441 | 0.000685028 / -0.029188 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.00526921 / -0.0422931 | 0.0307812 / -0.0467669 | -0.0479548 / -0.00176883 | 0 / 0 | 0 / 0 | -0.0203739 / 0.0168623 | -0.0415085 / 0.050946 | -0.0458344 / 0.0196933 | 0.000314321 / -0.0204897 | 0 / 0 | 0 / 2.22045e-16 |
 | JET_Pileup_RhoTopology | -0.0321753 / 0.0545124 | -0.0194954 / 0.0279096 | 0.0209685 / -0.00990158 | 2.13441e-05 / -3.20184e-05 | 1.7748e-05 / -2.70775e-05 | 0 / -2.22045e-16 | 1.68459e-05 / -2.55051e-05 | 0 / 0 | -8.13185e-05 / 0.0236296 | 0 / 0 | 0 / 0 | -0.00141681 / -0.0174881 | 0 / 0 | -0.0106582 / 0.0336439 | 1.47518e-05 / -2.25614e-05 | 0 / 0 | 0.00982354 / -0.0587548 | 0.0269017 / -0.105112 | -0.0416131 / 0.0301053 | 0 / 0 | 0 / 0 | -0.0312811 / 0.0399332 | -0.0419813 / 0.0917776 | -0.121952 / 0.155673 | -0.245107 / 0.621557 | 0 / 0 | -0.00898565 / 0.0267853 |
 | MUON_EFF_ISO_SYS | 0.022635 / -0.0231891 | 0.0222854 / -0.0228329 | 0.0240972 / -0.024674 | 0.0226511 / -0.0232099 | 0.0219557 / -0.0225066 | 0.0261724 / -0.0268061 | 0.022856 / -0.0234255 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0257203 / -0.0263427 | 0.0336679 / -0.0344384 | 0 / 0 | 0.0301405 / -0.03081 | 0.0215522 / -0.0221017 | 0.0205278 / -0.0210526 | 0.0237508 / -0.0243066 | 0.0237993 / -0.0243525 | 0.0359337 / -0.037165 | 0.022022 / -0.0225669 | 0.0224228 / -0.022969 | 0.0206647 / -0.0211875 | 0.0234602 / -0.0240268 | 0.0236044 / -0.0240817 | 0.0263123 / -0.0269041 | 0 / 0 | 0.0237795 / -0.0243399 |
 | FT_EFF_Eigen_B_2__1 | -0.0389617 / 0.0419124 | -0.0285546 / 0.0305023 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | -0.0315806 / 0.0331144 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252598 / 0.0266565 | 0 / 0 | 0 / 0 | -0.0258942 / 0.0274022 |
 | FT_EFF_Eigen_B_3__1 | 0.0313312 / -0.0305111 | 0.0247444 / -0.0243001 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0232114 / -0.0226857 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0302116 / -0.0302093 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200884 / -0.0198999 | 0.0362382 / -0.0356062 | 0 / 0 | 0 / 0 | 0.0244725 / -0.0241168 |
 | FT_EFF_Eigen_B_7__1 | 0.0212977 / -0.0209486 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0246047 / -0.0242859 | 0 / 0 | 0 / 0 | 0.0209986 / -0.0209739 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.033019 / -0.033017 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0366282 / -0.0358424 | 0.0200635 / -0.0200379 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 1.88452e-05 / -1.8845e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 1.2808e-05 / -1.251e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.6234e-06 / -3.62927e-06 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0291231 / 0.0154979 | -0.0267368 / 0.0745323 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 |
 | JET_JERUnc_Noise_PreRec | 2.63305e-06 / -2.9259e-06 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0296446 / -0.00187007 | -0.0153706 / -0.000964389 | -0.0232223 / -0.00221931 | -0.123491 / -0.00492809 | 0.0183742 / 0.00568227 | -0.0199343 / -0.00221887 | -2.22045e-16 / 0 | -0.054359 / -0.00334733 | -0.0454729 / -0.00284276 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0190835 / -0.000873313 | 0.0376754 / 0.0149736 | 0.305149 / 0.0176982 | 0 / 0 | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.300458 / -0.300205 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
