 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0482061 / 0.00110718 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0283363 / 0.000433174 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0.0258093 / -0.026246 | 0.0262466 / -0.0266886 | 0.0276299 / -0.0280713 | 0.0280588 / -0.0284594 | 0.02963 / -0.0299532 | -5.32957e-05 / 5.56732e-05 | 0.0270366 / -0.0274679 | 0 / 0 | 0 / 0 | 0.0218321 / -0.0222669 | 0.0273162 / -0.0280242 | 0.0388962 / -0.0394983 | 0 / 0 | 0 / 0 | 0.0345024 / -0.034739 | 0.0327892 / -0.032994 | 0.0350716 / -0.0353048 | 0.0278122 / -0.0282576 | 0 / 0 | 0.0266772 / -0.0271516 | 0.0261945 / -0.0266176 | 0.0290846 / -0.0295758 | 0.0411017 / -0.0413725 | 0.0424477 / -0.0413781 | 0.0266451 / -0.0270641 | 0.0309553 / -0.0314519 | 0.0219162 / -0.0224131 | 0.0197219 / -0.0202346 | 0.0286864 / -0.0291768 | 0.0275918 / -0.0280203 |
 | FT_EFF_Eigen_B_0__1 | 0.0227215 / -0.0224282 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0263631 / -0.0262219 | 0.0412778 / -0.0398269 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.18945 / -0.185141 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0396668 / -0.0389227 |
 | FT_EFF_Eigen_B_2__1 | -0.0588468 / 0.0648377 | -0.0488955 / 0.0527089 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.125479 / 0.14622 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0195749 / 0.0205921 | -0.028066 / 0.0295189 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.443774 / 0.526525 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | -0.0499214 / 0.0540728 |
 | FT_EFF_Eigen_B_3__1 | 0.0358787 / -0.0348907 | 0.0297661 / -0.0291218 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0290683 / -0.0287454 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.071615 / -0.064177 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.291312 / -0.279174 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0343814 / -0.0336234 |
 | FT_EFF_Eigen_B_8__1 | 0.0232976 / -0.0232227 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0213609 / -0.0214239 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 3.55117e-05 / -3.55114e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -1.59254e-05 / 2.33508e-05 | 0 / 0 | 0.0223658 / -0.0359421 | -2.62078e-05 / 3.92181e-05 | 0.0100854 / -0.0270411 | -0.0329526 / -0.0469151 | 0.0118002 / -0.0244667 | 0 / 0 | -0.103482 / 0.0678734 | -0.00578203 / -0.116194 | 0 / 0 | -0.00761212 / -0.218443 | -1.11022e-16 / 0 | 0.0904233 / -0.132873 | -0.0202864 / -0.0152932 | 0.00887156 / -0.0455841 | 0.0101047 / -0.062226 | 0.0322739 / -0.0188721 | 0 / 0 | 0 / -1.11022e-16 | 0.0107132 / -0.0309595 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | -0.131531 / -0.0666832 | 0.0169625 / -0.0282299 | 0 / 0 | 0 / 2.22045e-16 | 0 / -2.22045e-16 | -0.000593551 / -0.0224979 | -1.67434e-05 / 2.4363e-05 |
