 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JERUnc_Noise_PreRec | 0.153275 / 0.00919228 | 0.0414193 / 0.0327118 | -0.114563 / -0.0073313 | 0 / -1.11022e-16 | -3.53624e-06 / 4.00107e-06 | 0.10002 / 0.000217015 | 0 / 0 | 0 / 0 | 0.0382879 / 0.0023587 | -0.0314163 / -0.00196854 | 2.22045e-16 / 0 | 0 / 0 | 0.0393137 / 0.0024213 | 0.0244422 / 0.00151077 | 0 / 0 | -0.0830846 / -0.0193404 | 0.0192765 / 0.000813436 | -0.0298561 / 0.0031158 | 0 / 0 | -1.08806e-05 / 1.19496e-05 | 0.323928 / 0.0187125 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.484965 / 0.0264681 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.206909 / 0.214857 | -2.22045e-16 / 0 | -0.103927 / 0.096923 | -0.0229444 / 0.0198152 | 0 / 0 | 0.159384 / -0.118054 | 0 / 0 | 0 / 0 | -0.0668348 / 0.0601291 | -0.0344315 / 0.0300506 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.119498 / 0.113186 | -0.0556647 / 0.049553 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0265786 / -0.0219621 | 0 / 0 | 0.303316 / -0.202045 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210519 / -0.0174744 | -0.0979414 / 0.0908042 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.00294971 / -0.247205 | 0.000611741 / 0.0562966 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00126806 / 0.118725 | 0 / 0 | 0 / 0 | -0.00080968 / -0.0717819 | 0.000210303 / 0.0191506 | 0 / 0 | 0 / 0 | -0.00127227 / -0.111431 | 0.000342597 / 0.031306 | -6.35349e-06 / 6.32811e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00243977 / -0.207229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00150337 / -0.130874 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_2 | -0.0419424 / 0.0230789 | 0.0166439 / -0.0282244 | -0.103882 / 0.0597154 | 0 / 0 | 0 / 0 | 0.238308 / -0.0718651 | 0 / 0 | 0 / 0 | -0.124287 / 0.0725167 | -0.0344712 / 0.0188708 | 0 / 2.22045e-16 | 0 / 0 | -0.298676 / 0.0461696 | -0.0544649 / 0.0302302 | 0 / 0 | 0.0206576 / -0.0088556 | 0.0357528 / -0.0220746 | 0 / 0 | 0.0264784 / -0.0139162 | 0 / 0 | 0.429189 / -0.179096 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0240686 / -0.00963206 | -0.0954191 / 0.0545169 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_2 | -0.00610322 / -0.0959589 | -4.44089e-16 / 0 | -0.00704422 / -0.110348 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 2.36579e-05 / 0.0953976 | 0 / 0 | 0 / 0 | 0.00131819 / 0.0213346 | -0.00208604 / -0.0333162 | 2.22045e-16 / 0 | 0 / 0 | -0.121559 / 0.0206577 | -2.22045e-16 / 2.22045e-16 | -6.8033e-06 / 6.13358e-06 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00463328 / -0.0732667 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 6.56614e-06 / -5.83558e-06 | -0.00613273 / -0.0964119 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_3 | -0.116516 / 0.170098 | 0 / 0 | 0.263333 / -0.260162 | 2.22045e-16 / 2.22045e-16 | 1.32211e-05 / -8.38863e-06 | -0.144895 / 0.219262 | 0 / 0 | 0 / 0 | 0.0564732 / -0.0677773 | 0.0275536 / -0.0340869 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | -0.0206412 / 0.0269131 | 0.0210506 / -0.0262232 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -0.235473 / 0.403176 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.5069e-05 / -1.57304e-05 | 0.0829442 / -0.0968947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_3 | -0.138294 / -0.00157658 | 0.0672016 / 0.000720371 | 0 / 0 | 0.0394426 / 0.000426154 | 0 / 0 | 0.120498 / 0.00127269 | 0 / 0 | 0 / 0 | -0.0308502 / -0.000340236 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.143418 / -0.00163769 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.132722 / -0.00151038 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_4 | -0.127832 / 0.150888 | 0.0610485 / -0.0522577 | 0.165693 / -0.147202 | 0 / 0 | 0 / 0 | -0.209161 / 0.272485 | 0 / 0 | 0 / 0 | 0.0760889 / -0.082636 | -0.0397385 / 0.0427818 | 0 / 0 | 0 / 0 | 0.0981325 / -0.0924392 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / -2.22045e-16 | -0.0425446 / 0.043083 | 0 / 0 | 0 / 0 | 0 / 0 | -0.286659 / 0.411773 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0989973 / -0.0931819 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_4 | -0.103752 / -0.115572 | 0.0231216 / 0.0206484 | -0.121211 / -0.00643768 | 0.0236874 / -0.0146742 | 0 / 0 | 0.0330605 / 0.00420407 | 0 / 0 | 0 / 0 | -0.0249954 / -0.00129475 | 0.0370512 / 0.00188974 | 0 / 0 | 0 / 0 | -0.0898193 / -0.004731 | -0.0266475 / 0.00236909 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0250333 / 0.00128058 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.103975 / -0.00549704 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_5 | -0.00463872 / -0.212022 | 0.0102267 / 0.0298565 | -0.165403 / 0.00502268 | -0.0211887 / 0.0205268 | 2.65234e-06 / -2.60235e-06 | 0.0958735 / 0.0115313 | 0 / 0 | 0 / 0 | -0.0438215 / -0.0385578 | 0 / 0 | 0 / 0 | 0.00066069 / -0.0203764 | 0.0342874 / -0.134913 | -0.0372273 / -0.0121005 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.000554051 / 0.0272727 | 0 / 0 | 0.200034 / -0.000808952 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.101747 / 0.108623 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_5 | -0.262867 / 0.0048384 | 0.0161776 / 0.0403235 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0838055 / 0.0394939 | 0 / 0 | 0 / 0 | -0.0451091 / 0.00176776 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00179895 / -0.114381 | 0.00285414 / -0.0373502 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0222889 / -0.0546608 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.105992 / -0.238465 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_6 | 0.162869 / -0.219709 | 0.0362752 / -0.00760716 | 0 / 0 | -0.021434 / 0.00911449 | 0 / 0 | 0.0514591 / 0.0986721 | 0 / 0 | 0 / 0 | 6.25692e-05 / -0.0695061 | 0.000791886 / 0.0375065 | 0 / 2.22045e-16 | 0 / 0 | 0.167604 / -0.271034 | -0.0274735 / -0.0231032 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000126324 / 0.0282974 | 0 / 0 | 0.154339 / 0.124359 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.104379 / -0.23968 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
