 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | ttZp1000 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.112498 / -0.112498 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | singleTop Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | VV #leq5-jets Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.6 / -0.6 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | VV/VVV/VH + #geq 2 true b-jets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.213038 / -0.213038 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.102328 / -0.102328 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}W^{-} + 1 true b-jets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_NNJvtEfficiency | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | gamma_stat_SR3b2l_HT_all_bin_0 | 0.00864598 / -0.00864598 | 0.0111627 / -0.0111627 | 0.010383 / -0.010383 | 0.0129843 / -0.0129843 | 0.016378 / -0.016378 | 0.00940549 / -0.00940549 | 0.0153929 / -0.0153929 | 0.0127084 / -0.0127084 | 0.0127953 / -0.0127953 | 0.0170772 / -0.0170772 | 0.0177363 / -0.0177363 | 0.0216101 / -0.0216101 | 0.0153838 / -0.0153838 | 0.0101198 / -0.0101198 | 0.0112241 / -0.0112241 | 0.00911408 / -0.00911408 | 0.0117411 / -0.0117411 | 0.0103633 / -0.0103633 | 0.00811825 / -0.00811825 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.00322161 / -0.00322161 |
 | gamma_stat_SR3b2l_HT_all_bin_1 | 0.00724627 / -0.00724627 | 0.00723106 / -0.00723106 | 0.00696009 / -0.00696009 | 0.00693924 / -0.00693924 | 0.00610893 / -0.00610893 | 0.00488713 / -0.00488713 | 0.00651836 / -0.00651836 | 0.0060895 / -0.0060895 | 0.00563778 / -0.00563778 | 0.00479875 / -0.00479875 | 0.00604157 / -0.00604157 | 0.00331144 / -0.00331144 | 0.00364321 / -0.00364321 | 0.00398478 / -0.00398478 | 0.0092276 / -0.0092276 | 0.00670623 / -0.00670623 | 0.00490896 / -0.00490896 | 0.00350964 / -0.00350964 | 0.00610764 / -0.00610764 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.00482478 / -0.00482478 |
 | gamma_stat_SR3b2l_HT_all_bin_2 | 0.00493697 / -0.00493697 | 0.00428394 / -0.00428394 | 0.00371801 / -0.00371801 | 0.00368022 / -0.00368022 | 0.00305533 / -0.00305533 | 0.00433879 / -0.00433879 | 0.00314734 / -0.00314734 | 0.0038308 / -0.0038308 | 0.00359393 / -0.00359393 | 0.00328246 / -0.00328246 | 0.00316097 / -0.00316097 | 0.00253673 / -0.00253673 | 0.00387347 / -0.00387347 | 0.00753711 / -0.00753711 | 0.00186031 / -0.00186031 | 0.00369322 / -0.00369322 | 0.00496501 / -0.00496501 | 0.00197186 / -0.00197186 | 0.0046203 / -0.0046203 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.00588735 / -0.00588735 |
 | gamma_stat_SR3b2l_HT_all_bin_3 | 0.00274625 / -0.00274625 | 0.00207513 / -0.00207513 | 0.00313682 / -0.00313682 | 0.00188963 / -0.00188963 | 0.00129664 / -0.00129664 | 0.00445117 / -0.00445117 | 0.00143552 / -0.00143552 | 0.00245712 / -0.00245712 | 0.0029196 / -0.0029196 | 0.00161661 / -0.00161661 | 0.00057314 / -0.00057314 | 0.000996965 / -0.000996965 | 0.00270644 / -0.00270644 | 0.00189693 / -0.00189693 | 0.00284286 / -0.00284286 | 0.00395759 / -0.00395759 | 0.00272751 / -0.00272751 | 0.00695437 / -0.00695437 | 0.00403844 / -0.00403844 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.00621503 / -0.00621503 |
