 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.142308 pm 0.0286111 | 0.00484007 pm 0.00154271 | 0.00249735 pm 0.00288914 | 0.00616714 pm 0.00513348 | 1.37845 pm 0.276706 | 1.36302 pm 0.273857 | 1.87935 pm 0.379396 | 1.88016 pm 0.378036 | 13.5838 pm 3.62049 | 4.00127 pm 0.804566 | 13.8479 pm 2.77509 | 2.26994 pm 0.455515 | 8.64256 pm 1.73 | 
 | ttt | 0.0370609 pm 0.0111443 | 0.00141031 pm 0.000427397 | 0.00259953 pm 0.000888641 | 0.00684428 pm 0.00206018 | 0.388681 pm 0.116736 | 0.335761 pm 0.100883 | 0.30362 pm 0.09121 | 0.278698 pm 0.0837139 | 0.660834 pm 0.285647 | 0.248611 pm 0.0747865 | 1.24023 pm 0.372481 | 0.186819 pm 0.0561399 | 0.992996 pm 0.298027 | 
 | ttWW | 0.354284 pm 0.177291 | 0.0107202 pm 0.00537976 | 0.0685003 pm 0.0368463 | 0.130507 pm 0.0653342 | 2.57564 pm 1.28824 | 2.4302 pm 1.21557 | 6.05183 pm 3.02716 | 6.24155 pm 3.12205 | 0.302569 pm 0.164706 | 0.239775 pm 0.124336 | 1.92707 pm 0.963881 | 1.6275 pm 0.814168 | 8.63232 pm 4.31671 | 
 | rarettVV | 0.146053 pm 0.073088 | 0.00792939 pm 0.00397926 | 0.0137902 pm 0.00691078 | 0.0330757 pm 0.0165602 | 1.25646 pm 0.628418 | 0.780139 pm 0.390238 | 1.59147 pm 0.795998 | 1.02948 pm 0.514924 | 0.595889 pm 0.37283 | 0.133028 pm 0.0749392 | 1.02684 pm 0.586471 | 0.344314 pm 0.172259 | 2.24246 pm 1.1214 | 
 | ttll_MG_high_mll | 6.60292 pm 2.84949 | 0.429959 pm 0.339076 | 2.54786 pm 0.693854 | 6.00039 pm 2.38476 | 46.7711 pm 16.7034 | 44.0639 pm 14.3134 | 44.234 pm 16.8564 | 42.4327 pm 15.2979 | 1.8368 pm 0.427966 | 2.67877 pm 0.447961 | 9.92075 pm 1.2035 | 14.5282 pm 3.89691 | 45.5548 pm 13.1577 | 
 | ttll_MG_low_mll | 0.449483 pm 0.193974 | 0.0365432 pm 0.0288189 | 0.119721 pm 0.0533199 | 0.25895 pm 0.102071 | 3.08834 pm 1.10575 | 2.84004 pm 0.920715 | 2.20395 pm 0.85217 | 2.28848 pm 0.835156 | 0.110429 pm 0.0308458 | 0.0234872 pm 0.0270346 | 0.426297 pm 0.0669943 | 0.0670957 pm 0.0290005 | 2.87049 pm 0.832351 | 
 | ttH | 3.33248 pm 0.340194 | 0.236089 pm 0.118939 | 1.71497 pm 0.179993 | 3.51739 pm 0.0847582 | 39.2441 pm 3.95568 | 39.1838 pm 3.96119 | 34.0264 pm 3.4336 | 33.7262 pm 0.456919 | 2.21535 pm 0.490313 | 2.05029 pm 0.349746 | 12.6979 pm 1.28816 | 9.59909 pm 0.976931 | 54.4362 pm 5.47021 | 
 | QmisID | 113.665 pm 2.33281 | 1.57692 pm 0.0676394 | 2e-06 pm 8.20104e-08 | 2e-06 pm 5.74964e-08 | 18.4535 pm 0.221251 | 17.4684 pm 0.270054 | 34.0088 pm 0.374316 | 36.7599 pm 0.47755 | 1.32667 pm 0.0224273 | 2e-06 pm 3.98434e-08 | 6.97753 pm 0.103328 | 0.00306865 pm 6.52234e-05 | 31.9981 pm 0.272581 | 
 | CO | 70.4896 pm 7.73073 | 3.56322 pm 0.413189 | 3.29041 pm 0.103982 | 1.66166 pm 0.358206 | 2.83894 pm 0.501739 | 2.30817 pm 0.431649 | 11.5526 pm 1.5959 | 8.5365 pm 1.28417 | 0.397884 pm 0.00635738 | 0.441553 pm 0.364026 | 4.2683 pm 0.0628681 | 1.31145 pm 0.0265092 | 19.7766 pm 0.191125 | 
 | gstr | 19.9962 pm 0.410395 | 47.0383 pm 2.01763 | 4.41992 pm 0.139347 | 1.52651 pm 0.160123 | 6.15638 pm 0.632901 | 6.00143 pm 0.617831 | 12.5869 pm 0.136706 | 9.9881 pm 0.135669 | 0.832051 pm 0.0137571 | 0.403058 pm 0.136876 | 4.30247 pm 0.0779265 | 1.52911 pm 0.0269635 | 19.0697 pm 0.18474 | 
 | HFe | 15.2903 pm 0.313813 | 5.83001 pm 0.250069 | 53.4525 pm 1.74082 | 17.841 pm 0.457536 | 24.5277 pm 0.281309 | 25.4639 pm 0.373666 | 71.1433 pm 0.777372 | 72.0073 pm 0.877872 | 0.128058 pm 0.219195 | 0.564631 pm 0.0131616 | 4.68507 pm 0.0890653 | 0.620585 pm 0.11196 | 15.9913 pm 0.171113 | 
 | HFm | 14.5506 pm 0.298631 | 1.93166 pm 0.0828553 | 26.3628 pm 0.840491 | 110.932 pm 2.77432 | 63.1919 pm 0.733879 | 69.4019 pm 0.996801 | 93.102 pm 1.01666 | 95.9389 pm 1.1743 | 0.358485 pm 0.14915 | 0.497644 pm 0.0611741 | 6.21859 pm 0.137005 | 0.559298 pm 0.126177 | 23.6985 pm 0.260651 | 
 | light | 3.50756 pm 0.0719878 | 1.48524 pm 0.063707 | 0.989332 pm 0.621472 | 0.404496 pm 0.290379 | 2.72136 pm 0.0323675 | 0.947577 pm 0.0160674 | 15.1276 pm 0.167499 | 9.55671 pm 0.120202 | 0.31874 pm 0.00428599 | 0.0295356 pm 0.000608729 | 1.96573 pm 0.0324354 | 0.797274 pm 0.0138817 | 10.3614 pm 0.0902343 | 
 | otherfake | 37.1668 pm 0.762796 | 10.3591 pm 0.444337 | 4.36094 pm 0.756116 | 6.13169 pm 0.147787 | 27.2931 pm 0.314489 | 24.0332 pm 0.342059 | 14.1685 pm 0.167956 | 12.0525 pm 0.148978 | 0.873936 pm 0.0100499 | 0.411539 pm 0.0109706 | 2.31651 pm 0.262436 | 1.42332 pm 0.147019 | 19.8774 pm 0.203326 | 
