 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | ttZp1500 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.216547 / -0.00678582 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00366794 / -0.217595 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.218469 / -0.0109215 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.11275 / 0.0255897 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00517714 / -0.208151 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.214079 / -0.0110641 | 0 / 0 | 0 / 0 | 0.433788 / 0.00111251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.109819 / -0.132421 | 0 / 0 | 9.10766e-05 / -0.213866 | 0 / 0 | 0 / 0 | 0 / 0 | -0.111636 / -0.00040337 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00167449 / -0.211859 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0103805 / 0.214079 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.210686 / -0.00419166 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.20409 / 0.103053 | 0 / 0 | 0 / 0 | 0.358851 / -0.182201 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0.0940803 / -0.23735 | 0 / 0 | 0.0133966 / -0.271232 | 0 / 0 | 0 / 0 | 0 / 0 | -0.103852 / 0.0730615 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00422564 / -0.181831 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.323351 / 0.537412 | 0 / 0 | 0 / 0 | 0 / 0 | 0.209209 / -0.192874 | 0.183154 / -0.172517 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0.144804 / -0.142131 | 0 / 0 | 0 / 0 | 0.253362 / -0.22518 | 0 / 0 | 0 / 0 | 0.133311 / -0.131048 | 0 / 0 | -0.111798 / 0.141364 | 0 / 0 | 0.0919658 / -0.0941963 | 0.139121 / -0.158684 | -0.113786 / 0.143725 | 0.19594 / -0.182675 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.920594 / 0.0288603 | 0 / 0 | 0 / 0 | 0.390196 / 0.0149067 | -0.20641 / -0.0083738 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.223047 / 0.0281586 | 0 / 0 | 0 / 0 | -0.279753 / -0.0116239 | 0 / 0 | 0 / 2.22045e-16 | -0.098958 / -0.0194492 | 0 / 0 | 0.202787 / 0.00738269 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | -0.182341 / -0.00735414 | 0 / 0 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.279547 / -0.00429104 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.198374 / 0.00354735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.213945 / 0.0038482 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.419911 / -0.206802 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.161969 / 0.119784 | 0 / 0 | 0 / 0 | -0.219942 / 0.171423 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105721 / -0.0634114 | 0 / 0 | -0.199757 / 0.152819 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00544236 / 0.819652 | 0 / 0 | 0 / 0 | -0.00314858 / 0.433439 | 0.00201589 / -0.227131 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.000999354 / -0.117113 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0.00178131 / -0.20253 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0168726 / 0.627697 | 0 / 0 | 0 / 0 | 0.00973372 / 0.340542 | -0.00667029 / -0.202779 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.00325587 / 0.107756 | 2.22045e-16 / 0 | 0 / 0 | -0.0118059 / -0.343427 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | -0.00610387 / -0.186462 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.103778 / -0.140262 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.258288 / -0.30362 | 0 / 2.22045e-16 | 0 / 0 | 0.153313 / -0.197081 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0640731 / 0.104945 | 0 / 0 | 0.140063 / -0.191484 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.571032 / -0.010182 | 0 / 0 | 0 / 0 | 0.437843 / -0.00661416 | -0.22432 / 0.00509143 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | -0.190261 / 0.00425377 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -0.209033 / 0.00470647 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.106804 / 0.13386 | 0 / 0 | 0 / 0 | 0 / 0 | 0.211715 / -0.197045 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.30175 / -0.259588 | 0 / 0 | 0 / 0 | 0.198477 / -0.186823 | 0 / 0 | 0 / 0 | 0.0874704 / -0.0908245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.200253 / -0.188152 | 0 / 0 | 0.186514 / -0.181241 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.450582 / 0.0105793 | 0 / 0 | 0 / 0 | 0.352489 / 0.0100655 | -0.207575 / -0.00821089 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | -0.084759 / -0.0223582 | -0.160528 / -0.00417355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | -0.175842 / -0.00484379 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00138604 / 0.207066 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0126213 / -0.179904 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.130088 / -0.00491505 | 0 / 0 | -0.208104 / -0.00589549 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.198993 / -0.00202595 | 0 / 0 | 0 / 0 | 0.42761 / 0.002365 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00301781 / -0.207798 | 0 / 0 | 0 / 0 |
