 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | t#bar{t}t#bar{t} modelling (shower) | -0.989992 / -0.0381303 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | t#bar{t}t#bar{t} generator choice | -0.0612086 / -0.000944419 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_BJES_Response | -0.00442447 / -0.033949 | -0.0372623 / 0.0226713 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0819079 / -0.0394569 | 0 / 0 | 0 / 0 | -0.0882054 / -0.0170978 | 0.0524718 / 0.000101698 | 0 / 4.44089e-16 | 0 / 0 | -0.000374359 / 0.170359 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0136984 / 0.0210513 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EffectiveNP_Modelling1 | -0.0717265 / 0.00811743 | -0.0502369 / 0.032733 | -0.16269 / -0.00714979 | 0 / 0 | 0 / 0 | 0.123426 / 0.0548938 | -0.0209274 / 0.0170758 | 0 / 0 | -0.0411104 / -0.00199691 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0126254 / 0.189838 | -0.0262052 / 0.00143584 | 0 / 0 | -0.0201406 / 0.0245536 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.11565 / 0.287422 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0171299 / -0.221756 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EtaIntercalibration_Modelling | 0.00103421 / -0.115232 | -0.0535495 / 0.0418 | -0.160477 / -0.000392965 | 0 / 0 | 0 / 0 | 0.120879 / -0.00424528 | 0 / 0 | 0 / 0 | -0.0404807 / -0.000506812 | 0 / 0 | 4.44089e-16 / 0 | 0 / 0 | -0.00144262 / 0.175858 | -0.0354642 / -0.0262319 | 0 / 0 | -0.0189665 / 0.0229068 | 0.0271273 / 0.00052292 | 0 / 0 | 0 / 0 | 0 / 0 | -0.171694 / 0.0735133 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0109663 / 0.02037 | 0.00189603 / -0.208348 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0959831 / 0.0141134 | -0.074326 / 0.0515204 | -0.17029 / -0.0029607 | 0 / 0 | -0.028768 / 0.0260285 | 0.0876351 / -0.00616366 | -0.0267795 / 0.0221781 | 0 / 0 | -0.0431693 / -0.00279178 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | -0.00429105 / 0.183572 | -0.0660095 / -0.0289623 | 0 / 0 | -0.0153219 / 0.0335644 | 0.0364654 / -0.00953006 | 0 / 0 | 0 / 0 | -0.0253547 / 0.00489788 | -0.26296 / 0.187587 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0071162 / 0.030869 | -0.361603 / -0.187472 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_Flavor_Response | 0.0176992 / 0.0882391 | 0.00735504 / -0.0285258 | -0.011429 / -0.160141 | 0 / 0 | 6.15697e-06 / -7.13891e-06 | -0.00539721 / 0.0826275 | 0.0143006 / -0.0218854 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | 0.180589 / -0.158251 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00368892 / 0.0297608 | 0 / 0 | 0 / 0 | 0 / 0 | 0.196523 / -0.0708903 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.223336 / 0.0352831 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_InSitu_NonClosure_PreRec | -0.0888992 / 0.305354 | -0.135703 / 0.162179 | -0.165813 / 0.116942 | -0.0366501 / 0.0404808 | -0.0375016 / 0.0739697 | 0.160975 / -0.106073 | -0.0532898 / 0.0760257 | 0 / 0 | -0.122951 / 0.0754979 | 0.051785 / -0.0291711 | 0 / 0 | -0.0235156 / 0.0232143 | -0.134683 / 0.322515 | -0.028728 / -0.00559932 | 0 / 0 | -2.22045e-16 / 0 | 0.0558379 / -0.0646677 | 0.0266791 / -0.0448598 | 0 / 0 | -0.0313301 / 0.0367555 | -0.267964 / 0.570891 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0217369 / 0.0471619 | -0.352735 / 0.657238 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JERUnc_Noise_PreRec | -0.15799 / 0.187216 | -0.0091544 / 0.0115002 | 0.0996724 / -0.0910403 | -0.0363097 / 0.039598 | 0 / 0 | -0.201087 / 0.256311 | 0 / 0 | 0 / 0 | 0.157873 / -0.137114 | 0 / 0 | 0 / 4.44089e-16 | 0.0212138 / -0.0206947 | 1.28706 / -0.57316 | -0.011237 / 0.0048529 | 0 / 0 | -0.0316843 / 0.0321937 | -0.0366402 / 0.0378202 | 0 / 0 | -0.0245523 / 0.0252093 | 9.11277e-06 / -8.18358e-06 | -0.336059 / 0.501668 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0200763 / 0.0201486 | 0.251783 / -0.202621 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JERUnc_Noise_PreRec | 0.153176 / 0.00920329 | 0.0413855 / 0.0327139 | -0.114495 / -0.00733999 | 0 / -2.22045e-16 | -3.54125e-06 / 4.00759e-06 | 0.0999581 / 0.000224423 | 0 / 0 | 0 / 0 | 0.038264 / 0.00236151 | -0.0313971 / -0.00197089 | 4.44089e-16 / 0 | -1.11022e-16 / 0 | 0.0392891 / 0.00242419 | 0.024427 / 0.00151257 | 0 / 0 | -0.0830309 / -0.0193462 | 0.0192646 / 0.000814869 | -0.0298391 / 0.0031134 | 0 / 0 | -1.08959e-05 / 1.19691e-05 | 0.323711 / 0.018735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.484629 / 0.0265009 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.206938 / 0.214973 | -2.22045e-16 / 0 | -0.103943 / 0.0969725 | -0.0229482 / 0.0198249 | 0 / 0 | 0.159413 / -0.118108 | 0 / 0 | 0 / 0 | -0.0668453 / 0.0601592 | -0.0344371 / 0.0300654 | 4.44089e-16 / -2.22045e-16 | 0 / 0 | -0.119517 / 0.113245 | -0.0556736 / 0.0495777 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0265831 / -0.0219726 | 0 / 0 | 0.303376 / -0.202132 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210554 / -0.0174828 | -0.0979565 / 0.0908503 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JER_EffectiveNP_1 | -0.00295195 / -0.247221 | 0.000612205 / 0.056301 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00126902 / 0.118735 | 0 / 0 | 0 / 0 | -0.000810293 / -0.0717872 | 0.000210463 / 0.019152 | 0 / 0 | 0 / -1.11022e-16 | -0.00127323 / -0.111439 | 0.000342856 / 0.0313084 | -6.36489e-06 / 6.33957e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00244161 / -0.207243 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00150451 / -0.130884 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
