 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0171388 / 0.000399735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0583767 / -0.000901126 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0150371 / 0.00197603 | -8.39688e-05 / 9.56854e-05 | -1.20369e-05 / 1.34339e-05 | -5.07769e-05 / 5.7978e-05 | -1.14447e-05 / 1.29036e-05 | -0.0373774 / 0.00052362 | 0 / 0 | 0 / 0 | 0.0313126 / 0.00176755 | 0 / 0 | 0 / 0 | -1.73775e-07 / 1.94472e-07 | 0.0226115 / 0.000334561 | 0.0568085 / 0.00379675 | 0 / 0 | -2.22045e-16 / 0 | -1.45441e-06 / 1.6136e-06 | -1.87986e-07 / 2.08194e-07 | -0.898759 / -0.0777297 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.031153 / 0.00234115 | 0.0598443 / 0.00349419 | 0.0246475 / 0.00201561 |
 | FT_EFF_Eigen_B_0__1 | 0.03187 / -0.0310037 | 0.0245107 / -0.0240405 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0572833 / -0.0544253 |
 | FT_EFF_Eigen_B_2__1 | -0.0630317 / 0.0696182 | -0.0525859 / 0.0570621 | -0.0352791 / 0.0373437 | -0.0312209 / 0.0332816 | -0.0307425 / 0.0324462 | -0.0318511 / 0.0354793 | -0.0296222 / 0.031281 | 0 / 0 | -0.0349249 / 0.037143 | 0 / 0 | 0 / 0 | 8.43093e-06 / -8.6595e-06 | -0.0472 / 0.0501545 | -0.021673 / 0.0229274 | -0.0289838 / 0.0306474 | -0.0215906 / 0.0229498 | 0 / 0 | 9.76533e-07 / -1.01084e-06 | 0 / 0 | -0.0262001 / 0.0275593 | -0.0307517 / 0.032564 | -0.0345718 / 0.0365798 | -0.0433946 / 0.04614 | -0.0488571 / 0.0516088 | -0.025808 / 0.0272551 | -0.0241863 / 0.0252768 | -0.0612167 / 0.0669219 |
 | FT_EFF_Eigen_B_3__1 | 0.0374929 / -0.0364559 | 0.0288271 / -0.0282497 | 0 / 0 | 0 / 0 | -1.21696e-05 / 1.25958e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205079 / -0.0201417 | 0 / 0 | 0 / 0 | 0 / 0 | 0.019958 / -0.0198097 | 0 / 0 | 0 / -1.11022e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.023169 / -0.0228527 | 0.028747 / -0.028357 | 0 / 0 | 0 / 0 | 0.0390742 / -0.0380016 |
 | FT_EFF_Eigen_B_8__1 | 0.0359524 / -0.0352019 | 0.0295805 / -0.0292098 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -3.33067e-16 / -3.33067e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0372483 / -0.0364721 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.00136402 / -0.00136401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -3.4982e-06 / 3.42005e-06 | 0 / 0 | 1.65936e-05 / -1.64456e-05 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000660053 / 0.0260041 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 8.39383e-05 / -8.23069e-05 |
