 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0380203 / 0.000880152 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0506713 / 0.000756196 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0.0257805 / -0.0262263 | 0.0265259 / -0.0269707 | 0.0245597 / -0.0249689 | 0.0285325 / -0.0289494 | 0.0307203 / -0.0310124 | 0.0336422 / -0.0337469 | 0.0274246 / -0.027862 | 0 / 0 | 0.0276235 / -0.0279457 | 0.0203204 / -0.0210085 | 0 / 0 | 0.0523909 / -0.052427 | 0 / 0 | 0.030225 / -0.0305903 | 0.0245718 / -0.0253449 | 0.0301148 / -0.0301967 | 0.034332 / -0.0347342 | 0.0326382 / -0.0329199 | 0 / 0 | 0.0274041 / -0.0279023 | 0.024153 / -0.0247339 | 0.0206908 / -0.0211302 | 0.033096 / -0.033251 | 0.0243744 / -0.0250575 | 0.0246539 / -0.0250752 | 0.0370179 / -0.0372798 | 0.0256932 / -0.0260628 | 0 / 0 | 0.0875025 / -0.0854661 | 0.0284596 / -0.0288993 |
 | FT_EFF_Eigen_B_2__1 | -0.0371621 / 0.0398547 | -0.0261073 / 0.0278979 | 0 / 0 | -0.0230829 / 0.02444 | 0 / 0 | 0.0395112 / -0.0433567 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.117085 / 0.123715 | 0 / 0 | 0 / 0 | -0.04457 / 0.0477418 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0211741 / 0.0221316 | 0 / 0 | -0.0317363 / 0.0334369 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0211193 / 0.0218763 | 0.0411865 / -0.0454382 | -0.0349495 / 0.0374988 |
 | FT_EFF_Eigen_B_3__1 | 0.0292331 / -0.0285983 | 0.0240983 / -0.0236405 | 0 / 0 | 0.0208014 / -0.0204278 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0518485 / -0.051615 | 0 / 0 | 0 / 0 | 0.0371485 / -0.0357579 | 0 / 0 | 0.0213284 / -0.0209559 | 0.0294384 / -0.0286138 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0212075 / -0.0207151 | 0 / 0 | 0.0347417 / -0.0343648 | 0 / 0 | 0 / 0 | 0.0262745 / -0.0261891 | 0.0483276 / -0.0461486 | 0.13743 / -0.129769 | 0.0253218 / -0.0248141 |
 | FT_EFF_Eigen_B_7__1 | 0.0208896 / -0.0206006 | 0.0200617 / -0.0197822 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0235176 / -0.0226329 | 0 / 0 | 0.0228843 / -0.0226294 | 0.034367 / -0.0332541 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0369545 / -0.0365005 | 0 / 0 | 0 / 0 | 0.0301499 / -0.0300735 | 0.0509587 / -0.048892 | 0.16695 / -0.156137 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 5.87648e-06 / -9.2364e-06 | 0 / 0 | 0 / 0 | 0.00975493 / -0.0297436 | 0.0351757 / -0.0428482 | 0.201659 / -0.0457583 | 0.0212024 / -0.0493298 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | -0.000327979 / -0.0537254 | 0 / 0 | 0 / 0 | -0.00220941 / -0.0786409 | 0.0323704 / -0.172453 | 0.0142807 / -0.0396423 | 0 / 0 | 0 / 0 | -0.00372846 / -0.0266396 | 0 / 0 | 0 / 0 | -0.00327007 / -0.0850025 | 0 / 0 | 0.0206602 / -0.0277862 | 0 / 0 | -0.00821867 / -0.0809926 | -0.011808 / -0.267708 | 0 / 0 | 4.63656e-06 / -7.22748e-06 |
 | JET_RelativeNonClosure_AF3 | 5.49982e-06 / -5.51006e-06 | 0 / 0 | 0 / 0 | 3.47331e-06 / -3.45387e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.146833 / 0.0142582 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.300451 / -0.300201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
