 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JERUnc_Noise_PreRec | -0.161043 / 0.19151 | 0.0507575 / -0.048407 | -0.141994 / 0.165207 | 0.0306169 / -0.0302564 | 0 / 0 | -0.105869 / 0.11873 | 0 / 0 | 0 / 0 | 0.134682 / -0.119309 | 0 / 0 | 0.0317229 / -0.0292206 | 0 / 0 | 0.0215902 / -5.08344e-05 | -0.105949 / 0.117119 | 0 / 0 | -0.0147851 / 0.0171183 | 0.0235524 / -0.0235324 | 0 / 0 | -0.600663 / 1.46602 | 0 / 0 | -0.142218 / 0.165113 | 0.026333 / -0.025729 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.79244e-05 / -3.40628e-05 | 0.125442 / -0.111989 | -0.219753 / 0.280439 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0239534 / -0.069545 | -0.0425627 / 0.00337743 | 0.0577741 / 0.00354905 | -0.0273491 / 0.00339307 | 0 / 0 | -0.0589729 / -0.0205095 | 0 / 0 | 0 / 0 | -0.0625944 / -0.00395998 | 0 / 0 | -0.0344952 / 0.00117213 | 0 / 0 | -0.0874224 / 0.204338 | 0.112077 / -0.021664 | 0 / 0 | 0 / 0 | -0.0141635 / -0.00455714 | 0 / 0 | 0.535224 / 0.0296711 | 0 / 0 | 0.138392 / -0.00420552 | 0.0763771 / 0.00467124 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.8452e-05 / 2.07089e-05 | 0.0597341 / -0.070959 | 1.91638 / 0.0855201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | -0.0941579 / 0.0870028 | -0.0297136 / 0.025829 | 0.105457 / -0.0815629 | -0.0772188 / 0.0701882 | 0 / 0 | 0.0529283 / -0.0427665 | 0 / 0 | 0 / 0 | -0.126489 / 0.120696 | -0.0904029 / 0.0832275 | 0 / 0 | -0.0225052 / 0.0194344 | 0.210001 / -0.149692 | 0.0991862 / -0.0771068 | 0 / 0 | 0 / 0 | -0.0407601 / 0.0358413 | 0 / 0 | 0 / 0 | 0 / 0 | 0.137384 / -0.103564 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.114472 / 0.107918 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | -0.0024203 / -0.205549 | -0.00043148 / -0.0386085 | 0.000565453 / 0.0519377 | 0 / -1.11022e-16 | 0 / 0 | -0.00120126 / -0.105338 | 0 / 0 | 0 / 0 | 0.000872751 / 0.0808128 | 0 / 0 | -0.000221782 / -0.0199544 | 0 / 2.22045e-16 | 0.00218112 / 0.209025 | -0.000271035 / -0.0243544 | 0 / 0 | 0.000248183 / 0.0226069 | 6.04184e-05 / -5.90497e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00391028 / -0.319325 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000378913 / 0.021236 | -0.000582507 / -0.0519161 | 0.0157916 / 2.17101 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | -0.256382 / 0.165822 | -0.0493214 / 0.0272757 | 0.173721 / -0.0833225 | -0.0839409 / 0.0579416 | -0.0186982 / 0.00646988 | 0.0296058 / -0.015527 | 0 / 0 | 0 / 0 | -0.155086 / 0.0268912 | 0 / 0 | -0.0140127 / 0.0317834 | -0.0199317 / 0.00670583 | 0.00860863 / 0.21286 | 0.10451 / -0.0522654 | 0 / 0 | 0 / 0 | -0.0317208 / 0.0218733 | 0.0296573 / -0.0122886 | 1.52803 / -0.41324 | 0 / 0 | 0.167504 / -0.0806363 | -0.15363 / 0.0916117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0904929 / 0.051516 | 0.304164 / -0.135506 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | -0.00514536 / -0.0810892 | -0.00241323 / -0.0384388 | 0.00258102 / 0.0419193 | 0 / 0 | 0 / 0 | -0.00587558 / -0.0923343 | 0 / 0 | 0 / 0 | 0.0774223 / -0.0691349 | 0 / 0 | 0.0093899 / -0.0373608 | 0 / -1.11022e-16 | 0.206476 / -0.0163353 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 7.85045e-05 / -7.00018e-05 | 0 / 0 | 0.0543818 / 1.08203 | 0 / 0 | -0.00976584 / 0.0322928 | -0.0171778 / -0.258305 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.52601e-05 / -3.12613e-05 | 0 / 0 | 0.0686999 / 1.44501 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0.0739458 / -0.087152 | 0.0247782 / -0.0287236 | -0.0802846 / 0.112115 | 0.0668301 / -0.0793389 | 0 / 0 | -0.0402911 / 0.0536996 | 0 / 0 | 0 / 0 | 0.140011 / -0.154622 | 0 / 0 | 0.0193514 / -0.0239263 | 0 / 0 | -0.140129 / 0.210703 | -0.0443505 / 0.055563 | 0 / 0 | 0 / 0 | 0.0271527 / -0.0349645 | -0.0174282 / 0.0233088 | 0 / 0 | 0 / 0 | -0.118173 / 0.172829 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105693 / -0.120674 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | -0.207312 / -0.00244136 | -0.0306943 / 0.00186471 | 0.109764 / 0.00117435 | 0 / 0 | 0 / 0 | -0.114938 / -0.00115029 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0574112 / -0.00101058 | 0 / 0 | 0.2122 / 0.00220877 | -0.0462176 / -0.00424524 | 0 / 0 | 0 / 0 | -8.38332e-05 / 8.40899e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0534362 / 0.000580781 | -0.211085 / -0.00248893 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -7.46675e-05 / 7.66232e-05 | -0.0778891 / -0.000880003 | 2.13577 / 0.0155508 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0.074595 / -0.0717646 | 0 / 0 | -0.0949138 / 0.108029 | 0.0452608 / -0.044895 | 0.0174858 / -0.0187222 | -0.00630861 / -0.0040701 | 0 / 0 | 0 / 0 | 0.161529 / -0.143985 | 0 / 0 | 0.0372791 / -0.0377534 | 0 / 0 | -0.160536 / 0.196674 | -0.0641104 / 0.0696306 | 0 / 0 | 0 / 0 | 0.0367043 / -0.0367291 | -0.0273638 / 0.0293817 | -0.594935 / 1.48153 | 0 / 0 | -0.125655 / 0.151968 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.085937 / -0.081917 | -0.220212 / 0.289938 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | -0.148685 / -0.00796488 | -0.0175817 / 0.00177489 | 0.0462725 / 0.00235753 | 0 / 0 | 0 / 0 | -0.0968667 / -0.0175587 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0632831 / -0.00331426 | -0.0354952 / -0.00255001 | 0 / 0 | 0.166952 / 0.00826527 | -0.0219894 / -0.0290679 | 0 / 0 | 0 / 0 | -4.35957e-05 / 4.79331e-05 | 0 / 0 | 1.19284 / 0.0485171 | 0 / 0 | 0.0607862 / -0.00636133 | -0.241424 / -0.013271 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.33949e-05 / 4.78794e-05 | -0.015531 / -0.00117501 | 1.54376 / 0.0595289 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
