 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.501569 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.539821 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_BJES_Response | -0.0310865 / 0.0646669 | -0.0376618 / 0.00674378 | 0 / 0 | -0.0313178 / 0.0321547 | 0 / 0 | -0.0576152 / -0.00386355 | 0 / 0 | 0 / 0 | -0.00579634 / -0.0274494 | -0.100507 / -0.087566 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.0849012 / 0.0616207 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00604 / 0.0686336 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.00620838 / -0.0706474 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.0345015 / 0.019999 | -0.0409887 / 0.00910091 | 0 / 0 | -0.0433968 / 0.0314029 | -0.0204746 / 0.0142113 | -0.0705615 / 0.000926829 | 0 / 0 | 0 / 0 | -0.00508364 / -0.0274494 | -0.0996751 / -0.0906142 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.227061 / -0.000458106 | -0.0667773 / 0.055251 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210707 / -0.00633467 | 0 / 0 | 0 / 0 | -0.0392577 / 0.0642703 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.00372689 / 0.247162 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0429878 / -0.0281331 | -0.0342526 / 0.00183912 | -0.0556519 / -0.00968787 | -0.0336134 / 0.022196 | 0 / 0 | -0.0889159 / -0.00453995 | 0 / 0 | 0 / 0 | 0 / -0.0274494 | -0.0996751 / -0.0906142 | 0.0113743 / -0.0205293 | 0 / 0 | 0.227061 / -0.000458106 | -0.0128428 / 0.048626 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0232771 / 0.0691666 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.00664038 / 0.222844 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0407223 / -0.187513 | -0.0492336 / 0.020414 | 0.00127331 / 0.10098 | -0.0482436 / 0.027184 | -0.0211956 / 0.0230527 | -0.0887206 / 0.0224184 | -0.0201219 / 0.0228048 | 0 / 0 | -0.00508364 / -0.0274494 | -0.0996751 / -0.0906142 | 0 / 2.22045e-16 | 0 / 0 | 0.227061 / -0.000458106 | -0.0620007 / 0.0789642 | 0 / 0 | 0 / 0 | 0.0214772 / -0.020327 | 0.0324808 / -0.0182434 | 0 / 0 | 0 / 0 | -0.0431108 / 0.110226 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0123291 / 0.0227804 | -0.017893 / 0.196715 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.0643909 / 0 | 0 / 0 | 0 / 0 | -0.0174886 / 0.0278316 | 0 / 0 | -0.0233655 / 0.000336262 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0996751 / 0 | 0 / 0 | 0 / 0 | 0.227614 / 0 | -0.0185237 / 0.0463893 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Response | 0.00794789 / 0.132919 | 0 / 0 | 0 / 0 | 0.00120369 / -0.042794 | 0 / 0 | 0.000244493 / -0.0556992 | 0 / 0 | 0 / 0 | 0 / 0 | 2.90027e-05 / -0.0996751 | -0.0364923 / -0.00110777 | 0 / 0 | -0.000458106 / 0.227614 | 0.0157194 / 0.0224691 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0106644 / 0.0254708 | 0 / 0 | 0 / 0 | 0.0790452 / -0.0183732 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.269032 / 0.0679307 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.189124 / -0.0459587 | -0.0821749 / 0.0597489 | 0.0168985 / 0.161624 | -0.104213 / 0.052549 | -0.0427145 / 0.0379575 | -0.0633366 / 0.0130403 | -0.0500014 / 0.0463108 | 0 / 0 | 0.0842921 / -0.123691 | -0.0999711 / -0.0882956 | -0.0260716 / -0.0215875 | 0 / 0 | 0.227061 / 0.413926 | -0.0593133 / 0.126745 | 0 / 0 | 0 / 2.22045e-16 | 0.0425869 / -0.0279971 | 0.071151 / -0.0387262 | 0 / 0 | -0.0190256 / 0.0240393 | -0.0888705 / 0.299394 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0150604 / 0.0311026 | -0.136711 / 0.148541 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
