 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | MUON_EFF_ISO_SYS | 0.0221295 / -0.0226842 | 0.0222555 / -0.0228104 | 0.023363 / -0.0239332 | 0.0225769 / -0.0231431 | 0.0218817 / -0.0224412 | 0.0273822 / -0.0280258 | 0.0228212 / -0.0233978 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0260225 / -0.0266636 | 0.0344928 / -0.0352599 | 0 / 0 | 0.0309394 / -0.0316339 | 0.0221049 / -0.0226693 | 0.0214996 / -0.0220622 | 0.0227433 / -0.0233113 | 0.0220705 / -0.0226205 | 0 / 0 | 0.0223528 / -0.0229098 | 0.022496 / -0.0230516 | 0.0227097 / -0.0232742 | 0.0221539 / -0.0227326 | 0.0232541 / -0.0237937 | 0.0308062 / -0.0315038 | 0 / 0 | 0.0246735 / -0.0252589 |
 | FT_EFF_Eigen_B_2__1 | -0.0378093 / 0.0404972 | -0.0293622 / 0.0313996 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.042376 / 0.0439585 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0302639 / 0.032047 | 0 / 0 | 0 / 0 | -0.0274697 / 0.0293723 |
 | FT_EFF_Eigen_B_3__1 | 0.0313449 / -0.0306032 | 0.0250628 / -0.0246075 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.020838 / -0.0207366 | 0.0211239 / -0.0210585 | 0 / 0 | 0 / 0 | 0.0306636 / -0.0300475 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0259424 / -0.0257089 | 0 / 0 | 0 / 0 | 0.0243328 / -0.0237468 |
 | FT_EFF_Eigen_B_7__1 | 0.0226505 / -0.0222595 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0228121 / -0.022763 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 5.57454e-05 / -5.57449e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 7.31737e-05 / -6.72695e-05 | 0 / 0 | 0 / 2.22045e-16 | 2.98255e-05 / -2.82734e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.15457e-06 / -3.97293e-06 | 0.0248106 / -0.0582339 | -1.11022e-16 / 0 | -2.10203e-07 / 2.02465e-07 | -2.1003e-07 / 1.99833e-07 | 2.10365e-07 / -2.05306e-07 | 0.0536072 / -0.00883766 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0201825 / 0.0207384 | -0.0287724 / 0.0345281 | -0.0571244 / 0.129686 | -0.0704342 / 0.177412 | 0 / 0 | -1.11022e-16 / 0 |
 | JET_JERUnc_Noise_PreRec | 3.79372e-05 / -3.40922e-05 | 0 / 0 | 0.0199508 / -0.0196389 | 1.14814e-05 / -1.0313e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0528109 / -0.0502887 | -0.042125 / 0.0445827 | 4.44089e-16 / -2.22045e-16 | 0 / 0 | 0.0745951 / -0.0696253 | 0 / 0 | -1.84694e-07 / 1.66153e-07 | 0.0199112 / -0.0194542 | 0.0447471 / -0.0423899 | -0.0417427 / 0.0436122 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0337123 / -0.032795 | -0.0429938 / 0.0449735 | -0.0356362 / 0.0370543 | 0 / 0 | 0 / -1.11022e-16 |
 | JET_JERUnc_Noise_PreRec | -3.95012e-05 / 4.46385e-05 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0365096 / -0.00190991 | -0.0147202 / -0.00135348 | -0.023494 / -0.00203007 | -2.22045e-16 / -3.33067e-16 | 0 / -1.11022e-16 | -0.0162122 / 0.000631408 | -0.0142301 / -0.00170956 | -0.0260371 / 0.00479386 | -0.0210267 / -0.00122319 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0401114 / -0.00252337 | 0 / 0 | -0.0160128 / 0.00484098 |
 | JET_NNJvtEfficiency | -5.54101e-05 / 5.63523e-05 | 0 / 0 | -2.72905e-05 / 2.76368e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.73899e-05 / 1.81372e-05 | -2.35277e-05 / 2.46559e-05 | -2.45671e-05 / 2.57139e-05 | 0 / 0 | -2.50469e-05 / 2.61752e-05 | 0 / 0 | -6.55222e-06 / 6.89519e-06 | 0 / 0 | -6.28974e-06 / 6.64965e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0211901 / -0.0243284 | 0.0348289 / -0.0371346 | 0.0441887 / -0.0462113 | 0.0474967 / -0.0523274 | 0 / 0 | -3.4228e-05 / 3.4684e-05 |
 | ttt Cross-Section | 0 / 0 | 0.300451 / -0.300201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
