 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0283308 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0716802 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0225582 / 0.0243195 | 0 / -3.33067e-16 | 4.44089e-16 / 4.44089e-16 | -2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0.0214526 / -0.0829765 | -1.11022e-16 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / -2.22045e-16 | 0 / 2.22045e-16 | 0.0584671 / -0.0279157 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0174426 / 0.0220051 |
 | JET_Flavor_Response | 0.022958 / -0.014415 | 0 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / -1.11022e-16 | 0 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | -2.22045e-16 / -3.33067e-16 | 0 / 0 | 0 / 2.22045e-16 | -0.0259943 / 0.0553934 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / -1.11022e-16 |
 | JET_InSitu_NonClosure_PreRec | -0.0433303 / 0.0460088 | -0.0209495 / 0.0201458 | 4.44089e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00532657 / -0.0255122 | -0.00885732 / -0.0236245 | 0 / 2.22045e-16 | 0.0178694 / -0.083758 | -2.22045e-16 / 0 | 0.00508265 / -0.0201108 | 0 / -2.22045e-16 | 0.0259524 / -0.0621805 | 0.0634034 / -0.0464349 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0317482 / 0.0402541 |
 | JET_JESUnc_Noise_PreRec | -0.0192339 / 0.0207932 | 2.22045e-16 / -1.11022e-16 | 0 / 4.44089e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0208972 / -0.0564009 | -2.22045e-16 / 0 | -2.22045e-16 / -3.33067e-16 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | 0.0533136 / -0.0179692 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0495557 / 0.055422 | -0.0306804 / 0.0354792 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.0196379 / -0.0834289 | -1.11022e-16 / 0 | 0 / -2.22045e-16 | 0 / -2.22045e-16 | 2.22045e-16 / 0 | 0.0559025 / -0.0273982 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0386687 / 0.0607407 |
 | JET_Pileup_OffsetNPV | -0.0186092 / 0.0209522 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0.0114547 / -0.0763887 | -1.11022e-16 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0.0215242 / -0.0209037 | 0.0591846 / -0.0229488 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0230183 / 0.0177455 |
 | JET_Pileup_RhoTopology | -0.0377602 / 0.0384018 | 0 / -1.11022e-16 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.00591319 / -0.0217875 | 0 / 0 | 0 / 0 | 0.0196649 / -0.0820612 | -1.11022e-16 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 0 | 0.0286444 / -0.0535097 | 0.0637707 / -0.0365316 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0276335 / 0.032185 |
