 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538582 / -0.50164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Other + 1 true b-jet | 0 / 0 | 0 / 0 | 0.164685 / 0.000979029 | 0.0842431 / 0.000512378 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.16537 / 0.000982915 | 0.167278 / 0.000993731 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Other + #geq 2 true b-jet | 0 / 0 | 0 / 0 | 0.134697 / -0.000448508 | 0.38089 / -0.00118556 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.219184 / -0.000712431 | 0.215509 / -0.000701206 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0.0640689 / 0.00437156 | 0 / 0 | 0.0203405 / -0.0302601 | 0.00986412 / -0.0369699 | 0.0501731 / -0.0355304 | 0 / 0 | 0.0141056 / -0.0598144 | 0 / 0 | 0 / 0 | 0.252167 / 0.00810079 | 0 / 0 | 0 / 0 | 0.208086 / 0.233373 | -0.0859157 / -0.0155895 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0.0217336 / -0.0585185 | 0.0349487 / -0.000459004 | 0.128476 / -0.0168804 | 0.0395286 / -0.0253938 | 0 / 0 | 0.0109417 / -0.0373518 | 0.0777478 / -0.0175065 | 0.131784 / 0.00653544 | 0 / 0 | 0.0133689 / -0.0403044 | 6.70268e-07 / -5.60156e-07 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.0300624 / 0.0304354 | 0.0228529 / -0.02254 | 0.0447324 / -0.0433183 | 0.153923 / -0.134131 | 0.0260928 / -0.0254872 | 0 / 0 | 0 / -1.11022e-16 | -0.0826895 / 0.0901441 | -0.646309 / 1.77292 | -0.0422625 / 0.0441738 | -0.0470455 / 0.0494435 | 0.0928762 / -0.0853343 | -0.115055 / 0.132393 | 0.0764354 / -0.0711771 | 0.0563878 / -0.0535124 | 0.212825 / -0.176649 | 0 / 0 | 0.0338053 / -0.0331628 | -3.33067e-16 / 0 | 0 / 0 | 0.0228873 / -0.0224455 | -0.0612639 / 0.0651556 | 0.11632 / -0.104687 | 0.0599729 / -0.0590604 | -2.22045e-16 / 2.22045e-16 | 0.155433 / -0.135325 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.0264897 / -0.00754972 | 0 / 0 | -0.0281679 / -0.00527871 | -0.134612 / -0.00938181 | -0.0170454 / -0.00106908 | 0 / 0 | 0 / 0 | -0.105525 / -0.00589172 | -0.0193162 / -0.00128664 | 0.0608922 / 0.00371822 | -0.0938819 / -0.0059564 | 0.0152628 / 0.000995134 | 0.288165 / 0.0155386 | -0.0781952 / -0.00626289 | -0.0589521 / -0.00373485 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.0558982 / -0.00440669 | -0.0774825 / -0.00492033 | 0.0542113 / 0.00331734 | 0.0295409 / 0.00637914 | 0.0466602 / 0.00253361 | -0.0510198 / 0.0694878 | -0.116118 / -0.00744716 | 0.0704016 / 0.00431184 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0346586 / -0.0284472 | 0 / 0 | 0 / 0 | -0.106618 / 0.0997321 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.01385 / -0.452249 | 0 / -2.22045e-16 | 0 / 0 | -0.03447 / 0.0300951 | 0.218424 / -0.15472 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | -0.0485427 / 0.0429393 | 0 / 0 | -0.042604 / 0.037478 | 2.22045e-16 / 0 | 0.0779591 / -0.0616769 | -0.137417 / 0.132589 | -0.0361191 / 0.031583 | 0.110778 / -0.0853087 | -0.101806 / 0.094779 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.000614725 / -0.0547412 | 0 / 0 | -0.000309635 / -0.0277947 | -0.00234822 / -0.199806 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.00110329 / 0.10278 | 0 / 0 | 0.000544049 / 0.0499437 | 0 / 0 | 0 / 0 | 0.00251879 / 0.243537 | -0.000766053 / -0.0679466 | -0.000462112 / -0.0413162 | 0 / 0 | 0 / 0 | -0.00037892 / -0.0339523 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | -0.000236647 / -0.0212836 | 0.000428715 / 0.039237 | -0.000725493 / -0.0644176 | -2.22045e-16 / -2.22045e-16 | 0.000560005 / 0.05143 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.0374123 / -0.0195218 | 0 / 0 | -0.0361276 / 0.0197985 | -0.109978 / 0.0634951 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0945426 / -0.0475742 | 0.989034 / -0.322591 | -2.22045e-16 / 0 | 0 / 0 | -0.0277664 / 0.0151298 | 0.225028 / -0.104766 | 0.103931 / -0.0519947 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0309502 / 0.0169013 | 0 / 0 | -0.0386563 / 0.021221 | 0 / -1.11022e-16 | 0.080913 / -0.0410643 | -0.140883 / 0.0832106 | 0 / 0 | 0.124507 / -0.0615066 | -0.143016 / 0.0846051 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.00248287 / -0.0395374 | 0 / 0 | -0.00172124 / -0.0274906 | -0.00963449 / -0.149203 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.0046534 / 0.0761908 | 0 / 0 | 0.00195611 / 0.0316926 | 0 / 0 | 0.000875722 / 0.0141287 | 0.0168223 / 0.288841 | -0.00516588 / -0.0814061 | -0.00286046 / -0.045483 | 0 / 0 | 0 / 0 | -0.00158027 / -0.025253 | 0.00133387 / 0.0215588 | -0.00431856 / -0.0682787 | 2.22045e-16 / 2.22045e-16 | 0.00192106 / 0.0311205 | 0.00130349 / 0.0210654 | 0.000928179 / 0.0149781 | 0.00433947 / 0.070964 | -0.00191165 / -0.030509 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | -0.026609 / 0.0349185 | 0 / 0 | 0.0165434 / -0.021564 | 0.0512111 / -0.061783 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.432744 / 1.03241 | 0 / 0 | 0 / 0 | 0.0274941 / -0.0331333 | -0.145262 / 0.219931 | -0.0589513 / 0.0802789 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0.03073 / -0.0378792 | 0 / 0 | -0.0587718 / 0.0805846 | 0.127682 / -0.142686 | -2.22045e-16 / -2.22045e-16 | -0.0894398 / 0.126309 | 0.0776373 / -0.0911608 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | -0.0541894 / -0.000607836 | 0 / 0 | -0.0245227 / -0.000158026 | -0.152129 / -0.00238721 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0.0977413 / 0.00106568 | 0 / 0 | 0.0443522 / 0.000463204 | 0 / 0 | 0 / 0 | 0.308246 / 0.0023631 | -0.0717894 / -0.000809574 | -0.0405012 / -0.000300339 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.0265279 / 0.000300599 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0.0390434 / 0.000426095 | -0.0806845 / -0.00148787 | 0 / -2.22045e-16 | 0.101724 / 0.0011177 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -0.0375041 / 0.0386313 | 0 / 0 | 0.0222152 / -0.0226693 | 0.0780741 / -0.074958 | 0 / 0 | 0 / 0 | 0 / 0 | -0.083495 / 0.0938401 | -0.631096 / 1.72081 | 0 / -3.33067e-16 | 0 / 0 | 0.035577 / -0.035029 | -0.1624 / 0.229937 | 0.0491507 / -0.0482394 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -3.33067e-16 / 0 | 0.0220193 / -0.0223964 | 0 / 0 | -0.0699648 / 0.0772824 | 0.136406 / -0.124376 | 0.0402738 / -0.0400962 | -0.101665 / 0.116544 | 0.136788 / -0.12472 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -0.0382032 / -0.00877411 | 0 / 0 | 2.22045e-16 / 0 | -0.142934 / -0.00510102 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0.0810191 / 0.00530112 | 0 / 0 | 0.0435178 / 0.00221984 | -1.11022e-16 / 0 | 0 / 0 | 0.26674 / 0.0568119 | -0.0569398 / -0.00312382 | -0.0311509 / -0.00147039 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.015108 / 0.00100964 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0.0324562 / 0.00241695 | 0.0178222 / 0.018035 | 0.0330519 / 0.00205633 | 0.0582126 / 0.00269747 | -0.0346013 / -0.00133543 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0.000149686 / 0.0376664 | 0 / 0 | -0.0072401 / -0.0239667 | -0.00128314 / -0.0595875 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000176331 / -0.0277771 | 0 / 0 | 0 / 0 | -0.0417482 / 0.0161231 | 0.0638014 / 0.137633 | -0.0165876 / -0.0707202 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -0.00640043 / -0.0407568 | 0 / 0 | -0.0207145 / 0.000382278 | 2.22045e-16 / 2.22045e-16 | -0.00101933 / 0.0364573 | -0.01873 / -0.0741674 | -0.0190964 / -0.0208641 | 0.137021 / -0.00178463 | -0.00122313 / -0.0925535 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | -0.00767794 / -0.0494178 | 0 / 0 | 0 / 0 | -0.0645796 / -0.00214021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000163089 / 0.0680832 | 0 / 0 | 2.22045e-16 / 0 | 0.211333 / 0.0824612 | -0.0756335 / -0.0714892 | -0.00374232 / -0.039895 | 0 / 0 | 0 / 0 | -0.00573049 / -0.0260682 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0.0405925 / -0.000488706 | -0.060275 / -0.00926022 | 0.0595319 / -0.00401185 | -0.000393439 / 0.0470387 | 0 / 0 | 0 / 0 | 0 / 0 |
