 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0481802 / 0.00111219 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0283726 / 0.00042618 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0.0258106 / -0.0262561 | 0.0262479 / -0.0266989 | 0.0276313 / -0.0280821 | 0.0280602 / -0.0284704 | 0.0296315 / -0.0299647 | -5.32951e-05 / 5.56915e-05 | 0.027038 / -0.0274785 | 0 / 0 | 0 / 0 | 0.0218332 / -0.0222755 | 0.0273175 / -0.0280349 | 0.0388981 / -0.0395133 | 0 / 0 | 0 / 0 | 0.0345041 / -0.0347523 | 0.0327909 / -0.0330066 | 0.0350734 / -0.0353184 | 0.0278136 / -0.0282685 | 0 / 0 | 0.0266785 / -0.0271621 | 0.0261958 / -0.0266278 | 0.029086 / -0.0295871 | 0.0411037 / -0.0413882 | 0.0424502 / -0.041394 | 0.0266464 / -0.0270745 | 0.0309568 / -0.031464 | 0.0219172 / -0.0224218 | 0.0197228 / -0.0202424 | 0.0286879 / -0.029188 | 0.0278558 / -0.0283084 |
 | FT_EFF_Eigen_B_0__1 | 0.0227219 / -0.0224286 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0263637 / -0.0262224 | 0.0412786 / -0.0398276 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.189462 / -0.18515 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0374075 / -0.0363796 |
 | FT_EFF_Eigen_B_2__1 | -0.0588491 / 0.0648575 | -0.0488974 / 0.0527247 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.125483 / 0.146266 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0195757 / 0.0205982 | -0.0280671 / 0.0295277 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.443784 / 0.52667 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -2.22045e-16 / 0 | 0 / 0 | -0.057014 / 0.0622006 |
 | FT_EFF_Eigen_B_3__1 | 0.0358791 / -0.0348911 | 0.0297665 / -0.0291222 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0290687 / -0.0287457 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0716164 / -0.0641782 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.291307 / -0.279169 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.036082 / -0.035399 |
 | FT_EFF_Eigen_B_8__1 | 0.0232976 / -0.0232227 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0224492 / -0.0223104 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 3.55452e-05 / -3.55449e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -1.59649e-05 / 2.33991e-05 | 0 / 0 | 0.0223703 / -0.0359332 | -2.62487e-05 / 3.92629e-05 | 0.0100876 / -0.0270316 | -0.0329569 / -0.0468768 | 0.0118027 / -0.0244592 | 0 / 0 | -0.103499 / 0.0678885 | -0.00578036 / -0.116134 | 0 / 0 | -0.00760828 / -0.218338 | 0 / 2.22045e-16 | 0.0904421 / -0.132842 | -0.0202894 / -0.0152763 | 0.00887403 / -0.0455646 | 0.0101078 / -0.0621987 | 0.0322797 / -0.0188763 | 0 / 0 | 0 / -3.33067e-16 | 0.0107157 / -0.0309483 | 2.22045e-16 / 0 | -2.22045e-16 / -2.22045e-16 | -0.131549 / -0.0665899 | 0.0169659 / -0.0282227 | 0 / 2.22045e-16 | -2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | -0.000593156 / -0.022486 | -0.00815722 / 0.0239723 |
 | JET_JER_EffectiveNP_1 | 6.05486e-06 / -9.28886e-06 | 0 / 0 | -0.0200729 / 0.0172956 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.0661613 / 0.0595048 | 0.0653482 / -0.0522492 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.0264922 / -0.0218992 | 0 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / -3.33067e-16 | 0 / -2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0.110484 / -0.0851029 | 2.22045e-16 / 0 | -0.0501705 / 0.0444469 | 0 / 0 | 0.0268921 / -0.0222221 | -0.0342427 / 0.0298904 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 8.54536e-06 / -1.40943e-05 | 0 / 0 | 0 / 0 | 7.56757e-06 / -1.23951e-05 | 0 / 0 | -0.151633 / 0.090285 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.0633907 / 0.0354014 | 0.0651341 / -0.0333876 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0282338 / -0.0148207 | 0 / 2.22045e-16 | -0.0666826 / 0.0373259 | 2.22045e-16 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -3.33067e-16 / -3.33067e-16 | 2.22045e-16 / -1.11022e-16 | 0.0198289 / -0.0104661 | 0.132716 / -0.0652351 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | 0.122263 / -0.0604807 | -0.0259088 / 0.0140997 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | -1.07949e-05 / 6.80508e-06 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0.0755363 / -0.0888829 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0542008 / -0.0652486 | -0.0491427 / 0.0661617 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0291257 / 0.0357489 | 2.22045e-16 / 0 | 0.015888 / -0.0200277 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.0177451 / 0.0214093 | -0.0947241 / 0.134598 | 0 / 0 | 0.048332 / -0.0585367 | -2.22045e-16 / 2.22045e-16 | -0.0210518 / 0.0276093 | 0.0246535 / -0.030586 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | -1.32842e-05 / 1.07514e-05 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 6.24313e-06 / -5.05995e-06 | 0 / 0 | 0.0675636 / -0.0649036 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0634997 / -0.0617286 | -0.0595567 / 0.0646224 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0324747 / 0.0333185 | 2.22045e-16 / 0 | 0.030623 / -0.0306907 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / -3.33067e-16 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | -0.0201722 / 0.0208638 | -0.0996152 / 0.113959 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -0.103449 / 0.118883 | 0.0296586 / -0.0295659 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -2.90733e-05 / 4.50796e-05 | -3.46379e-05 / 5.46501e-05 | 0.0176596 / -0.0501796 | -3.75884e-05 / 5.96453e-05 | 0.0133858 / -0.0298728 | -0.0323528 / -0.0746283 | 0.013924 / -0.0299999 | 0 / 0 | 2.22045e-16 / 0 | -0.00856001 / -0.173908 | 0 / 0 | -2.22045e-16 / 0 | 0 / 2.22045e-16 | 0.0855028 / -0.139429 | -0.0227034 / 0.00240704 | 0.0217944 / -0.0134005 | 0.00929122 / -0.0384909 | 0.0348248 / -0.00916832 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | 0.00651108 / 0.0260757 | 0.0165602 / -0.0338964 | -0.00338907 / -0.029618 | 2.22045e-16 / 0 | -0.00431899 / 0.0389735 | -0.00399044 / -0.0824234 | -2.3387e-05 / 3.61239e-05 |
 | JET_Pileup_OffsetNPV | -2.11213e-05 / 2.02441e-05 | 0 / 0 | 0.0155191 / -0.0197897 | 0 / 0 | 0 / 0 | -0.0188417 / 0.0224639 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00778355 / -0.141055 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0970357 / -0.0998127 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0235503 / -0.0236835 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 0 | -0.000603297 / 0.020453 | 0 / 0 | 0.0042759 / -0.0259261 | -2.22045e-16 / 0 | -0.00150324 / 0.0248458 | 0.0261088 / -0.0120011 | 0.00184525 / -0.0340371 | -4.65659e-06 / 4.44927e-06 |
 | JET_Pileup_RhoTopology | -1.68918e-05 / 2.52694e-05 | 0 / 0 | 0.0215791 / -0.0361165 | -1.23067e-05 / 1.875e-05 | 0.00707472 / -0.0217956 | -0.0332683 / -0.03644 | 0 / 0 | 0 / 0 | -0.0985746 / 0.0748533 | -0.00182601 / -0.108743 | 0 / 0 | -0.0049155 / -0.202604 | 0 / 0 | 0.0905423 / -0.133293 | -0.00689856 / -0.0113597 | 0 / 0 | 0.00759413 / -0.0492262 | 0.0317431 / -0.00784292 | 0 / 0 | 0 / 0 | 0.0153487 / -0.0322641 | 0 / 0 | -4.44089e-16 / 0 | 0.0221906 / -0.154724 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | -0.000346002 / -0.0207848 | -1.52237e-05 / 2.27201e-05 |
 | ttt Cross-Section | 0 / 0 | 0.300451 / -0.300201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.538582 / -0.50164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0 / 0 | 0.00284203 / -0.0265798 | -1.66085e-05 / 1.59124e-05 | 0 / 0 | -0.0698689 / -0.0825038 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.00906552 / -0.105553 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0.101507 / -0.10256 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0.0235879 / -0.00449087 | 0 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00574264 / 0.0292783 | 0.00541519 / -0.0713845 | -1.83059e-05 / 1.72913e-05 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 0.00610664 / -0.0275247 | 0 / 0 | 0 / 0 | -0.0157028 / -0.0590047 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00142468 / -0.0993383 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0.0913924 / 0.0038187 | -0.00336817 / -0.0212116 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -0.000415231 / 0.0196517 | -0.00251956 / 0.030102 | 1.77284e-05 / -0.0665516 | -1.0655e-05 / 1.05727e-05 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0.00733095 / -0.0351086 | -9.54306e-06 / 9.08976e-06 | 0 / 0 | -0.0139515 / -0.0627495 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.004192 / -0.104149 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0.096476 / 0.00627283 | -0.00864659 / -0.0277567 | 0 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -4.44089e-16 / -2.22045e-16 | -0.0064233 / 0.0295844 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.00130182 / -0.0691997 | -1.23681e-05 / 1.15161e-05 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0.0086471 / -0.0294654 | -2.16318e-05 / 1.78514e-05 | 0 / 0 | -0.00805684 / -0.0994811 | 0 / 0 | 0 / 0 | -0.0990344 / -0.00745994 | 0.0189339 / -0.105802 | 0 / 0 | 0.046873 / -0.266753 | 0 / 0 | 0.0940841 / 0.00873974 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.0144066 / -0.0461218 | 0.0329354 / -0.0169015 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -4.44089e-16 / 0 | 0.0629583 / -0.192393 | 0 / -1.11022e-16 | 0 / 0 | 0.00519785 / -0.0260943 | 0 / -2.22045e-16 | -0.00596572 / 0.0450603 | -1.6638e-05 / 1.36638e-05 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.0276029 / 0.00514558 | 2.38474e-05 / -2.68481e-05 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -0.107539 / 0.0174694 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -1.11022e-16 / 0 | 0.00777732 / 0.0909952 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.00563776 / 0.0262284 | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | 0 / -4.44089e-16 | 0 / 0 | 0 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 2.22045e-16 | 0.0311856 / -0.00741795 | 2.22045e-16 / 0 | 1.26013e-05 / -1.423e-05 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0.0260159 / -0.0255758 | 1.34394e-05 / -1.20781e-05 | 0 / 0 | 0.454443 / -0.315584 | 0 / 0 | 0 / 0 | 0.0670784 / -0.0631179 | -0.0354028 / 0.0367489 | -0.165578 / 0.197953 | 0 / 0 | 0.0209852 / -0.0205772 | 0 / 0 | -0.0173442 / 0.017602 | 0 / 2.22045e-16 | 0.0710577 / -0.0666414 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / -3.33067e-16 | -3.33067e-16 / 0 | -3.33067e-16 / 2.22045e-16 | -0.035668 / 0.0368156 | -0.0945575 / 0.104398 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.0799904 / 0.0868173 | 0 / 0 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | -0.0221211 / -0.000248 | 0 / 0 | 0 / 0 | 0.0577531 / 0.000632418 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0937385 / 0.00101601 | 0 / 0 | 0.0270758 / 0.000299143 | -0.0275554 / -0.000309432 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0.0238907 / 0.000264199 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248792 / 0.00027505 | 0 / 0 | -4.09668e-06 / 4.13222e-06 |
