 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0883113 / -0.0013761 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0264198 / 0.0271376 | -2.53348e-05 / 2.27182e-05 | 9.9506e-07 / -8.92684e-07 | -1.94393e-05 / 1.74398e-05 | -1.64691e-05 / 1.47739e-05 | 0.033248 / -0.0327852 | -4.35344e-06 / 3.90831e-06 | 0 / 0 | 0 / 0 | 0.0252452 / -0.0254142 | 2.22045e-16 / 0 | -3.0467e-06 / 2.73911e-06 | -0.0191674 / 0.0195748 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.0247735 / -0.0242879 | 0.0374264 / -0.0361864 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226353 / 0.0231736 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000138065 / -0.000123847 |
 | JET_JERUnc_Noise_PreRec | 0.0161407 / 0.000634411 | -1.04007e-05 / 1.17887e-05 | 8.96005e-06 / -9.97794e-06 | 1.67362e-05 / -1.89897e-05 | 1.83964e-05 / -2.07713e-05 | -0.0288016 / 0.00059004 | 3.6507e-06 / -4.10249e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0286259 / -0.00840616 | -3.2453e-06 / 3.63462e-06 | 4.60278e-07 / -5.16797e-07 | 0.0414074 / 0.000925835 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 3.47098e-06 / -3.87772e-06 | 1.49346e-05 / -1.66141e-05 | 0.489968 / 0.0274058 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0179183 / 0.000218775 | 0.0312544 / 0.00221076 | -2.33173e-05 / 2.64469e-05 |
 | FT_EFF_Eigen_B_0__1 | 0.0292281 / -0.0287797 | 0.0240987 / -0.0236941 | 4.72044e-06 / -4.84942e-06 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0596242 / -0.0571289 |
 | FT_EFF_Eigen_B_2__1 | -0.0706769 / 0.0787451 | -0.0573498 / 0.0626552 | -0.033651 / 0.0354461 | -0.0309007 / 0.0327593 | -0.0309276 / 0.0326666 | -0.0255398 / 0.0269877 | -0.030155 / 0.0318963 | 0 / 0 | -0.0296704 / 0.0311425 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0234583 / 0.0247356 | 2.22045e-16 / 2.22045e-16 | -0.0312384 / 0.0329987 | -0.0207343 / 0.0223381 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0244042 / 0.0256777 | -0.032603 / 0.0345505 | -0.0363348 / 0.0384116 | -0.0469592 / 0.0505668 | -0.0370446 / 0.0393565 | -0.0610999 / 0.065252 | -0.0465909 / 0.0501363 | -0.0579168 / 0.0624561 |
 | FT_EFF_Eigen_B_3__1 | 0.0388294 / -0.0375985 | 0.0311182 / -0.030447 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205938 / -0.0204112 | 0.0262415 / -0.0257077 | 0.0242279 / -0.0240324 | 0.0294738 / -0.0292804 | 0.0241373 / -0.0237035 | 0.0382807 / -0.0372971 |
 | FT_EFF_Eigen_B_8__1 | 0.037831 / -0.0369072 | 0.0278282 / -0.0275246 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248533 / -0.0249136 | 0.0376703 / -0.0366987 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.00134076 / -3.13701e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.000627064 / -0.000627058 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
