 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_Pileup_RhoTopology | -0.032185 / 0.054484 | -0.0195007 / 0.0279016 | 0.0209718 / -0.00992901 | 2.13346e-05 / -3.19823e-05 | 1.77434e-05 / -2.70512e-05 | 0 / 0 | 1.68391e-05 / -2.54771e-05 | 0 / 0 | -8.43756e-05 / 0.0235847 | 0 / 0 | 0 / 0 | -0.00141467 / -0.0174521 | 0 / 0 | -0.0106635 / 0.0336042 | 1.47513e-05 / -2.25446e-05 | 0 / 0 | 0.00983229 / -0.0586672 | 0.0269188 / -0.104976 | -0.0416204 / 0.0301456 | 0 / 0 | 0 / 0 | -0.0312888 / 0.0399303 | -0.0419961 / 0.0917017 | -0.121979 / 0.155693 | -0.245175 / 0.621103 | 0 / 0 | -0.0369717 / 0.0427203 |
 | MUON_EFF_ISO_SYS | 0.0226361 / -0.0231981 | 0.0222865 / -0.0228417 | 0.0240984 / -0.0246835 | 0.0226522 / -0.0232189 | 0.0219568 / -0.0225153 | 0.0261736 / -0.0268164 | 0.0228572 / -0.0234345 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0257215 / -0.0263529 | 0.0336695 / -0.0344515 | 0 / 0 | 0.0301419 / -0.0308218 | 0.0215532 / -0.0221102 | 0.0205288 / -0.0210607 | 0.0237519 / -0.0243159 | 0.0238005 / -0.0243619 | 0.0359352 / -0.037179 | 0.0220231 / -0.0225755 | 0.0224239 / -0.0229779 | 0.0206657 / -0.0211957 | 0.0234613 / -0.024036 | 0.0236056 / -0.024091 | 0.0263136 / -0.0269144 | 0 / 0 | 0.0242561 / -0.024815 |
 | FT_EFF_Eigen_B_2__1 | -0.0389632 / 0.041925 | -0.0285557 / 0.0305115 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | -0.0315818 / 0.0331242 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252608 / 0.0266645 | 0 / 0 | 0 / 0 | -0.0296806 / 0.0312616 |
 | FT_EFF_Eigen_B_3__1 | 0.0313316 / -0.0305115 | 0.0247447 / -0.0243004 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0232117 / -0.022686 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0302119 / -0.0302096 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200887 / -0.0199001 | 0.0362386 / -0.0356066 | 0 / 0 | 0 / 0 | 0.0237583 / -0.023238 |
 | FT_EFF_Eigen_B_7__1 | 0.0212977 / -0.0209486 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0246047 / -0.0242858 | 0 / 0 | 0 / 0 | 0.0209986 / -0.0209738 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0330188 / -0.0330169 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0366281 / -0.0358423 | 0.0200634 / -0.0200378 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 1.88311e-05 / -1.88309e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 1.27986e-05 / -1.25006e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.62249e-06 / -3.6283e-06 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0291253 / 0.0154989 | -0.0267382 / 0.0745361 | 0 / 0 | 0 / 0 | -0.0226389 / 0.00754928 |
 | JET_JERUnc_Noise_PreRec | 2.63394e-06 / -2.92751e-06 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0296264 / -0.00187228 | -0.0153611 / -0.00096553 | -0.0232079 / -0.00222101 | -0.123418 / -0.0049376 | 0.0183616 / 0.00568348 | -0.0199218 / -0.00222031 | -1.11022e-16 / 0 | -0.0543259 / -0.00335141 | -0.0454451 / -0.00284616 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0190722 / -0.000871841 | 0.0376485 / 0.014976 | 0.304945 / 0.0177195 | 0 / 0 | -0.0207808 / -0.00269339 |
 | ttt Cross-Section | 0 / 0 | 0.300451 / -0.300201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | -0.0230272 / 0.0207402 | 2.22045e-16 / 0 | 2.58117e-05 / -2.08046e-05 | 2.16787e-05 / -1.77768e-05 | -2.22045e-16 / 0 | 2.15815e-05 / -1.75252e-05 | 0 / 0 | -0.00757702 / 0.0288939 | -0.00668974 / 0.0388812 | 0 / 0 | 4.17324e-05 / -3.49971e-05 | 0 / 0 | -0.0119793 / 0.0296412 | 1.20688e-05 / -9.97293e-06 | -1.11022e-16 / 0 | 0.0168743 / -0.0578312 | 0.0392206 / -0.0983105 | -0.0429968 / -0.00287562 | 0 / 0 | 0 / 0 | -0.0403053 / 0.0405682 | -0.0659974 / 0.086162 | -0.186584 / 0.10501 | -0.301017 / 0.428839 | 0 / 0 | -0.0291034 / 0.0172493 |
