 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_Pileup_RhoTopology | -2.99474e-06 / 4.50443e-06 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0132717 / -0.0256942 | 0 / 0 | 0.0164249 / -0.0286428 | 0 / 0 | 0.00729847 / -0.02238 | 0 / 0 | 0.0547031 / -0.0421134 | 0.0553675 / -0.0615373 | -0.00586222 / -0.0213817 | 0.0316335 / -0.0678841 | 0.0207009 / -0.0328348 | 0.0154115 / -0.0342435 | 0.0269854 / -0.0656889 | 0.0230253 / -0.0556188 | 0 / 0 | 0.0133781 / -0.0247079 | 0 / 0 | 0 / 4.44089e-16 | 0.00305534 / -0.0195976 | 0.00118265 / -0.0230786 | 0.0162657 / -0.026888 | -2.48025e-07 / 3.82272e-07 | 0.0158886 / -0.0316959 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | -1.54496e-05 / 2.30497e-05 |
 | JET_RelativeNonClosure_AF3 | -1.25668e-05 / 1.27427e-05 | 0 / 0 | 0 / 0 | -1.04956e-05 / 1.0598e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.30039 / -0.300173 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.537374 / -0.501628 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -4.17118e-06 / 3.74699e-06 | 0 / 0 | -6.80406e-07 / 6.11151e-07 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0208054 / 0.0212681 | -0.0258647 / 0.0265141 | -1.11022e-16 / 2.22045e-16 | 0.0485825 / -0.0465281 | 2.22045e-16 / -2.22045e-16 | 0 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | 0.0326499 / -0.0316201 | -2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -1.84582e-06 / 1.65745e-06 | 0 / 0 | -0.0260198 / 0.0268104 | 0 / 0 | 1.78934e-06 / -1.6086e-06 | 0 / 0 | 0 / 0 | 4.44089e-16 / -1.11022e-16 | 2.22045e-16 / -2.22045e-16 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -5.04181e-07 / 5.67068e-07 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | -0.0397869 / -0.00166826 | -0.0474908 / -0.00325826 | -0.000316097 / -0.0204902 | 0 / -1.11022e-16 | -0.0352574 / -0.0017294 | -0.0148886 / -0.000109094 | -0.0175 / -0.00288888 | 0 / 0 | 1.98806e-08 / -2.22018e-08 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0199231 / -0.000968594 | -1.66748e-07 / 1.85942e-07 | 0 / 0 | 0 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | -0.0217883 / -0.00109966 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | -5.66981e-06 / 3.60948e-06 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 2.22045e-16 / 0 | -0.0202438 / 0.0264055 | 0 / 0 | 0.0210029 / -0.0260646 | -2.22045e-16 / 0 | -1.11022e-16 / 0 | -1.11022e-16 / 0 | 0.0218778 / -0.0276511 | 0.0204947 / -0.0255614 | 0 / 0 | 0 / 0 | 0 / 0 | -1.22634e-06 / 7.82151e-07 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 2.22045e-16 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 2.51774e-06 / -2.52173e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | 0 / -1.11022e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 2.65219e-06 / -2.63661e-06 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | -0.0201756 / -0.000119956 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 |
 | others Cross-Section | 0 / 0 | 0 / 0 | 0 / 0 | 0.529274 / -0.504291 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.529274 / -0.504291 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
