 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0404219 / 0.000977816 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0729162 / -0.000983633 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0222748 / 0.0199619 | 1.29165e-05 / -1.20537e-05 | 0 / 0 | 9.19592e-06 / -8.70341e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 4.07251e-06 / -3.90089e-06 | 0 / 0 | -0.00658688 / 0.0299347 | 0 / 0 | 0 / -1.11022e-16 | 2.47174e-05 / -2.40462e-05 | 0 / 0 | -0.0417851 / -0.00203339 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0296779 / 0.0315392 | -0.0987298 / 0.0319205 | 0 / 0 | 0 / 0 | -0.0278746 / 0.00618418 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.018328 / 0.0225862 | 1.91124e-05 / -1.7521e-05 | 0 / 0 | 1.08879e-05 / -1.01549e-05 | 1.17715e-05 / -1.11671e-05 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.000681362 / 0.030641 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 1.25527e-05 / -1.19459e-05 | 0 / 0 | -0.00664677 / 0.024337 | 1.7439e-05 / -1.65693e-05 | -1.11022e-16 / 0 | 0.0023423 / -0.0284085 | 0.0146029 / -0.0409717 | -0.0438336 / -0.001001 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0440063 / 0.0311342 | -0.148068 / 0.0593459 | -0.168449 / 0.398306 | 0 / 0 | -0.0313792 / 0.00977682 |
 | JET_Flavor_Response | 0.019817 / -0.0205524 | -1.52808e-05 / 1.76929e-05 | -2.22045e-16 / -2.22045e-16 | -1.13795e-05 / 1.30213e-05 | -1.12693e-05 / 1.27596e-05 | -2.22045e-16 / -2.22045e-16 | -1.1734e-05 / 1.33823e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -1.30553e-05 / 1.462e-05 | 0 / 0 | 0.0236565 / -0.00792929 | -3.27159e-06 / 3.68796e-06 | -1.11022e-16 / 0 | -0.0254494 / 0.00208121 | -0.0400567 / 0.00944019 | -0.00284396 / -0.0410577 | 0 / 0 | 0 / 0 | 0.0309448 / -0.0278016 | 0.0571195 / -0.0438472 | 0.0257184 / -0.131639 | 0 / 0 | 0 / 0 | 0.00509824 / -0.0240597 |
 | JET_InSitu_NonClosure_PreRec | -0.0369333 / 0.0660517 | -0.0228163 / 0.0319742 | 0.0211233 / -0.0105987 | 2.61103e-05 / -3.81494e-05 | 2.0251e-05 / -3.02439e-05 | 0 / -2.22045e-16 | 2.09395e-05 / -3.09831e-05 | 0 / 0 | 0.0483548 / -0.00403466 | 0 / 0 | 2.22045e-16 / 0 | -0.00358143 / -0.0180117 | 0 / 0 | -0.0154828 / 0.0381814 | 2.05327e-05 / -3.07952e-05 | -1.11022e-16 / 2.22045e-16 | 0.00889036 / -0.0661978 | 0.0327681 / -0.110832 | -0.0425512 / 0.0270333 | 0 / 0 | 0 / 0 | -0.0462289 / 0.0558829 | -0.045396 / 0.103984 | -0.136105 / 0.202343 | -0.246747 / 0.604071 | 0 / 0 | -0.0474965 / 0.0421071 |
 | JET_JESUnc_Noise_PreRec | -0.0201911 / 0.0228188 | 1.49585e-05 / -1.38786e-05 | 0 / 0 | 9.68526e-06 / -9.11563e-06 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 9.72485e-06 / -9.24336e-06 | 0 / 0 | -0.00648941 / 0.025511 | 0 / 0 | 0 / -1.11022e-16 | 2.3408e-05 / -2.26582e-05 | 0 / 0 | -0.0422772 / -0.00185005 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312292 / 0.0253573 | -0.0493877 / 0.0348927 | 0 / 0 | 0 / 0 | -0.0262615 / 0.00860262 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0455255 / 0.0961619 | -0.0304529 / 0.0546974 | 0.0178836 / 0.0354247 | 2.65726e-05 / -4.05396e-05 | 2.05136e-05 / -3.2315e-05 | -2.22045e-16 / 0 | 2.38408e-05 / -3.69204e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 2.20656e-05 / -3.47561e-05 | 0 / 0 | -0.0153835 / 0.0406246 | 1.72379e-05 / -2.73651e-05 | 0 / 0 | -0.00539288 / -0.0410998 | 0.0173645 / -0.0540936 | -0.0418074 / 0.00729827 | 0 / 0 | 0 / 0 | -0.0483317 / 0.0913934 | -0.0585682 / 0.068233 | -0.245339 / 0.257099 | -0.16953 / 0.626983 | 0 / 0 | -0.0536122 / 0.0496884 |
 | JET_Pileup_OffsetNPV | -0.0155609 / 0.024576 | 1.34383e-05 / -1.2772e-05 | 0 / 0 | 9.47251e-06 / -9.11052e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.40274e-05 / 0.0306368 | 0.000677929 / -0.0291813 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.00525592 / -0.0422839 | 0.0307492 / -0.0467601 | -0.047924 / -0.00176163 | 0 / 0 | 0 / 0 | -0.0203568 / 0.0168612 | -0.0414706 / 0.0509399 | -0.0458003 / 0.0196952 | 0.000309464 / -0.0204849 | 0 / 0 | -0.0221981 / 0.000868106 |
