 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4.32e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 0.0151 | 0.000221 | 0.000136 | 0.0185 | 0.0234 | -0.0628 | 0.0251 | 0 | 0.18 | -0.0326 | 0.257 | 0.0355 | 0.0379 | 0.414 | 0.0321 | 0.0586 | 0.0896 | 0.0949 | -1 | 0.0285 | 0.0279 | 0.0207 | 0 | 0.0222 | 0.0556 | 0.187 | -0.0693 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.137 | 0.0682 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.537 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | 0.252 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0.0198 | 0 | 0.0205 | -4.44e-16 | 0 | 0 | -0.000204 | 2.22e-16 | 7.33e-07 | 0.0303 | 6.66e-16 | 0.127 | -1.46e-09 | 2.22e-16 | 0.0201 | 0.0231 | -0.0613 | 0.0197 | 0 | 0 | 0 | 0 | 0.0111 | 0.0573 | 0.0197 |
 | SM 4top modeling | 0.146 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0392 | 0.0282 | -0.0353 | -0.0312 | -0.0307 | -0.0318 | -0.0296 | 0 | -0.0151 | 6.66e-16 | 0 | 8.45e-06 | -0.0282 | -0.0217 | -0.029 | -0.0216 | 0 | 9.97e-07 | 0 | -0.0262 | -0.0307 | -0.0346 | -0.0212 | -0.0215 | -0.0258 | -0.0242 | 0.0932 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | -1.11e-16 | 0 | 0 | -4.44e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.144 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | -4.44e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2.22e-16 | -3.33e-16 | 0 | -0.04 | -0.0391 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
