 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4.66e-07 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 1.17e-05 | 0 | -0.00375 | 0.0545 | 0.169 | 50.8 | 0.119 | 0 | 10.4 | -0.484 | 0.235 | -0.11 | -0.025 | 0.024 | -0.463 | -0.133 | -0.0822 | -0.501 | 0 | -0.00536 | 0.0137 | -0.393 | 0.0696 | -0.108 | -0.0216 | 0.127 | 0.662 | -0.967 | 0.0343 | 2.14e-05 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0894 | 0.0197 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.742 | 0.915 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.452 | 0.45 | 0.58 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0.0258 | 0.0265 | -0.00735 | 0.0285 | 0.0307 | 0.214 | 0.0274 | 0 | -0.0135 | -0.0457 | -0.0463 | 0.0547 | 0.0448 | 0.069 | 0.121 | 0.117 | 0.0469 | 0.0705 | 0 | 0.0184 | 0.0394 | 0.0522 | 0.00296 | -0.0735 | -0.0276 | 0.393 | 0.0257 | 0.0397 | 0.0365 | 0.0279 |
 | SM 4top modeling | 0.306 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0117 | 0.0174 | 0 | -0.00276 | 0 | -0.0567 | 0 | 0 | 0 | 0 | 0 | -0.00961 | 0 | 0 | 0.0368 | 0 | 0.0447 | 0.0403 | 0 | 0 | 0 | -0.00041 | 0 | 0.0476 | 0 | 0 | 0.0345 | 0.0266 | 0.172 | -0.0105 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0.0234 | 0 | 0 | 0 | 0.0198 | 0 | 0 | 0 | 0 | 0.0242 | 0 | 0 | 0.0294 | 0 | 0.0411 | 0 | 0 | 0 | 0 | 0 | 0 | 0.164 | 0 | 0 | 0 | 0 | -0.0522 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | -0.0205 | 0 | -0.0279 | -0.0299 | -0.0275 | 0 | 0 | 0.00946 | 0 | -0.0208 | 0.0189 | -0.0361 | -0.0269 | -0.0345 | -0.0445 | -0.0724 | 0 | -0.0331 | -0.0388 | -0.0348 | -0.101 | 0 | -0.0571 | -0.031 | -0.0586 | -0.229 | -0.181 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
