 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0170366 / 0.000415484 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0589102 / -0.000792364 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.014999 / 0.00197915 | -8.404e-05 / 9.58335e-05 | -1.21196e-05 / 1.35355e-05 | -5.08062e-05 / 5.8052e-05 | -1.13134e-05 / 1.27625e-05 | -0.0372895 / 0.00051397 | 0 / 0 | 0 / 0 | 0.0312355 / 0.00177447 | 0 / 0 | 0 / 0 | -1.73909e-07 / 1.94761e-07 | 0.0225568 / 0.000340006 | 0.0566671 / 0.00380897 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | -1.42291e-06 / 1.57978e-06 | -1.91417e-07 / 2.12146e-07 | -0.897495 / -0.0779918 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0310758 / 0.00234777 | 0.0596957 / 0.00350729 | 4.1546e-05 / -4.67201e-05 |
 | FT_EFF_Eigen_B_0__1 | 0.0318652 / -0.0309993 | 0.024507 / -0.0240372 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0522104 / -0.0499321 |
 | FT_EFF_Eigen_B_2__1 | -0.0630194 / 0.0695465 | -0.0525759 / 0.0570041 | -0.0352723 / 0.037306 | -0.0312148 / 0.033248 | -0.0307365 / 0.0324136 | -0.031845 / 0.0354434 | -0.0296165 / 0.0312496 | 0 / 0 | -0.0349182 / 0.0371057 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 8.44761e-06 / -8.66975e-06 | -0.047191 / 0.0501039 | -0.0216688 / 0.0229045 | -0.0289783 / 0.0306167 | -0.0215865 / 0.0229268 | 0 / 0 | 9.96573e-07 / -1.03076e-06 | 0 / 0 | -0.0261951 / 0.0275317 | -0.0307458 / 0.0325313 | -0.0345652 / 0.0365431 | -0.0433864 / 0.0460935 | -0.0488478 / 0.0515568 | -0.025803 / 0.0272278 | -0.0241817 / 0.0252516 | -0.058055 / 0.0634719 |
 | FT_EFF_Eigen_B_3__1 | 0.037494 / -0.0364568 | 0.0288281 / -0.0282506 | 0 / 0 | 0 / 0 | -1.22228e-05 / 1.26507e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205088 / -0.0201425 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199587 / -0.0198103 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0231698 / -0.0228534 | 0.0287478 / -0.0283577 | 0 / 0 | 0 / 0 | 0.0385296 / -0.0374809 |
 | FT_EFF_Eigen_B_8__1 | 0.0359526 / -0.0352019 | 0.0295806 / -0.0292098 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -1.11022e-16 / -2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0378155 / -0.0369475 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.00136762 / -0.0013676 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -3.50543e-06 / 3.42713e-06 | 0 / 0 | 1.6732e-05 / -1.65834e-05 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000662701 / 0.0260038 | 0 / 0 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 1.9648e-05 / -1.86001e-05 | 0 / 0 | 1.64357e-05 / -1.5733e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -0.00384805 / -0.0327028 | 0.0215355 / -0.0139715 | 9.87674e-07 / -9.68109e-07 | 2.22045e-16 / 4.44089e-16 | 0.024998 / -0.0136398 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.33418e-05 / -1.26227e-05 |
 | JET_Flavor_Response | -5.49333e-05 / 6.19197e-05 | 0 / 0 | -7.03486e-06 / 7.83943e-06 | -4.05698e-05 / 4.47082e-05 | 0 / 0 | -0.0216266 / 0.00398282 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0328083 / 0.0126189 | -0.0223894 / 0.0303408 | -0.0206755 / 0.0311283 | 2.22045e-16 / 4.44089e-16 | -0.0123725 / 0.0390171 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | -0.0245248 / 0.0216138 | -0.0239933 / 0.0159029 | -0.999997 / 0.362189 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 5.11452e-05 / -7.41893e-05 | 6.63159e-05 / -9.69393e-05 | 2.29437e-05 / -3.40251e-05 | 0 / 0 | 4.04824e-06 / -6.08619e-06 | -0.00430105 / -0.032036 | 5.60906e-05 / -8.4509e-05 | 0 / 0 | 0.0210702 / -0.00373799 | -0.020844 / -0.0252287 | 0.0287245 / -0.0388029 | 0.0246572 / -0.03404 | 2.22045e-16 / 2.22045e-16 | 0.0319132 / 0.0129331 | 2.22045e-16 / -4.44089e-16 | 2.22045e-16 / -2.22045e-16 | 0.0269345 / -0.0476358 | 0.0240098 / -0.0496358 | -0.0580198 / -0.968323 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00255567 / 0.0349977 | -0.0264888 / 0.030972 |
 | JET_JERUnc_Noise_PreRec | 7.35229e-05 / -6.58854e-05 | 0.000125708 / -0.00011265 | 1.34428e-05 / -1.20544e-05 | 0 / 0 | 2.34875e-06 / -2.1064e-06 | 0.0218455 / -0.0215533 | 5.13725e-05 / -4.60564e-05 | 0 / 0 | -2.22045e-16 / 0 | 0.0466763 / -0.0462545 | -3.91959e-06 / 3.51199e-06 | 1.22886e-05 / -1.10266e-05 | 0 / 2.22045e-16 | -0.0273853 / 0.0297906 | -1.11022e-16 / 0 | 0 / 0 | -6.02633e-09 / 5.41452e-09 | -4.44089e-16 / 0 | 46.9555 / -0.999999 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0454724 / 0.0477267 | -0.0230113 / 0.0235567 | -0.0178366 / 0.0180513 |
