 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JER_EffectiveNP_1 | 6.07982e-06 / -9.29337e-06 | 0 / 0 | -0.020056 / 0.0173952 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0661061 / 0.059855 | 0.0652924 / -0.0525392 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0264698 / -0.0220228 | 0 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.110389 / -0.0855666 | 2.22045e-16 / 0 | -0.0501286 / 0.0447066 | 2.22045e-16 / 0 | 0.0268693 / -0.0223475 | -0.034214 / 0.0300637 | 4.84246e-06 / -7.36731e-06 |
 | JET_JER_EffectiveNP_2 | 8.58947e-06 / -1.41372e-05 | 0 / 0 | 0 / 0 | 7.61741e-06 / -1.24507e-05 | 0 / 0 | -0.151611 / 0.0904987 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.0633815 / 0.0354822 | 0.0651245 / -0.0334603 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0.0282296 / -0.0148534 | 2.22045e-16 / 0 | -0.066673 / 0.0374112 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.019826 / -0.0104893 | 0.132696 / -0.0653739 | 2.22045e-16 / 2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | 0.122245 / -0.0606098 | -0.025905 / 0.0141314 | 8.62533e-06 / -1.40374e-05 |
 | JET_JER_EffectiveNP_3 | -1.08344e-05 / 6.83575e-06 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0.0757796 / -0.0888261 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0543738 / -0.0652066 | -0.0492901 / 0.0661177 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | -0.0291977 / 0.0357258 | 2.22045e-16 / 0 | 0.0159384 / -0.0200146 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0177886 / 0.0213956 | -0.0950003 / 0.134507 | 0 / 0 | 0.0484858 / -0.0584989 | 0 / 2.22045e-16 | -0.021117 / 0.027591 | 0.0247307 / -0.0305662 | -1.42199e-05 / 9.03693e-06 |
 | JET_JER_EffectiveNP_4 | -1.32718e-05 / 1.08033e-05 | 0 / 0 | 0 / -1.11022e-16 | 6.2347e-06 / -5.08205e-06 | 0 / 0 | 0.0676612 / -0.0648669 | 0 / 0 | 0 / 0 | 0 / 0 | 0.063611 / -0.0616933 | -0.0596322 / 0.0645846 | 0 / 0 | 0 / 0 | 0 / 0 | -0.032485 / 0.0332997 | 2.22045e-16 / -2.22045e-16 | 0.0306753 / -0.030673 | 0 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -3.33067e-16 / 0 | -0.0201929 / 0.0208518 | -0.0997722 / 0.113891 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.103613 / 0.118811 | 0.0297024 / -0.029549 | -1.03789e-05 / 8.47471e-06 |
 | JET_JESUnc_VertexingAlg_PreRec | -2.90194e-05 / 4.56271e-05 | -3.45571e-05 / 5.52832e-05 | 0.0174863 / -0.0503152 | -3.74979e-05 / 6.03302e-05 | 0.0132647 / -0.0299828 | -0.0322384 / -0.0742954 | 0.0137991 / -0.0301146 | 0 / 0 | 0 / 0 | -0.00871928 / -0.17375 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0.0847499 / -0.140047 | -0.0225584 / 0.00262935 | 0.0216378 / -0.013601 | 0.00918638 / -0.0385572 | 0.034587 / -0.0094952 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.00649939 / 0.0259969 | 0.0164136 / -0.0340332 | -0.00340205 / -0.0295704 | 2.22045e-16 / 0 | -0.00424727 / 0.0389967 | -0.00406298 / -0.0823448 | -1.17192e-05 / 1.83997e-05 |
 | JET_Pileup_OffsetNPV | -2.12161e-05 / 2.03577e-05 | 0 / 0 | 0.0154984 / -0.0197864 | 0 / 0 | 0 / 0 | -0.0188174 / 0.0224603 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00774227 / -0.141018 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0.0969045 / -0.099798 | -2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.02352 / -0.0236802 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | -0.000598159 / 0.0204472 | 0 / 0 | 0.00426561 / -0.0259194 | 0 / 0 | -0.00149621 / 0.0248388 | 0.0260785 / -0.0120015 | 0.00183567 / -0.0340278 | -1.13068e-05 / 1.09051e-05 |
 | JET_Pileup_RhoTopology | -1.70089e-05 / 2.53841e-05 | 0 / 0 | 0.0215949 / -0.0360275 | -1.23899e-05 / 1.88298e-05 | 0.0070843 / -0.0216933 | -0.0332502 / -0.0358894 | 0 / 0 | 0 / 0 | -0.0985969 / 0.0752267 | -0.00177537 / -0.10795 | 0 / 0 | -0.00481817 / -0.201179 | 0 / -3.33067e-16 | 0.0906073 / -0.133008 | -0.00689311 / -0.0112163 | 0 / 0 | 0.00761637 / -0.0489274 | 0.0317455 / -0.00804964 | 0 / 0 | 0 / 0 | 0.0153628 / -0.0321528 | 0 / -1.11022e-16 | 0 / 0 | 0.0222642 / -0.153804 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -0.000336591 / -0.0206277 | -1.99632e-05 / 2.98915e-05 |
 | ttt Cross-Section | 0 / 0 | 0.30039 / -0.300173 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.537374 / -0.501628 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0 / 0 | 0.00284317 / -0.0265781 | -1.66925e-05 / 1.60062e-05 | 0 / 0 | -0.069784 / -0.0825007 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.009073 / -0.105547 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -3.33067e-16 / 0 | 0.101411 / -0.102551 | 0 / 0 | 0 / 0 | 0 / 0 | 0.023563 / -0.00448989 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00574099 / 0.0292762 | 0.00542085 / -0.0713799 | -9.41458e-06 / 8.90876e-06 |
