 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.446239 / 0.00974422 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.516423 / 0.00595154 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -0.0312733 / 0.0648594 | -0.0377367 / 0.00668696 | 0 / 0 | -0.031437 / 0.0322138 | 0 / 0 | -0.0576983 / -0.00400685 | 0 / 0 | 0 / 0 | -0.00574468 / -0.0275705 | -0.10048 / -0.0881113 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.0851556 / 0.061671 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00589971 / 0.06893 | -0.296068 / -0.000716102 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00605891 / -0.0709349 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.0321566 / 0.0226306 | -0.0406781 / 0.00758867 | 0 / 0 | -0.0445949 / 0.0308458 | -0.021027 / 0.0139379 | -0.06898 / -0.00241108 | 0 / 0 | 0 / 0 | -0.00290708 / -0.0290317 | -0.0910727 / -0.0993769 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.221708 / 0.00955341 | -0.068984 / 0.0546601 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210588 / -0.00567068 | 0 / 0 | 0 / 0 | -0.0428353 / 0.0655274 | 0.138229 / -0.13053 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0133628 / 0.260332 | -0.0202299 / 0.345243 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0415775 / -0.0271642 | -0.0329917 / 0.001528 | -0.0535233 / -0.00989502 | -0.0325385 / 0.0214006 | 0 / 0 | -0.0856546 / -0.00513697 | 0 / 0 | 0 / 0 | 0.000230225 / -0.0268149 | -0.0953751 / -0.0893216 | 0.0111157 / -0.0199671 | 0 / 0 | 0.217687 / 0.00119507 | -0.012753 / 0.04735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.022956 / 0.0672889 | 0.124633 / 0.000543117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00464451 / 0.21707 | -0.0114349 / 2.51768 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0476251 / -0.189695 | -0.0509718 / 0.0195727 | -0.00143298 / 0.102699 | -0.0501361 / 0.0264711 | -0.0223486 / 0.0229285 | -0.0913852 / 0.0206355 | -0.0212426 / 0.0227022 | 0 / 0 | -0.0044405 / -0.0280113 | -0.0996713 / -0.0942315 | 0 / 2.22045e-16 | 0 / 0 | 0.23366 / 0.00445575 | -0.0655117 / 0.0787049 | 0 / 0 | 0 / 0 | 0.0226128 / -0.0201758 | 0.0338499 / -0.0178117 | 0 / 0 | 0 / 0 | -0.0470086 / 0.110951 | 0.138842 / -0.162772 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0132621 / 0.0228633 | -0.0234164 / 0.199552 | -0.0395474 / 2.68277 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.0642953 / -8.54475e-06 | 0 / 0 | 0 / 0 | -0.01746 / 0.0277755 | 0 / 0 | -0.0233323 / 0.000338751 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0995395 / 1.39318e-05 | 0 / 0 | 0 / 0 | 0.227251 / -2.88212e-05 | -0.0184913 / 0.0462935 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.12946 / -1.68776e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 4.03793e-05 / 0.327151 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0.0168447 / 0.126059 | 0 / 0 | 0 / 0 | -0.00158219 / -0.0412408 | 0 / 0 | -0.00345969 / -0.0534892 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00670438 / -0.0956905 | -0.0384274 / 0.00457314 | -1.11022e-16 / -1.11022e-16 | 0.0136112 / 0.218213 | 0.018014 / 0.0191223 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00956521 / 0.0261048 | 0 / 0 | 0 / 0 | 0.0818231 / -0.0290517 | -0.305447 / 0.183268 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.288429 / 0.0257698 | 2.75706 / -0.203829 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.190081 / 0.0924716 | -0.0801585 / 0.104952 | 0.0212729 / 0.119104 | -0.102368 / 0.115122 | -0.0413842 / 0.058774 | -0.0626541 / 0.0517898 | -0.0483918 / 0.0706951 | 0 / 0 | 0.0796767 / -0.145565 | -0.102119 / -0.0114931 | -0.026545 / -0.00173126 | 0 / 0 | 0.235821 / 0.170862 | -0.0555572 / 0.144707 | 0 / 0 | 0 / 2.22045e-16 | 0.0414454 / -0.0475914 | 0.0692659 / -0.0715039 | 0 / 0 | -0.0182203 / 0.0316668 | -0.0808468 / 0.312512 | 0.130427 / -0.072282 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0140757 / 0.0349387 | -0.132412 / 0.225185 | 0.0471396 / 1.89906 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.100792 / -0.0576574 |
 | JET_JERUnc_Noise_PreRec | -0.160919 / 0.191374 | 0.0507127 / -0.0483771 | -0.141884 / 0.165092 | 0.0305839 / -0.0302379 | 0 / 0 | -0.10578 / 0.11865 | 0 / 0 | 0 / 0 | 0.134555 / -0.119239 | 0 / 0 | 0.0317149 / -0.0292011 | 0 / 0 | 0.0218275 / -3.45357e-05 | -0.105877 / 0.117038 | 0 / 0 | -0.0147486 / 0.0171089 | 0.023526 / -0.023518 | 0 / 0 | -0.600394 / 1.46449 | 0 / 0 | -0.142111 / 0.164998 | 0.0263097 / -0.0257129 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.79338e-05 / -3.40344e-05 | 0.125324 / -0.111924 | -0.219594 / 0.280232 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
