 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0257837 / -0.000635483 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0689099 / -0.000928401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0236857 / 0.0240961 | 5.44798e-05 / -5.02043e-05 | 2.22045e-16 / 0 | 2.98237e-05 / -2.80207e-05 | 2.35478e-05 / -2.22548e-05 | -2.22045e-16 / 2.22045e-16 | 3.52638e-05 / -3.31658e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / -4.44089e-16 | 3.65706e-06 / -3.46252e-06 | 0.0244442 / -0.0838608 | 0 / 2.22045e-16 | -2.91061e-07 / 2.78086e-07 | -2.99804e-07 / 2.85066e-07 | 2.04716e-07 / -1.99806e-07 | 0.0608382 / -0.0270799 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0212333 / 0.0194675 | -0.0343159 / 0.0368933 | -0.0688974 / 0.141847 | -0.0858769 / 0.171353 | 0 / 0 | -0.0217378 / 0.0178579 |
 | JET_Flavor_Response | 0.0230863 / -0.0171491 | -4.75692e-05 / 5.48063e-05 | 0 / 0 | -3.45507e-05 / 3.946e-05 | -2.25453e-05 / 2.55323e-05 | 0 / 0 | -3.61618e-05 / 4.12353e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -2.52361e-06 / 2.8599e-06 | 0 / -1.11022e-16 | -1.11022e-16 / 0 | 3.57196e-07 / -4.01878e-07 | 3.33741e-07 / -3.7547e-07 | -1.28659e-07 / 1.41088e-07 | -0.0238237 / 0.0573524 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317513 / -0.0287871 | 0.0440018 / -0.0520473 | 0.12437 / -0.0497496 | 0.173143 / -0.0737815 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.041641 / 0.0657112 | -0.0201569 / 0.029553 | 0 / -2.22045e-16 | 5.4229e-05 / -8.00192e-05 | 3.29195e-05 / -4.90327e-05 | -2.22045e-16 / 2.22045e-16 | 6.18652e-05 / -9.16159e-05 | 0 / 0 | 0 / 0 | 0.00453914 / -0.0240877 | -0.00949302 / -0.0140244 | 3.3424e-06 / -5.03766e-06 | 0.0152115 / -0.0790042 | -1.11022e-16 / 2.22045e-16 | 0.004457 / -0.0195214 | -3.62304e-07 / 5.44324e-07 | 0.0238946 / -0.0658638 | 0.0614807 / -0.0736374 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0345347 / 0.0495605 | -0.0630374 / 0.0786294 | -0.103258 / 0.23058 | -0.0788434 / 0.102058 | 0 / 0 | -0.0301207 / 0.0404939 |
 | JET_JESUnc_Noise_PreRec | -0.020216 / 0.0207709 | 4.74916e-05 / -4.41848e-05 | 0 / 2.22045e-16 | 3.25552e-05 / -3.07393e-05 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.9577e-06 / -3.77544e-06 | 0.0244174 / -0.0579581 | -1.11022e-16 / 0 | -2.23542e-07 / 2.14937e-07 | -1.55147e-07 / 1.4704e-07 | 1.67062e-07 / -1.6175e-07 | 0.053915 / -0.0165369 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0204086 / 0.0236451 | -0.027621 / 0.0308543 | -0.056306 / 0.13517 | -0.0688452 / 0.178216 | 0 / 0 | 2.22045e-16 / 2.22045e-16 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0447255 / 0.0796033 | -0.0275303 / 0.0504353 | 0 / 0 | 7.44758e-05 / -0.000114643 | 4.6406e-05 / -7.27413e-05 | 0 / 2.22045e-16 | 7.64021e-05 / -0.000118385 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 4.85233e-06 / -7.60698e-06 | 0.0132789 / -0.107301 | -1.11022e-16 / 0 | -3.67715e-07 / 5.88537e-07 | -4.76797e-07 / 7.54814e-07 | 3.23109e-07 / -5.29161e-07 | 0.0524754 / -0.0433719 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0562312 / 0.0841816 | -0.0539172 / 0.0997178 | -0.120506 / 0.292188 | -0.0674104 / 0.281623 | 0 / 0 | -0.0287913 / 0.0539714 |
 | JET_Pileup_OffsetNPV | -0.0187864 / 0.0204958 | 4.28152e-05 / -4.0815e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 5.36204e-07 / -5.2612e-07 | 0.0148069 / -0.0770577 | -1.11022e-16 / -1.11022e-16 | -1.72599e-07 / 1.6872e-07 | -1.92249e-08 / 1.88567e-08 | 0.0217057 / -0.0204566 | 0.0579978 / -0.0212769 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0282557 / 0.0232019 | -0.0568582 / 0.0752008 | -0.0867564 / 0.170711 | 0 / 0 | -0.0141938 / 0.0208981 |
 | JET_Pileup_RhoTopology | -0.0358492 / 0.0560198 | 7.52632e-05 / -0.000111633 | 0 / 0 | 4.77701e-05 / -7.19363e-05 | 2.64848e-05 / -4.01652e-05 | -2.22045e-16 / 0 | 5.00909e-05 / -7.56817e-05 | 0 / 0 | 0 / 0 | 0.00530533 / -0.0204222 | -2.22045e-16 / 0 | 4.35955e-06 / -6.67196e-06 | 0.017397 / -0.0748289 | -1.11022e-16 / 0 | -3.17771e-07 / 4.85639e-07 | -3.45742e-07 / 5.27892e-07 | 0.0267108 / -0.0589278 | 0.0610953 / -0.0679225 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0264611 / 0.0403175 | -0.0483102 / 0.0560492 | -0.0678231 / 0.181868 | -0.0780928 / 0.0847347 | 0 / 0 | -0.0267175 / 0.0326267 |
