 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | JET_JERUnc_Noise_PreRec | 0.223423 / 0 | 0.0635346 / 0.0321961 | -0.160043 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | 0.143784 / -0.00621904 | 0 / 0 | 0 / 0 | 0.0548513 / 0 | -0.044508 / -2.22045e-16 | 2.22045e-16 / 0 | -1.11022e-16 / 0 | 0.0563299 / 2.22045e-16 | 0.0349399 / 0 | 0 / 0 | -0.118413 / -0.0150966 | 0.0274815 / -0.000405075 | -0.0416658 / 0.00533835 | 0 / 0 | -2.22045e-16 / 0 | 0.483489 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.738678 / -0.000661546 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.16668 / 0 |
 | JET_JER_EffectiveNP_1 | -0.222095 / 0 | -2.22045e-16 / -2.22045e-16 | -0.112254 / 0 | -0.0248972 / 0 | 0 / 0 | 0.174598 / -1.11022e-16 | 0 / 0 | 0 / 0 | -0.0723447 / -1.11022e-16 | -0.0373381 / 0 | 2.22045e-16 / 0 | 0 / 0 | -0.128956 / 0 | -0.060292 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0289184 / 9.76952e-12 | 0 / 0 | 0.334534 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0229065 / 0 | -0.105826 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / -0.267225 | -2.22045e-16 / 0.0617262 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0.13051 | 0 / 0 | 0 / 0 | 2.22045e-16 / -0.078265 | -2.22045e-16 / 0.0209645 | 0 / 0 | 0 / -1.11022e-16 | 0 / -0.121271 | -2.22045e-16 / 0.0342891 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.224475 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / -0.1423 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | -0.0455565 / 0 | 0.0192027 / -0.0204076 | -0.112254 / 0 | 0 / 0 | 0 / 0 | 0.26189 / 0.0450906 | 0 / 0 | 0 / 0 | -0.134071 / 0 | -0.0374643 / -2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | -0.311667 / -0.132126 | -0.0590973 / 0 | 0 / 0 | 0.0224418 / 0.00215181 | 0.0392606 / -0.0036084 | 0 / 0 | 0.0289184 / 9.76952e-12 | 0 / 0 | 0.482448 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.026133 / 0.00319164 | -0.103183 / -1.11022e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1 / 0 |
 | JET_JER_EffectiveNP_2 | 2.22045e-16 / -0.137643 | -3.33067e-16 / 2.22045e-16 | 0 / -0.15786 | 0 / -2.22045e-16 | 0 / 0 | -0.00621904 / 0.14057 | 0 / 0 | 0 / 0 | 0 / 0.0312457 | -2.22045e-16 / -0.0483328 | 2.22045e-16 / 0 | 0 / -1.11022e-16 | -0.132126 / 0.0123188 | -2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.105531 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / -0.138281 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 2.22045e-16 / 0.18346 | 0 / 0 | 0 / -0.274551 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0.236989 | 0 / 0 | 0 / 0 | 0 / -0.0722844 | -2.22045e-16 / -0.0364155 | 2.22045e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 0.0288375 | 0 / -0.0280256 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0.439031 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -1.11022e-16 / -0.103183 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | -0.148371 / 2.22045e-16 | 0.0726535 / 0 | 0 / 0 | 0.042601 / 2.22045e-16 | 0 / 0 | 0.13051 / 0 | 0 / 0 | 0 / 0 | -0.0332358 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.153837 / -1.11022e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.142425 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 2.22045e-16 / 0.173155 | 0.0321961 / -0.0593471 | 0 / -0.165111 | 2.22045e-16 / 0 | 0 / 0 | 0.00268816 / 0.315236 | 0 / 0 | 0 / 0 | -0.042244 / -0.092819 | 0.000362928 / 0.0487117 | 0 / 0 | 0 / 0 | -1.11022e-16 / -0.104158 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.0109892 / 0.0491566 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0.480589 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / -0.104989 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1 |
 | JET_JER_EffectiveNP_4 | -0.148371 / -0.117806 | 0.0333418 / 0.0208212 | -0.160928 / 0 | 0.0304515 / -0.0169655 | 0 / 0 | 0.0451297 / 0.00268816 | 0 / 0 | 0 / 0 | -0.0336517 / 0 | 0.0503093 / 0 | 0 / 0 | 0 / 0 | -0.119807 / 0 | -0.0354993 / 0.00401834 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.033936 / 2.22045e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.138399 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / -0.223359 | 0.00967422 / 0.0319034 | -0.166297 / 0.00100755 | -0.021726 / 0.0212153 | 0 / 0 | 0.0962641 / 0.0145379 | 0 / 0 | 0 / 0 | -0.0433061 / -0.0418467 | 0 / 0 | 0 / 0 | 0.00108748 / -0.0215542 | 0.0375088 / -0.141667 | -0.0372035 / -0.0137269 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.76952e-12 / 0.0289184 | 0 / 0 | 0.201554 / 0.00378928 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.104237 / 0.112465 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
