 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0188756 / 0.000459331 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.168443 / 0.00211824 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0214634 / -0.036389 | 0.0264701 / -0.0428593 | 0.0628189 / -0.0660426 | 0.0260803 / -0.0454583 | 0.018739 / -0.0426942 | -0.0655884 / -0.0145845 | 0.0579439 / -0.0809606 | 0 / 0 | 0.003425 / -0.0509791 | 0 / 0 | 1.17844 / -0.399168 | 0.246571 / -0.129064 | 0 / 0 | 0.166709 / -0.0870611 | 0.346648 / -0.0457382 | -0.0822392 / 0.0498557 | -0.00734531 / -0.0361283 | 0 / 0 | 0 / 0 | 0.0276178 / -0.0730005 | 0.0392201 / -0.0771298 | 0.11467 / -0.137635 | 0.0253417 / -0.0353476 | 0.0353782 / -0.0253285 | -0.0705857 / -0.00790615 | 0.108741 / -0.156758 | 0.171999 / -0.115534 | -0.00178193 / -0.084861 | 0.00123531 / -0.0331861 | 0.0171567 / -0.0270688 |
 | JET_Pileup_RhoTopology | 0.0190532 / -0.0320539 | 0.0227957 / -0.037353 | 0.0623012 / -0.0461317 | 0.0256519 / -0.0407833 | 0.0211791 / -0.0408993 | -0.0667607 / -0.00298022 | 0.0565231 / -0.0749285 | 0 / 0 | 0.00302784 / -0.0428452 | 0 / 0 | 1.14779 / -0.430679 | 0.240837 / -0.141962 | 0 / 0 | 0.162878 / -0.097735 | 0.329836 / -0.103222 | -0.0808867 / 0.0547951 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0279301 / -0.0676079 | 0.032462 / -0.0723033 | 0.113572 / -0.118225 | 0.0229963 / -0.0353373 | 0.0346359 / -0.0251538 | -0.0675268 / 0.00977573 | 0.107111 / -0.155462 | 0.153962 / -0.116029 | 0 / 0 | -0.00143518 / -0.0278597 | 0 / 0 |
 | FT_EFF_Eigen_B_3__1 | 0.0236177 / -0.0231878 | 0.0229854 / -0.022563 | 0 / 0 | 0.0227937 / -0.0224251 | 0 / 0 | 0.0310047 / -0.0303959 | 0.0201426 / -0.0197535 | 0 / 0 | 0.0223576 / -0.0220942 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0236847 / -0.0229807 | 0.0247053 / -0.0239155 | 0.0208591 / -0.0207876 | 0.021047 / -0.0207687 | 0.0253976 / -0.0249907 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248492 / -0.0244696 | 0.0224993 / -0.0221933 | 0.0265964 / -0.0261221 | 0.024504 / -0.0238085 | 0.0278798 / -0.0273357 | 0.0216621 / -0.0212843 | 0.0330335 / -0.0325198 | 0.0225793 / -0.0219656 | 0 / -2.22045e-16 | 0 / 0 |
 | FT_EFF_Eigen_B_7__1 | 0.024525 / -0.0240865 | 0.0240213 / -0.0235968 | 0 / 0 | 0.0240888 / -0.0236815 | 0 / 0 | 0.0407118 / -0.0393032 | 0.0209256 / -0.0205694 | 0 / 0 | 0.0251421 / -0.0248309 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0256855 / -0.0248593 | 0.0222287 / -0.0218418 | 0.0213475 / -0.0210403 | 0.0274321 / -0.0270812 | 0.0275981 / -0.0272418 | 0 / 0 | 0 / 0 | 0.0207902 / -0.0205604 | 0.0286696 / -0.0282016 | 0.0260142 / -0.0256761 | 0.0276942 / -0.0272169 | 0.0269194 / -0.0260455 | 0.0256023 / -0.0250254 | 0.0250395 / -0.0245851 | 0.0268557 / -0.0265155 | 0 / 0 | 0 / -2.22045e-16 | 0.0230366 / -0.0226297 |
 | JET_JESUnc_VertexingAlg_PreRec | 3.32565e-06 / -5.42494e-06 | 0.0177877 / -0.0326334 | 0.0623611 / -0.0190343 | 0.0222264 / -0.0388873 | 0.0146376 / -0.0311786 | 2.22045e-16 / 0 | 0.0424067 / -0.0562626 | 0 / 0 | 0.00127555 / -0.0684933 | 0 / 0 | 1.14033 / -0.145362 | 0.246107 / -0.0407053 | 0 / 0 | 0.167839 / -0.0381604 | 0.303521 / 0.0701695 | -0.0810955 / 0.00187516 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0.0110473 / -0.0359416 | 0.0331913 / -0.038079 | 0.025472 / -0.0701065 | -0.00247869 / -0.036483 | 0.0370047 / -0.0131669 | 0.0496435 / -0.0675861 | 0.0250803 / -0.0951231 | 0.0854533 / -0.0517085 | -3.33067e-16 / 0 | 0.000122668 / -0.0522735 | 2.57195e-06 / -4.15265e-06 |
 | ttt Cross-Section | 0 / 0 | 0.30039 / -0.300173 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t + 1 true b-jet | 0 / 0 | 0.312979 / -0.000505202 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
