 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.089083 / -0.00120972 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.0263971 / 0.0271194 | -2.48518e-05 / 2.22608e-05 | 9.86197e-07 / -8.83763e-07 | -1.92804e-05 / 1.72783e-05 | -1.59291e-05 / 1.42724e-05 | 0.0332121 / -0.0327652 | -4.3175e-06 / 3.87183e-06 | 0 / 0 | 0 / 0 | 0.025214 / -0.0253989 | 2.22045e-16 / 0 | -3.03258e-06 / 2.72349e-06 | -0.019151 / 0.0195622 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0.024751 / -0.0242728 | 0.037393 / -0.0361639 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0226162 / 0.0231587 | 0 / 0 | 0 / 0 | 0 / 0 | 2.03453e-05 / -1.82259e-05 |
 | JET_JERUnc_Noise_PreRec | 0.0161011 / 0.000638446 | -1.05461e-05 / 1.19619e-05 | 8.86454e-06 / -9.87853e-06 | 1.66099e-05 / -1.88596e-05 | 1.8261e-05 / -2.0633e-05 | -0.0287339 / 0.000582533 | 3.6142e-06 / -4.06434e-06 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0285645 / -0.00839525 | -3.21895e-06 / 3.60767e-06 | 4.57347e-07 / -5.1387e-07 | 0.0413064 / 0.000935615 | 0 / 2.22045e-16 | -1.11022e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 3.43685e-06 / -3.84234e-06 | 1.48181e-05 / -1.64963e-05 | 0.48862 / 0.0275041 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0178751 / 0.000223116 | 0.031177 / 0.00221747 | -4.0824e-05 / 4.59571e-05 |
 | FT_EFF_Eigen_B_0__1 | 0.0292231 / -0.0287752 | 0.024095 / -0.0236907 | 4.67582e-06 / -4.80362e-06 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0510425 / -0.0492496 |
 | FT_EFF_Eigen_B_2__1 | -0.070663 / 0.0786636 | -0.0573384 / 0.0625909 | -0.0336443 / 0.0354103 | -0.0308945 / 0.0327262 | -0.0309217 / 0.0326338 | -0.0255349 / 0.0269607 | -0.0301492 / 0.0318643 | 0 / 0 | -0.0296647 / 0.0311113 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0234538 / 0.0247109 | 0 / 0 | -0.0312324 / 0.0329656 | -0.0207303 / 0.0223157 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0243995 / 0.025652 | -0.0325967 / 0.0345158 | -0.0363278 / 0.038373 | -0.0469502 / 0.0505156 | -0.0370375 / 0.0393169 | -0.0610883 / 0.0651858 | -0.0465821 / 0.0500856 | -0.056141 / 0.061941 |
 | FT_EFF_Eigen_B_3__1 | 0.0388309 / -0.0375998 | 0.0311193 / -0.030448 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | -1.11022e-16 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205945 / -0.0204118 | 0.0262426 / -0.0257086 | 0.0242285 / -0.0240329 | 0.0294744 / -0.0292808 | 0.0241382 / -0.0237043 | 0.0376932 / -0.0365823 |
 | FT_EFF_Eigen_B_8__1 | 0.0378311 / -0.0369072 | 0.0278283 / -0.0275246 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248534 / -0.0249136 | 0.0327935 / -0.0322184 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.00133381 / -3.26298e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.000628065 / -0.000628057 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 3.72175e-05 / -3.61946e-05 | -9.41857e-06 / 9.20691e-06 | 9.41863e-06 / -9.26035e-06 | 2.27816e-06 / -2.25231e-06 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | -0.0213368 / -0.00412322 | 0 / 0 | -1.31158e-05 / 1.32852e-05 | 0 / 0 | -0.00183274 / 0.0481425 | -1.11022e-16 / 2.22045e-16 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0019599 / 0.0265782 | 0 / 0 | -2.23858e-05 / 2.2013e-05 |
 | JET_InSitu_NonClosure_PreRec | 7.05537e-05 / -0.000102505 | -2.41447e-05 / 3.53408e-05 | 1.13608e-06 / -1.67501e-06 | -2.05559e-05 / 3.03846e-05 | -1.65407e-05 / 2.48908e-05 | -0.0147834 / -0.00817122 | -5.69223e-06 / 8.57476e-06 | 0 / 0 | -1.11022e-16 / 0 | -0.0221245 / 0.0296002 | 0.0330935 / -0.0411953 | 0.0259258 / -0.048497 | 0.051187 / -0.057102 | 0.0100165 / 0.0368153 | 0.0198258 / -0.0303186 | 0 / -3.33067e-16 | 0.027141 / -0.0505927 | 0.0198277 / -0.0345637 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00658741 / 0.0162715 | 0 / 0 | -0.0286851 / 0.0288057 |
 | JET_JER_EffectiveNP_1 | 1.18285e-05 / -1.80739e-05 | 0 / 0 | 1.51992e-05 / -2.32686e-05 | 7.97736e-06 / -1.21764e-05 | 4.47534e-06 / -6.83369e-06 | -0.0196293 / 0.0170185 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | -6.81493e-06 / 1.03771e-05 | 0 / 0 | 0.0276823 / -0.0230073 | -1.11022e-16 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / -3.33067e-16 | 0 / 0 | 1.04492e-05 / -1.58018e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210917 / -0.0176312 | 0.0236912 / -0.0197591 | 0 / 0 | 2.18478e-05 / -3.31888e-05 |
