 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0425574 / 0.00102885 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0620444 / 0.000803835 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_2__1 | -0.0364337 / 0.0390374 | -0.0244671 / 0.0260604 | 0 / 0 | -0.0285408 / 0.0304638 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0209897 / 0.022429 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0193916 / 0.02044 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0272676 / 0.043115 | -0.0345425 / 0.036877 |
 | FT_EFF_Eigen_B_3__1 | 0.027865 / -0.0272901 | 0.0218698 / -0.0215005 | 0 / 0 | 0.0238218 / -0.0233573 | 0 / 0 | 0.020555 / -0.0203218 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0402541 / -0.0390743 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0287232 / -0.0264282 | 0.0251963 / -0.0247369 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 7.27944e-05 / -7.27935e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -2.68351e-05 / 2.57099e-05 | 0 / 0 | 0.0133296 / -0.0297449 | 0 / 0 | -1.50343e-05 / 1.48466e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00439786 / -0.0734583 | -0.0100793 / -0.0223248 | -2.22045e-16 / -2.22045e-16 | 0.0336061 / 0.0496164 | 0.00677604 / -0.0379348 | 2.22045e-16 / 0 | 0.034114 / -0.0391118 | 0.0236367 / 0.00115445 | 0 / 0 | 0.0155355 / -0.0327129 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | -0.0325349 / 0.0328327 | -1.11022e-16 / -1.11022e-16 | 0 / 2.22045e-16 | -3.33067e-16 / -2.22045e-16 | 0 / 0 | 2.22045e-16 / 0 | -2.59209e-06 / 2.48028e-06 |
 | JET_Flavor_Response | 3.12125e-05 / -3.50435e-05 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.0248289 / 0.0188036 | 0.0232331 / 0.0205371 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 0 | -0.072435 / 0.0166565 | -0.0223645 / -0.00682699 | -2.22045e-16 / 0 | 0 / 0 | 0.0124179 / -0.025907 | 2.22045e-16 / 0 | -0.0601468 / 0.0369991 | -0.020109 / 0.0580217 | 0 / 0 | -0.0355109 / 0.0182776 | 0 / 0 | -0.0335436 / 0.0119075 | -2.22045e-16 / 2.22045e-16 | -0.00797994 / -0.0356227 | -1.11022e-16 / -1.11022e-16 | -0.023566 / 0.013021 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 1.94553e-06 / -2.20074e-06 |
 | JET_InSitu_NonClosure_PreRec | -4.47208e-05 / 6.6618e-05 | -2.71411e-05 / 4.09366e-05 | 0.0294925 / -0.0427412 | 0.0219113 / -0.0332035 | 0.0368267 / -0.0692791 | 0.0234302 / -0.0240675 | 0.0360575 / -0.0588035 | 0 / 0 | 0.0411029 / -0.0420001 | -0.00333712 / -0.0473011 | 0.0121092 / -0.0670437 | -0.0426743 / -0.038892 | 0.0247603 / -0.0293602 | 0.101348 / -0.024333 | -0.0209044 / -0.0551022 | 0.0374334 / -0.0333815 | 0.0600196 / -0.104213 | 0.0562872 / -0.0681177 | 0 / 0 | 0.038742 / -0.0670132 | 0.0210199 / -0.0269417 | 0.0232555 / -0.0456884 | 0.0139812 / -0.0360703 | -0.0303244 / 0.0290247 | 0.0370678 / -0.0552963 | 0.0210208 / -0.0421455 | 0.0214979 / -0.0103311 | 0.0121382 / -0.0294846 | -0.00106813 / -0.021396 | -7.2913e-06 / 1.08035e-05 |
 | JET_JESUnc_Noise_PreRec | -2.53974e-05 / 2.4273e-05 | 0 / 0 | 0.0130842 / -0.0260042 | 0 / 0 | 0.0174669 / -0.0202651 | 0.0212082 / 0.0326599 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00354834 / -0.0730543 | -0.0103825 / -0.0218759 | 0 / -2.22045e-16 | 0.0345439 / 0.0490331 | -0.00695737 / -0.0317413 | 2.22045e-16 / -1.11022e-16 | 0.0395224 / -0.0374446 | 0.0244699 / -0.000258416 | 0 / 0 | 0.0164028 / -0.0331146 | 2.22045e-16 / -2.22045e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 2.22045e-16 | -0.0127985 / 0.0328676 | -1.11022e-16 / 0 | 0.00871867 / -0.0282734 | 0 / -3.33067e-16 | 2.22045e-16 / -3.33067e-16 | -1.11022e-16 / 0 | -8.14409e-07 / 7.74644e-07 |
