 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.152348 pm 0.0280579 | 0.00456976 pm 0.00144002 | 0.00259373 pm 0.00300019 | 0.00860377 pm 0.00687995 | 1.47003 pm 0.270217 | 1.45591 pm 0.267828 | 2.02386 pm 0.374514 | 1.99836 pm 0.368138 | 16.0994 pm 4.11592 | 4.2775 pm 0.789888 | 14.7961 pm 2.71297 | 2.42657 pm 0.445934 | 9.26056 pm 1.69655 | 
 | ttt | 0.0371861 pm 0.0111459 | 0.00141524 pm 0.000427537 | 0.00258521 pm 0.00088283 | 0.00684696 pm 0.00205421 | 0.388875 pm 0.116414 | 0.336324 pm 0.100719 | 0.305961 pm 0.0916116 | 0.278767 pm 0.0834608 | 0.679365 pm 0.29316 | 0.249091 pm 0.074801 | 1.2427 pm 0.372053 | 0.187235 pm 0.0560905 | 0.997336 pm 0.298366 | 
 | ttWW | 0.336463 pm 0.174336 | 0.0101821 pm 0.00528949 | 0.0644303 pm 0.0357589 | 0.123539 pm 0.0640286 | 2.44105 pm 1.26434 | 2.3061 pm 1.19448 | 5.76655 pm 2.98738 | 5.91332 pm 3.06164 | 0.290105 pm 0.163081 | 0.226142 pm 0.121363 | 1.82773 pm 0.946593 | 1.54328 pm 0.799151 | 8.20308 pm 4.2473 | 
 | rarettVV | 0.148188 pm 0.0731733 | 0.00804625 pm 0.00398475 | 0.0139978 pm 0.00692171 | 0.0334208 pm 0.0165091 | 1.27241 pm 0.627958 | 0.790593 pm 0.390207 | 1.6193 pm 0.799155 | 1.04247 pm 0.514494 | 0.630634 pm 0.393315 | 0.133352 pm 0.0739176 | 1.02907 pm 0.578184 | 0.348942 pm 0.172258 | 2.27732 pm 1.12372 | 
 | ttll_MG_high_mll | 5.42842 pm 2.15128 | 0.272007 pm 0.24653 | 2.28312 pm 0.539085 | 5.01427 pm 1.80249 | 39.9903 pm 12.6916 | 38.3653 pm 10.9433 | 37.4361 pm 12.7829 | 36.2289 pm 11.632 | 1.8734 pm 0.431476 | 2.6378 pm 0.43971 | 9.82548 pm 1.18445 | 13.0181 pm 3.00397 | 40.4622 pm 10.1358 | 
 | ttll_MG_low_mll | 0.369531 pm 0.146445 | 0.0231185 pm 0.0209531 | 0.10808 pm 0.0456761 | 0.217034 pm 0.0772798 | 2.63962 pm 0.84015 | 2.47446 pm 0.704302 | 1.85745 pm 0.646204 | 1.94895 pm 0.633814 | 0.112875 pm 0.0313278 | 0.0224607 pm 0.0255871 | 0.420009 pm 0.0655125 | 0.0603169 pm 0.0246626 | 2.54839 pm 0.641057 | 
 | ttH | 3.3452 pm 0.335389 | 0.219851 pm 0.113397 | 1.7225 pm 0.177252 | 3.51151 pm 0.0841911 | 39.3063 pm 3.88901 | 39.2925 pm 3.88716 | 34.2788 pm 3.39175 | 33.6579 pm 0.452229 | 2.29219 pm 0.504069 | 2.0699 pm 0.350938 | 12.74 pm 1.27094 | 9.62765 pm 0.961406 | 54.699 pm 5.39228 | 
 | QmisID | 113.694 pm 2.33056 | 1.57751 pm 0.0676135 | 2.00084e-06 pm 7.9511e-08 | 1.98941e-06 pm 5.60836e-08 | 18.4514 pm 0.2208 | 17.5001 pm 0.268966 | 34.0468 pm 0.371289 | 36.7354 pm 0.470809 | 1.33367 pm 0.0304576 | 1.99773e-06 pm 5.04702e-08 | 6.97236 pm 0.114293 | 0.00306313 pm 7.15054e-05 | 32.0329 pm 0.278982 | 
 | CO | 69.4069 pm 19.2261 | 3.5089 pm 1.01382 | 3.2185 pm 0.974431 | 1.60149 pm 0.66709 | 2.74168 pm 1.08804 | 2.22611 pm 0.8997 | 11.1997 pm 4.15125 | 8.24044 pm 3.11989 | 0.390787 pm 0.11782 | 0.422836 pm 0.363675 | 4.16868 pm 1.25514 | 1.28143 pm 0.386218 | 19.3503 pm 5.81927 | 
 | gstr | 19.4837 pm 3.94616 | 45.8378 pm 8.75041 | 4.30952 pm 0.879767 | 1.47942 pm 0.334307 | 5.96893 pm 1.34391 | 5.82965 pm 1.31285 | 12.2584 pm 2.46514 | 9.69912 pm 1.95211 | 0.814697 pm 0.164563 | 0.395514 pm 0.152111 | 4.1912 pm 0.845098 | 1.48771 pm 0.29998 | 18.5985 pm 3.73788 | 
